"date","discharge.daily","lnQ.daily","lnQ.bin1","lnQ.bin2","lnQ.bin1.weight","lnQ.bin2.weight"
2023-06-24,NA,NA,NA,NA,NA,NA
2023-06-25,2.30742982787375,0.836134276476884,6,7,0.212885745077054,0.787114254922946
2023-06-26,2.24356099940212,0.808064335456797,6,7,0.306452215144011,0.693547784855989
2023-06-27,2.1706944837786,0.775047154958585,6,7,0.416509483471382,0.583490516528618
2023-06-28,NA,NA,NA,NA,NA,NA
2023-07-03,NA,NA,NA,NA,NA,NA
2023-07-04,1.5841436168539,0.460043956487955,5,6,0.466520145040151,0.533479854959849
2023-07-05,NA,NA,NA,NA,NA,NA
2023-07-10,NA,NA,NA,NA,NA,NA
2023-07-11,1.45659279713018,0.376100007801246,5,6,0.746333307329179,0.253666692670821
2023-07-12,NA,NA,NA,NA,NA,NA
2023-07-24,NA,NA,NA,NA,NA,NA
2023-07-25,0.934313933729821,-0.0679427797443726,3,4,0.226475932481242,0.773524067518758
2023-07-26,NA,NA,NA,NA,NA,NA
2023-07-28,NA,NA,NA,NA,NA,NA
2023-07-29,0.864495814846282,-0.145608814996847,3,4,0.485362716656155,0.514637283343845
2023-07-30,NA,NA,NA,NA,NA,NA
2023-07-31,0.832428647849209,-0.183407769089942,3,4,0.611359230299808,0.388640769700192
2023-08-01,0.814315271090972,-0.205407677042541,3,4,0.68469225680847,0.31530774319153
2023-08-02,0.792897825608106,-0.232060911035573,3,4,0.773536370118576,0.226463629881424
2023-08-03,0.778295021869788,-0.250649621195816,3,4,0.835498737319388,0.164501262680612
2023-08-04,0.763987224267598,-0.269204212118263,3,4,0.897347373727544,0.102652626272456
2023-08-05,0.743140123981245,-0.296870659877078,3,4,0.989568866256928,0.0104311337430721
2023-08-06,0.719687136159099,-0.32893869452127,2,3,0.0964623150709008,0.903537684929099
2023-08-07,0.694818118883539,-0.364105167114766,2,3,0.213683890382553,0.786316109617447
2023-08-08,0.677461924541363,-0.389401927746504,2,3,0.298006425821679,0.701993574178321
