"","SFE-M-1S","SFE-M-2","SFE-M-3","SFE-M-4","SFE-SH-1S"
"b0",0.999230348968956,0.999508100531867,1.00023198627973,0.999776935326899,0.999407907718284
"b1",0.999726045423266,0.999331602107451,0.999592438848484,1.0000168241356,0.999983900486033
"b[1]",0.999695320575826,1.00005989145256,0.999707144731322,0.999580086658612,1.0002354417961
"b[2]",1.00083280752335,1.00118932869785,1.00043546313341,1.00043932989393,1.00134175573012
"b[3]",0.999962484680109,0.999542209349758,1.00103182758193,0.999936844329309,1.0001525409072
"b[4]",1.000377150223,1.00059300736721,0.999624873349713,0.999707872967175,1.00116379912717
"b[5]",1.0003377739304,1.00159583510824,1.00132542669095,1.00033718908046,1.00247944530082
"b[6]",1.00012763206846,1.00086203321351,1.00041153518705,0.999573032821629,1.0032220418322
"sigma",0.999239267671367,0.999219498592383,0.999989341513568,0.999628988037718,1.00016799388339
"lp__",0.999632380618196,1.00005137699618,1.00040552323189,0.99983020998933,1.00113002720932
