"","SFE-M-1S","SFE-M-2","SFE-M-3","SFE-M-4","SFE-SH-1S"
"b0",0.99988586603446,0.999736621486511,1.00026430020022,0.999440319985954,0.999802012485948
"b1",0.999576899110492,1.00040909253924,1.00058513220704,0.999143501992025,0.99981173015646
"b[1]",0.999708990277982,0.999408934359865,1.00028346138046,1.0000347871029,0.999585346991235
"b[2]",1.00102010058526,0.999958817031963,1.00064061274135,1.00089692987711,1.00074844333841
"b[3]",0.999827257972472,1.00012451008727,1.00056268320277,0.999316864202172,0.999615438809353
"b[4]",1.00006058403036,0.999482463455263,1.00025593434235,1.00026112371069,1.00092628265825
"b[5]",1.00083305262069,1.00042571437175,1.0013819163621,1.00116920186375,1.00214147729726
"sigma",1.00009440310683,0.999825280099855,0.999523799169429,0.999405190784285,0.999402279187087
"lp__",1.00323461149891,0.999645482110808,1.00135211179053,1.00113803842277,1.00452047000246
