"chan_discharge","chan_width","chan_area","chan_velocity","measurement_dt","site_no","mean_z","discharge_m3_s","depth_m","velocity_m_s"
7210,134,980,7.36,1947-03-10,"11522500",7.3134328358209,204.191447182101,2.22913432835821,2.243328
9620,225,1200,8.01,1950-12-09,"11522500",5.33333333333333,272.44406683659,1.6256,2.441448
9920,235,1280,7.75,1951-02-08,"11522500",5.4468085106383,280.940243557066,1.66018723404255,2.3622
9450,228,1300,7.27,1957-02-25,"11522500",5.70175438596491,267.629566694987,1.73789473684211,2.215896
17800,252,1830,9.73,1958-02-19,"11522500",7.26190476190476,504.106485414897,2.21342857142857,2.965704
9440,239,1270,7.43,1958-02-27,"11522500",5.31380753138075,267.346360804305,1.61964853556485,2.264664
9270,240,1250,7.42,1964-12-01,"11522500",5.20833333333333,262.531860662702,1.5875,2.261616
9000,240,1270,7.1,1964-12-01,"11522500",5.29166666666667,254.885301614274,1.6129,2.16408
7400,240,1120,6.61,1964-12-10,"11522500",4.66666666666667,209.572359105069,1.4224,2.014728
12100,151,1380,8.77,1974-04-02,"11522500",9.13907284768212,342.679127725857,2.78558940397351,2.673096
207,81,110,1.88,1980-10-31,"11522500",1.35802469135802,5.86236193712829,0.413925925925926,0.573024
1540,133,462,3.33,1980-12-30,"11522500",3.47368421052632,43.613707165109,1.05877894736842,1.014984
1210,133,412,2.94,1981-02-03,"11522500",3.09774436090226,34.2679127725857,0.944192481203008,0.896112
2010,137,510,3.94,1981-03-04,"11522500",3.72262773722628,56.9243840271878,1.13465693430657,1.200912
1280,132,409,3.13,1981-03-23,"11522500",3.09848484848485,36.2503540073633,0.944418181818182,0.954024
1340,132,419,3.2,1981-05-04,"11522500",3.17424242424242,37.9495893514585,0.967509090909091,0.97536
948,125,342,2.77,1981-06-03,"11522500",2.736,26.8479184367035,0.8339328,0.844296
422,122,286,1.48,1981-06-29,"11522500",2.34426229508197,11.9512885868026,0.714531147540984,0.451104
180,106,211,0.85,1981-08-04,"11522500",1.99056603773585,5.09770603228547,0.606724528301887,0.25908
136,101,184,0.74,1981-09-02,"11522500",1.82178217821782,3.85160011328236,0.555279207920792,0.225552
179,104,190,0.94,1981-10-02,"11522500",1.82692307692308,5.06938544321722,0.556846153846154,0.286512
