"date","discharge_m3_s"
2022-06-23,4.41801189464741
2022-06-24,4.21976777116964
2022-06-25,4.04984423676012
2022-06-26,3.87992070235061
2022-06-27,3.68167657887284
2022-06-28,3.56839422259983
2022-06-29,3.45511186632682
2022-06-30,3.39847068819031
2022-07-01,3.34182951005381
2022-07-02,3.34182951005381
2022-07-03,3.37015009912206
2022-07-04,3.51175304446332
2022-07-05,3.7666383460776
2022-07-06,4.04984423676012
2022-07-07,4.10648541489663
2022-07-08,3.90824129141886
2022-07-09,3.65335598980459
2022-07-10,3.39847068819031
2022-07-11,3.20022656471255
2022-07-12,3.03030303030303
2022-07-13,2.82922684791844
2022-07-14,2.67346360804305
2022-07-15,2.57717360521099
2022-07-16,2.50070801472671
2022-07-17,2.4214103653356
2022-07-18,2.33361653922402
2022-07-19,2.22033418295101
2022-07-20,2.12687623902577
2022-07-21,1.99660152931181
2022-07-22,1.8606627017842
2022-07-23,1.78419711129991
2022-07-24,1.71622769753611
2022-07-25,1.65675446049278
2022-07-26,1.5689606343812
2022-07-27,1.54347210421977
2022-07-28,1.50665533843104
2022-07-29,1.48683092608326
2022-07-30,1.45567827810818
2022-07-31,1.42735768903993
2022-08-01,1.3905409232512
2022-08-02,1.39903709997168
2022-08-03,1.39337298215803
2022-08-04,1.33106768620787
2022-08-05,1.23477768337581
2022-08-06,1.16964032851883
2022-08-07,1.14698385726423
2022-08-08,1.15831209289153
2022-08-09,1.17530444633248
2022-08-10,1.18096856414613
2022-08-11,1.19512885868026
2022-08-12,1.19796091758709
2022-08-13,1.19512885868026
2022-08-14,1.16397621070518
2022-08-15,1.12715944491645
2022-08-16,1.07901444350042
2022-08-17,1.03370150099122
2022-08-18,0.97422826394789
2022-08-19,0.926083262531861
2022-08-20,0.872274143302181
2022-08-21,0.815632965165675
2022-08-22,0.778816199376947
2022-08-23,0.756159728122345
2022-08-24,0.744831492495044
2022-08-25,0.730671197960918
2022-08-26,0.739167374681393
2022-08-27,0.702350608892665
2022-08-28,0.682526196544888
2022-08-29,0.665533843103936
2022-08-30,0.642877371849334
2022-08-31,0.625885018408383
2022-09-01,0.617388841687907
2022-09-02,0.614556782781082
2022-09-03,0.606060606060606
2022-09-04,0.594732370433305
2022-09-05,0.572075899178703
2022-09-06,0.5380911922968
2022-09-07,0.515434721042198
2022-09-08,0.509770603228547
2022-09-09,0.478617955253469
2022-09-10,0.444633248371566
2022-09-11,0.441801189464741
2022-09-12,0.458793542905692
2022-09-13,0.461625601812518
2022-09-14,0.464457660719343
2022-09-15,0.464457660719343
2022-09-16,0.472953837439819
2022-09-17,0.487114131973945
2022-09-18,0.767487963749646
2022-09-19,1.02803738317757
2022-09-20,1.80118946474087
2022-09-21,2.18068535825545
2022-09-22,1.8719909374115
2022-09-23,1.6482582837723
2022-09-24,1.3792126876239
2022-09-25,1.22344944774851
2022-09-26,1.11583120928915
2022-09-27,1.0308694420844
2022-09-28,0.962900028320589
2022-09-29,0.926083262531861
2022-09-30,0.897762673463608
2022-10-01,0.872274143302181
2022-10-02,0.858113848768054
2022-10-03,0.86094590767488
2022-10-04,0.86094590767488
2022-10-05,0.875106202209006
2022-10-06,0.880770320022656
2022-10-07,0.883602378929482
2022-10-08,0.86094590767488
2022-10-09,0.838289436420278
2022-10-10,0.8071367884452
2022-10-11,0.787312376097423
2022-10-12,0.761823845935995
2022-10-13,0.741999433588219
2022-10-14,0.730671197960918
2022-10-15,0.708014726706315
2022-10-16,0.693854432172189
2022-10-17,0.69951854998584
2022-10-18,0.716510903426791
2022-10-19,0.716510903426791
2022-10-20,0.719342962333616
2022-10-21,0.725007080147267
2022-10-22,0.70518266779949
2022-10-23,0.668365902010762
2022-10-24,0.64570943075616
2022-10-25,0.654205607476635
2022-10-26,0.654205607476635
2022-10-27,0.648541489662985
2022-10-28,0.657037666383461
2022-10-29,0.665533843103936
2022-10-30,0.679694137638063
2022-10-31,0.679694137638063
2022-11-01,1.1214953271028
2022-11-02,1.55196828094024
2022-11-03,1.81534975927499
2022-11-04,1.53214386859247
2022-11-05,1.48399886717644
2022-11-06,1.58878504672897
2022-11-07,2.91702067403002
2022-11-08,6.4570943075616
2022-11-09,6.96686491079014
2022-11-10,5.40923251203625
2022-11-11,4.16312659303313
2022-11-12,3.37015009912206
2022-11-13,2.91702067403002
2022-11-14,2.64797507788162
2022-11-15,2.43557065986973
2022-11-16,2.24865477201926
2022-11-17,2.13254035683942
2022-11-18,2.02775417728689
2022-11-19,1.94279241008213
2022-11-20,1.8946474086661
2022-11-21,1.85216652506372
2022-11-22,1.81251770036817
2022-11-23,1.79552534692722
2022-11-24,1.77853299348626
2022-11-25,1.77003681676579
2022-11-26,1.78136505239309
2022-11-27,1.76720475785896
2022-11-28,1.78136505239309
2022-11-29,1.79835740583404
2022-11-30,1.8719909374115
2022-12-01,6.25885018408383
2022-12-02,10.2237326536392
2022-12-03,8.86434437836307
2022-12-04,6.79694137638063
2022-12-05,16.0860945907675
2022-12-06,19.059756442934
2022-12-07,12.999150382328
2022-12-08,10.1670914755027
2022-12-09,15.6329651656754
2022-12-10,94.5907674879637
2022-12-11,126.309827244407
2022-12-12,45.8793542905692
2022-12-13,25.4602095723591
2022-12-14,17.5870858113849
2022-12-15,13.6222033418295
2022-12-16,11.2999150382328
2022-12-17,9.7989238176154
2022-12-18,8.75106202209006
2022-12-19,7.92976493911073
2022-12-20,7.39167374681393
2022-12-21,6.96686491079014
2022-12-22,6.74030019824412
2022-12-23,6.74030019824412
2022-12-24,7.25007080147267
2022-12-25,7.50495610308694
