"date","discharge_m3_s"
2022-06-23,22.2599830076466
2022-06-24,21.523647691872
2022-06-25,20.5324270744831
2022-06-26,19.6261682242991
2022-06-27,18.719909374115
2022-06-28,17.9552534692722
2022-06-29,17.2472387425658
2022-06-30,16.6525063721325
2022-07-01,16.1710563579722
2022-07-02,15.7462475219485
2022-07-03,15.4064004531294
2022-07-04,16.0860945907675
2022-07-05,17.8419711129992
2022-07-06,16.8507504956103
2022-07-07,15.6046445766072
2022-07-08,14.7267063154914
2022-07-09,14.1036533559898
2022-07-10,13.5372415746248
2022-07-11,13.0557915604645
2022-07-12,12.5743415463042
2022-07-13,12.0645709430756
2022-07-14,11.7530444633248
2022-07-15,11.4698385726423
2022-07-16,11.1866326819598
2022-07-17,10.9317473803455
2022-07-18,10.6202209005947
2022-07-19,10.2803738317757
2022-07-20,9.99716794109317
2022-07-21,9.71396205041065
2022-07-22,9.48739733786463
2022-07-23,9.37411498159162
2022-07-24,9.23251203625035
2022-07-25,8.97762673463608
2022-07-26,8.77938261115831
2022-07-27,8.58113848768054
2022-07-28,8.43953554233928
2022-07-29,8.26961200792976
2022-07-30,8.09968847352025
2022-07-31,8.01472670631549
2022-08-01,8.09968847352025
2022-08-02,8.41121495327103
2022-08-03,8.29793259699802
2022-08-04,7.90144435004248
2022-08-05,7.47663551401869
2022-08-06,7.27839139054092
2022-08-07,7.16510903426791
2022-08-08,6.96686491079014
2022-08-09,6.82526196544888
2022-08-10,6.76862078731238
2022-08-11,6.82526196544888
2022-08-12,6.71197960917587
2022-08-13,6.57037666383461
2022-08-14,6.48541489662985
2022-08-15,6.40045312942509
2022-08-16,6.28717077315208
2022-08-17,6.14556782781082
2022-08-18,5.94732370433305
2022-08-19,5.86236193712829
2022-08-20,5.83404134806004
2022-08-21,5.74907958085528
2022-08-22,5.63579722458227
2022-08-23,5.63579722458227
2022-08-24,5.63579722458227
2022-08-25,5.49419427924101
2022-08-26,5.40923251203625
2022-08-27,5.32427074483149
2022-08-28,5.32427074483149
2022-08-29,5.29595015576324
2022-08-30,5.18266779949023
2022-08-31,5.06938544321722
2022-09-01,5.01274426508071
2022-09-02,4.92778249787596
2022-09-03,4.87114131973945
2022-09-04,4.92778249787596
2022-09-05,4.95610308694421
2022-09-06,4.87114131973945
2022-09-07,4.72953837439819
2022-09-08,4.70121778532993
2022-09-09,4.64457660719343
2022-09-10,4.58793542905692
2022-09-11,4.55961483998867
2022-09-12,4.72953837439819
2022-09-13,4.72953837439819
2022-09-14,4.75785896346644
2022-09-15,4.81450014160295
2022-09-16,4.8428207306712
2022-09-17,4.8994619088077
2022-09-18,5.15434721042198
2022-09-19,5.46587369017276
2022-09-20,6.68365902010762
2022-09-21,6.4570943075616
2022-09-22,6.91022373265364
2022-09-23,6.25885018408383
2022-09-24,5.80572075899179
2022-09-25,5.49419427924101
2022-09-26,5.26762956669499
2022-09-27,5.15434721042198
2022-09-28,5.04106485414897
2022-09-29,5.09770603228547
2022-09-30,5.06938544321722
2022-10-01,4.95610308694421
2022-10-02,4.8428207306712
2022-10-03,4.78617955253469
2022-10-04,4.70121778532993
2022-10-05,4.55961483998867
2022-10-06,4.50297366185217
2022-10-07,4.44633248371566
2022-10-08,4.41801189464741
2022-10-09,4.3047295383744
2022-10-10,4.3047295383744
2022-10-11,4.27640894930615
2022-10-12,4.24808836023789
2022-10-13,4.21976777116964
2022-10-14,4.21976777116964
2022-10-15,4.16312659303313
2022-10-16,4.13480600396488
2022-10-17,4.16312659303313
2022-10-18,4.21976777116964
2022-10-19,4.21976777116964
2022-10-20,4.16312659303313
2022-10-21,4.13480600396488
2022-10-22,4.27640894930615
2022-10-23,4.47465307278391
2022-10-24,4.55961483998867
2022-10-25,4.78617955253469
2022-10-26,4.87114131973945
2022-10-27,4.78617955253469
2022-10-28,4.72953837439819
2022-10-29,4.67289719626168
2022-10-30,4.61625601812518
2022-10-31,4.58793542905692
2022-11-01,5.21098838855848
2022-11-02,6.25885018408383
2022-11-03,5.89068252619654
2022-11-04,5.52251486830926
2022-11-05,11.4131973945058
2022-11-06,13.0841121495327
2022-11-07,14.018691588785
2022-11-08,10.3653355989805
2022-11-09,9.1475502690456
2022-11-10,8.18465024072501
2022-11-11,7.73152081563296
2022-11-12,8.09968847352025
2022-11-13,7.84480317190598
2022-11-14,7.41999433588219
2022-11-15,7.19342962333616
2022-11-16,7.13678844519966
2022-11-17,7.19342962333616
2022-11-18,7.22175021240442
2022-11-19,7.0518266779949
2022-11-20,6.82526196544888
2022-11-21,6.71197960917587
2022-11-22,6.68365902010762
2022-11-23,6.93854432172189
2022-11-24,7.08014726706315
2022-11-25,7.10846785613141
2022-11-26,7.25007080147267
2022-11-27,7.19342962333616
2022-11-28,7.16510903426791
2022-11-29,7.08014726706315
2022-11-30,7.30671197960918
2022-12-01,12.0645709430756
2022-12-02,9.37411498159162
2022-12-03,7.87312376097423
2022-12-04,8.72274143302181
2022-12-05,12.4044180118946
2022-12-06,10.761823845936
2022-12-07,9.17587085811385
2022-12-08,9.00594732370433
2022-12-09,9.99716794109317
2022-12-10,17.6154064004531
2022-12-11,19.9376947040498
2022-12-12,13.905409232512
2022-12-13,11.4698385726423
2022-12-14,10.2520532427074
2022-12-15,9.82724440668366
2022-12-16,9.54403851600113
2022-12-17,9.26083262531861
2022-12-18,9.03426791277258
2022-12-19,9.09090909090909
2022-12-20,9.34579439252336
2022-12-21,10.875106202209
2022-12-22,13.7354856981025
2022-12-23,20.3625035400736
2022-12-24,31.7190597564429
2022-12-25,86.3777966581705
