"date","discharge_m3_s","depth_m"
2022-06-23,22.2599830076466,1.38341186955884
2022-06-24,21.523647691872,1.37307692194725
2022-06-25,20.5324270744831,1.35877856985843
2022-06-26,19.6261682242991,1.34528999004305
2022-06-27,18.719909374115,1.33137197222401
2022-06-28,17.9552534692722,1.31926857470127
2022-06-29,17.2472387425658,1.30774583658767
2022-06-30,16.6525063721325,1.29781611247451
2022-07-01,16.1710563579722,1.28960004357527
2022-07-02,15.7462475219485,1.28221161083595
2022-07-03,15.4064004531294,1.27620289134772
2022-07-04,16.0860945907675,1.28813298393246
2022-07-05,17.8419711129992,1.31744590851322
2022-07-06,16.8507504956103,1.30115237083987
2022-07-07,15.6046445766072,1.27971877542012
2022-07-08,14.7267063154914,1.26391017987442
2022-07-09,14.1036533559898,1.25229898708244
2022-07-10,13.5372415746248,1.24143739111136
2022-07-11,13.0557915604645,1.23195994268827
2022-07-12,12.5743415463042,1.22224233244727
2022-07-13,12.0645709430756,1.21167391805212
2022-07-14,11.7530444633248,1.20506550591736
2022-07-15,11.4698385726423,1.19895393433128
2022-07-16,11.1866326819598,1.19273911341992
2022-07-17,10.9317473803455,1.18705384460603
2022-07-18,10.6202209005947,1.1799817087996
2022-07-19,10.2803738317757,1.17210425853858
2022-07-20,9.99716794109317,1.16540363559603
2022-07-21,9.71396205041065,1.15857296988821
2022-07-22,9.48739733786463,1.15301050364539
2022-07-23,9.37411498159162,1.15019542705449
2022-07-24,9.23251203625035,1.14664393691952
2022-07-25,8.97762673463608,1.14015698713565
2022-07-26,8.77938261115831,1.13502466105832
2022-07-27,8.58113848768054,1.12981309974241
2022-07-28,8.43953554233928,1.12604033663535
2022-07-29,8.26961200792976,1.12145589912582
2022-07-30,8.09968847352025,1.11680710199637
2022-07-31,8.01472670631549,1.11445786026025
2022-08-01,8.09968847352025,1.11680710199637
2022-08-02,8.41121495327103,1.12528064000047
2022-08-03,8.29793259699802,1.12222438165291
2022-08-04,7.90144435004248,1.11129910930858
2022-08-05,7.47663551401869,1.09917252931234
2022-08-06,7.27839139054092,1.09335307024367
2022-08-07,7.16510903426791,1.0899792504216
2022-08-08,6.96686491079014,1.08398692620681
2022-08-09,6.82526196544888,1.07963550100982
2022-08-10,6.76862078731238,1.07787778032876
2022-08-11,6.82526196544888,1.07963550100982
2022-08-12,6.71197960917587,1.07611005252121
2022-08-13,6.57037666383461,1.07164601095426
2022-08-14,6.48541489662985,1.06893617769603
2022-08-15,6.40045312942509,1.0662021528907
2022-08-16,6.28717077315208,1.06251821655147
2022-08-17,6.14556782781082,1.05784941574476
2022-08-18,5.94732370433305,1.05118885906889
2022-08-19,5.86236193712829,1.04828819222199
2022-08-20,5.83404134806004,1.04731496867492
2022-08-21,5.74907958085528,1.04437593036953
2022-08-22,5.63579722458227,1.04041101553008
2022-08-23,5.63579722458227,1.04041101553008
2022-08-24,5.63579722458227,1.04041101553008
2022-08-25,5.49419427924101,1.03537809435636
2022-08-26,5.40923251203625,1.03231597292224
2022-08-27,5.32427074483149,1.02922104667939
2022-08-28,5.32427074483149,1.02922104667939
2022-08-29,5.29595015576324,1.02818196303398
2022-08-30,5.18266779949023,1.02398751978197
2022-08-31,5.06938544321722,1.01973040920975
2022-09-01,5.01274426508071,1.01757761902387
2022-09-02,4.92778249787596,1.014317272747
2022-09-03,4.87114131973945,1.01212246573621
2022-09-04,4.92778249787596,1.014317272747
2022-09-05,4.95610308694421,1.01540826260472
2022-09-06,4.87114131973945,1.01212246573621
2022-09-07,4.72953837439819,1.0065586428756
2022-09-08,4.70121778532993,1.00543236013798
2022-09-09,4.64457660719343,1.00316591073766
2022-09-10,4.58793542905692,1.00088063214519
2022-09-11,4.55961483998867,0.999730809966269
2022-09-12,4.72953837439819,1.0065586428756
2022-09-13,4.72953837439819,1.0065586428756
2022-09-14,4.75785896346644,1.00768035957121
2022-09-15,4.81450014160295,1.0099102762185
2022-09-16,4.8428207306712,1.0110185650766
2022-09-17,4.8994619088077,1.01322202093418
2022-09-18,5.15434721042198,1.02292920734137
2022-09-19,5.46587369017276,1.03436097917688
2022-09-20,6.68365902010762,1.07522239164947
2022-09-21,6.4570943075616,1.06802755038912
2022-09-22,6.91022373265364,1.08225362188784
2022-09-23,6.25885018408383,1.06159020645164
2022-09-24,5.80572075899179,1.0463385347934
2022-09-25,5.49419427924101,1.03537809435636
2022-09-26,5.26762956669499,1.02713910291037
2022-09-27,5.15434721042198,1.02292920734137
2022-09-28,5.04106485414897,1.0186560653335
2022-09-29,5.09770603228547,1.02080068904691
2022-09-30,5.06938544321722,1.01973040920975
2022-10-01,4.95610308694421,1.01540826260472
2022-10-02,4.8428207306712,1.0110185650766
2022-10-03,4.78617955253469,1.00879755575035
2022-10-04,4.70121778532993,1.00543236013798
2022-10-05,4.55961483998867,0.999730809966269
2022-10-06,4.50297366185217,0.997416548832771
2022-10-07,4.44633248371566,0.995082454067535
2022-10-08,4.41801189464741,0.993907836541795
2022-10-09,4.3047295383744,0.989157613341294
2022-10-10,4.3047295383744,0.989157613341294
2022-10-11,4.27640894930615,0.987956834119441
2022-10-12,4.24808836023789,0.986750647930551
2022-10-13,4.21976777116964,0.985538994136268
2022-10-14,4.21976777116964,0.985538994136268
2022-10-15,4.16312659303313,0.983099035688221
2022-10-16,4.13480600396488,0.981870604185345
2022-10-17,4.16312659303313,0.983099035688221
2022-10-18,4.21976777116964,0.985538994136268
2022-10-19,4.21976777116964,0.985538994136268
2022-10-20,4.16312659303313,0.983099035688221
2022-10-21,4.13480600396488,0.981870604185345
2022-10-22,4.27640894930615,0.987956834119441
2022-10-23,4.47465307278391,0.996252006935787
2022-10-24,4.55961483998867,0.999730809966269
2022-10-25,4.78617955253469,1.00879755575035
2022-10-26,4.87114131973945,1.01212246573621
2022-10-27,4.78617955253469,1.00879755575035
2022-10-28,4.72953837439819,1.0065586428756
2022-10-29,4.67289719626168,1.00430146509671
2022-10-30,4.61625601812518,1.00202564927728
2022-10-31,4.58793542905692,1.00088063214519
2022-11-01,5.21098838855848,1.02504191617234
2022-11-02,6.25885018408383,1.06159020645164
2022-11-03,5.89068252619654,1.04925823142231
