"date","discharge_m3_s","depth_m"
2022-06-23,2.35627301047862,0.893288619620781
2022-06-24,2.25998300764656,0.886393726097652
2022-06-25,2.17218918153498,0.879895468113768
2022-06-26,2.08156329651657,0.872959256128974
2022-06-27,1.98527329368451,0.865314669600438
2022-06-28,1.90880770320023,0.85902582403577
2022-06-29,1.87482299631832,0.856164734981629
2022-06-30,1.84650240725007,0.85374805233268
2022-07-01,1.81534975927499,0.85105458743873
2022-07-02,1.80118946474087,0.849817826042552
2022-07-03,1.82101387708864,0.851547093185539
2022-07-04,1.90314358538658,0.85855187180709
2022-07-05,2.12687623902577,0.876457447632578
2022-07-06,2.27131124327386,0.887217166483388
2022-07-07,2.16652506372133,0.879468927685037
2022-07-08,2.01925800056641,0.868046564055054
2022-07-09,1.87765505522515,0.856404764879384
2022-07-10,1.76720475785896,0.846816973306986
2022-07-11,1.66525063721325,0.837523329621804
2022-07-12,1.57179269328802,0.828587782416703
2022-07-13,1.49249504389691,0.820660154074472
2022-07-14,1.43018974794676,0.81418699019734
2022-07-15,1.3905409232512,0.809947133869539
2022-07-16,1.345227980742,0.804979302070763
2022-07-17,1.30557915604645,0.800519389457415
2022-07-18,1.25177003681677,0.79428679902768
2022-07-19,1.19796091758709,0.787832085207397
2022-07-20,1.13848768054376,0.780417207914447
2022-07-21,1.09034267912773,0.774179999772127
2022-07-22,1.04786179552535,0.768487477416008
2022-07-23,1.01954120645709,0.764587163127655
2022-07-24,0.994052676295667,0.761000707460536
2022-07-25,0.960067969413764,0.756100416138992
2022-07-26,0.931747380345511,0.751907738353136
2022-07-27,0.906258850184084,0.748044645914531
2022-07-28,0.877938261115831,0.743647137274558
2022-07-29,0.863777966581705,0.741404914614157
2022-07-30,0.832625318606627,0.736364657871611
2022-07-31,0.809968847352025,0.732601665305899
2022-08-01,0.809968847352025,0.732601665305899
2022-08-02,0.8071367884452,0.732125284860097
2022-08-03,0.784480317190598,0.728264428051054
2022-08-04,0.75899178702917,0.723810879389244
2022-08-05,0.722175021240442,0.717157909585455
2022-08-06,0.702350608892665,0.713460361524471
2022-08-07,0.69951854998584,0.712925224195537
2022-08-08,0.70518266779949,0.713993744641455
2022-08-09,0.702350608892665,0.713460361524471
2022-08-10,0.708014726706315,0.714525386307413
2022-08-11,0.708014726706315,0.714525386307413
2022-08-12,0.708014726706315,0.714525386307413
2022-08-13,0.69951854998584,0.712925224195537
2022-08-14,0.674030019824412,0.708027869221235
2022-08-15,0.65137354856981,0.703546387347302
2022-08-16,0.625885018408383,0.698350369872165
2022-08-17,0.59756442934013,0.692370879246484
2022-08-18,0.560747663551402,0.684242457670933
2022-08-19,0.535259133389974,0.678356621359836
2022-08-20,0.518266779949023,0.674304647227874
2022-08-21,0.495610308694421,0.668730261632924
2022-08-22,0.475785896346644,0.663679777925037
2022-08-23,0.470121778532993,0.662205337025327
2022-08-24,0.461625601812518,0.659966318148568
2022-08-25,0.455961483998867,0.658454925042008
2022-08-26,0.447465307278391,0.656158913498388
2022-08-27,0.43613707165109,0.653041693138334
2022-08-28,0.427640894930615,0.650660217329818
2022-08-29,0.424808836023789,0.6498578294428
2022-08-30,0.413480600396488,0.646604062099928
2022-08-31,0.402152364769187,0.64327687650863
2022-09-01,0.396488246955537,0.64158457729775
2022-09-02,0.387992070235061,0.639008836962927
2022-09-03,0.379495893514585,0.636386750928943
2022-09-04,0.373831775700935,0.634612012625622
2022-09-05,0.37666383460776,0.63550209825865
2022-09-06,0.368167657887284,0.632815241231924
2022-09-07,0.351175304446332,0.627286400793348
2022-09-08,0.348343245539507,0.626343843555878
2022-09-09,0.331350892098556,0.620553676628473
2022-09-10,0.32285471537808,0.617567407780038
