"chan_discharge","chan_width","chan_area","chan_velocity","measurement_dt","site_no","mean_z","discharge_m3_s","depth_m","velocity_m_s"
692,140,381,1.82,1957-01-17,"11463000",2.72142857142857,19.5978476352308,0.829491428571429,0.554736
853,145,419,2.04,1957-04-17,"11463000",2.88965517241379,24.1574624752195,0.880766896551724,0.621792
662,144,341,1.94,1957-05-29,"11463000",2.36805555555556,18.7482299631832,0.721783333333333,0.591312
179,67,105,1.7,1957-07-09,"11463000",1.56716417910448,5.06938544321722,0.477671641791045,0.51816
177,60,94.4,1.88,1957-08-28,"11463000",1.57333333333333,5.01274426508071,0.479552,0.573024
1630,149,585,2.79,1957-10-10,"11463000",3.9261744966443,46.1625601812518,1.19669798657718,0.850392
692,145,324,2.14,1957-11-20,"11463000",2.23448275862069,19.5978476352308,0.681070344827586,0.652272
1770,150,570,3.11,1957-12-28,"11463000",3.8,50.1274426508071,1.15824,0.947928
12300,208,1940,6.34,1958-01-26,"11463000",9.32692307692308,348.343245539507,2.84284615384615,1.932432
471,142,223,2.11,1958-05-04,"11463000",1.57042253521127,13.338997451147,0.478664788732394,0.643128
291,146,154,1.89,1958-06-18,"11463000",1.05479452054795,8.24129141886151,0.321501369863014,0.576072
196,136,160,1.22,1958-07-30,"11463000",1.17647058823529,5.55083545737751,0.358588235294118,0.371856
243,149,134,1.81,1958-09-12,"11463000",0.899328859060403,6.88190314358539,0.274115436241611,0.551688
301,146,159,1.89,1958-10-23,"11463000",1.08904109589041,8.52449730954404,0.331939726027397,0.576072
163,139,149,1.09,1958-12-03,"11463000",1.07194244604317,4.61625601812518,0.326728057553957,0.332232
404,140,234,1.72,1959-01-19,"11463000",1.67142857142857,11.4415179835741,0.509451428571429,0.524256
7890,181,1360,5.8,1959-02-17,"11463000",7.51381215469613,223.449447748513,2.29020994475138,1.76784
567,141,250,2.27,1959-03-25,"11463000",1.77304964539007,16.0577740016992,0.540425531914894,0.691896
173,128,124,1.4,1959-05-07,"11463000",0.96875,4.8994619088077,0.295275,0.42672
182,125,130,1.4,1959-06-18,"11463000",1.04,5.15434721042198,0.316992,0.42672
203,127,135,1.5,1959-07-30,"11463000",1.06299212598425,5.74907958085528,0.324,0.4572
213,121,156,1.37,1959-09-10,"11463000",1.28925619834711,6.03228547153781,0.392965289256198,0.417576
332,123,205,1.62,1959-10-22,"11463000",1.66666666666667,9.40243557065987,0.508,0.493776
212,125,131,1.61,1959-12-11,"11463000",1.048,6.00396488246956,0.3194304,0.490728
770,155,386,1.99,1960-01-22,"11463000",2.49032258064516,21.8068535825545,0.759050322580645,0.606552
376,151,199,1.89,1960-05-24,"11463000",1.31788079470199,10.648541489663,0.401690066225166,0.576072
204,83,90.6,2.26,1960-08-17,"11463000",1.09156626506024,5.77740016992353,0.332709397590361,0.688848
1490,158,499,2.99,1961-02-23,"11463000",3.15822784810127,42.1976777116964,0.962627848101266,0.911352
1680,158,523,3.21,1961-03-29,"11463000",3.31012658227848,47.5785896346644,1.00892658227848,0.978408
470,107,470,2.69,1961-05-08,"11463000",4.39252336448598,13.3106768620787,1.33884112149533,0.819912
356,102,113,3.15,1961-06-23,"11463000",1.1078431372549,10.0821297082979,0.337670588235294,0.96012
366,152,173,2.12,1961-08-03,"11463000",1.13815789473684,10.3653355989805,0.346910526315789,0.646176
298,106,109,2.73,1961-09-13,"11463000",1.02830188679245,8.43953554233928,0.31342641509434,0.832104
215,97.9,97.9,2.2,1961-10-26,"11463000",1,6.08892664967431,0.3048,0.67056
2490,167,69.3,3.59,1961-11-30,"11463000",0.414970059880239,70.518266779949,0.126482874251497,1.094232
196,78,94.1,2.08,1962-01-03,"11463000",1.20641025641026,5.55083545737751,0.367713846153846,0.633984
9400,199,1620,5.78,1962-02-16,"11463000",8.14070351758794,266.213537241575,2.4812864321608,1.761744
206,128,101,2.04,1962-05-08,"11463000",0.7890625,5.83404134806004,0.24050625,0.621792
178,112,128,1.39,1962-06-01,"11463000",1.14285714285714,5.04106485414897,0.348342857142857,0.423672
157,125,121,1.3,1962-06-21,"11463000",0.968,4.44633248371566,0.2950464,0.39624
196,95,72.2,2.71,1962-07-31,"11463000",0.76,5.55083545737751,0.231648,0.826008
213,124,145,1.47,1962-09-13,"11463000",1.16935483870968,6.03228547153781,0.35641935483871,0.448056
172,82,62.3,2.76,1962-10-22,"11463000",0.759756097560976,4.87114131973945,0.231573658536585,0.841248
420,114,157,2.86,1962-11-30,"11463000",1.37719298245614,11.8946474086661,0.419768421052632,0.871728
6350,183,1190,5.33,1963-02-03,"11463000",6.50273224043716,179.835740583404,1.98203278688525,1.624584
1520,160,542,2.8,1963-02-08,"11463000",3.3875,43.047295383744,1.03251,0.85344
526,113,198,2.65,1963-03-12,"11463000",1.75221238938053,14.8966298499009,0.534074336283186,0.80772
2850,164,731,3.9,1963-04-19,"11463000",4.45731707317073,80.71367884452,1.35859024390244,1.18872
313,NA,NA,0,1963-05-23,"11463000",NA,8.86434437836307,NA,0
204,NA,NA,0,1963-07-01,"11463000",NA,5.77740016992353,NA,0
