"date","solar.time","DO.obs","DO.sat","depth","temp.water","light","discharge","DO.mod"
2022-08-28,2022-08-28 09:56:15.468914,8.038,8.57518777989361,0.575463359609698,22.361,1527.43194333333,0.659869725290286,7.86716598207531
2022-08-28,2022-08-28 10:01:15.468914,8.066,8.56795016589141,0.575463359609698,22.403,1546.565405,0.659869725290286,7.92444881130926
2022-08-28,2022-08-28 10:06:15.468914,8.151,8.56072296486106,0.576937779194938,22.445,1565.69886666667,0.671197960917587,7.9819032325829
2022-08-28,2022-08-28 10:11:15.468914,8.277,8.55088781314921,0.578391204449159,22.503,1584.83232833333,0.682526196544888,8.03944477118701
2022-08-28,2022-08-28 10:16:15.468914,8.3351,8.5449922846064,0.579824275432043,22.537,1603.96579,0.693854432172189,8.09707563289441
2022-08-28,2022-08-28 10:21:15.468914,8.3932,8.53241666833046,0.579824275432043,22.612,1623.09925166667,0.693854432172189,8.15483690151191
2022-08-28,2022-08-28 10:26:15.468914,8.4513,8.52524070035287,0.579824275432043,22.654,1642.23271333333,0.693854432172189,8.21277973667263
2022-08-28,2022-08-28 10:31:15.468914,8.5094,8.5127153748819,0.579824275432043,22.729,1661.366175,0.693854432172189,8.27089927475468
2022-08-28,2022-08-28 10:36:15.468914,8.5675,8.50022200004991,0.579824275432043,22.804,1680.49963666667,0.693854432172189,8.3291574812804
2022-08-28,2022-08-28 10:41:15.468914,8.6256,8.48356369422616,0.579824275432043,22.905,1699.63309833333,0.693854432172189,8.38752273606195
2022-08-28,2022-08-28 10:46:15.468914,8.6837,8.48064884069947,0.579824275432043,22.921,1718.76656,0.693854432172189,8.44605226530519
2022-08-28,2022-08-28 10:51:15.468914,8.7418,8.46952371890895,0.578391204449159,22.988,1732.00372333333,0.682526196544888,8.50468751613233
2022-08-28,2022-08-28 10:56:15.468914,8.7999,8.45569598560596,0.576937779194938,23.072,1745.24088666667,0.671197960917587,8.5632674928636
2022-08-28,2022-08-28 11:01:15.468914,8.858,8.45263660198809,0.575463359609698,23.089,1758.47805,0.659869725290286,8.62185053088863
2022-08-28,2022-08-28 11:06:15.468914,8.9161,8.4442946823597,0.575463359609698,23.139,1771.71521333333,0.659869725290286,8.68039795187331
2022-08-28,2022-08-28 11:11:15.468914,8.9742,8.44396186028009,0.575463359609698,23.139,1784.95237666667,0.659869725290286,8.73885158972367
2022-08-28,2022-08-28 11:16:15.468914,9.0323,8.44090931669113,0.575463359609698,23.156,1798.18954,0.659869725290286,8.79724771949313
2022-08-28,2022-08-28 11:21:15.468914,9.0904,8.43929730866608,0.576937779194938,23.164,1811.42670333333,0.671197960917587,8.85549704668881
2022-08-28,2022-08-28 11:26:15.468914,9.1485,8.4402438669937,0.578391204449159,23.156,1824.66386666667,0.682526196544888,8.9135477336281
2022-08-28,2022-08-28 11:31:15.468914,9.2066,8.43735310410434,0.579824275432043,23.172,1837.90103,0.693854432172189,8.97139259717241
2022-08-28,2022-08-28 11:36:15.468914,9.2647,8.43430416545687,0.579824275432043,23.189,1851.13819333333,0.693854432172189,9.02908442828818
2022-08-28,2022-08-28 11:41:15.468914,9.3228,8.42854388369198,0.579824275432043,23.223,1864.37535666667,0.693854432172189,9.08668277138138
2022-08-28,2022-08-28 11:46:15.468914,9.3809,8.42964764061575,0.579824275432043,23.214,1877.61252,0.693854432172189,9.14421821789914
2022-08-28,2022-08-28 11:51:15.468914,9.439,8.42532730079102,0.579824275432043,23.239,1875.14971,0.693854432172189,9.20127045285411
2022-08-28,2022-08-28 11:56:15.468914,9.4971,8.42627078125976,0.579824275432043,23.231,1872.6869,0.693854432172189,9.25741385596873
2022-08-28,2022-08-28 12:01:15.468914,9.5552,8.42721451459851,0.579824275432043,23.223,1870.22409,0.693854432172189,9.31269890179582
2022-08-28,2022-08-28 12:06:15.468914,9.6133,8.42688217232514,0.579824275432043,23.223,1867.76128,0.693854432172189,9.36712759044097
2022-08-28,2022-08-28 12:11:15.468914,9.6714,8.41858085375625,0.579824275432043,23.273,1865.29847,0.693854432172189,9.42064163045624
2022-08-28,2022-08-28 12:16:15.468914,9.7295,8.41426948107416,0.579824275432043,23.298,1862.83566,0.693854432172189,9.4732223448176
2022-08-28,2022-08-28 12:21:15.468914,9.7876,8.41266493771748,0.579824275432043,23.306,1860.37285,0.693854432172189,9.52493175970677
2022-08-28,2022-08-28 12:26:15.468914,9.8457,8.40962996728168,0.579824275432043,23.323,1857.91004,0.693854432172189,9.57579048382389
2022-08-28,2022-08-28 12:31:15.468914,9.9038,8.40929819415584,0.579824275432043,23.323,1855.44723,0.693854432172189,9.62581927404596
2022-08-28,2022-08-28 12:36:15.468914,9.9619,8.4037240117169,0.579942798585446,23.356,1852.98442,0.694798451807798,9.67500209522652
2022-08-28,2022-08-28 12:41:15.468914,10.02,8.39799742951404,0.580061184989486,23.39,1850.52161,0.695742471443406,9.72330065745691
2022-08-28,2022-08-28 12:46:15.468914,10.092,8.39101037107915,0.58017943498717,23.432,1848.0588,0.696686491079014,9.77071431539517
2022-08-28,2022-08-28 12:51:15.468914,10.074,8.38838414611592,0.58017943498717,23.449,1834.206815,0.696686491079014,9.81697214790185
2022-08-28,2022-08-28 12:56:15.468914,10.116,8.38718323639372,0.58017943498717,23.457,1820.35483,0.696686491079014,9.86182861520593
2022-08-28,2022-08-28 13:01:15.468914,10.204,8.38455920317718,0.58017943498717,23.474,1806.502845,0.696686491079014,9.90530180648239
2022-08-28,2022-08-28 13:06:15.468914,10.291,8.37940858059532,0.58017943498717,23.507,1792.65086,0.696686491079014,9.94737750009771
2022-08-28,2022-08-28 13:11:15.468914,10.307,8.37678895987978,0.58017943498717,23.524,1778.798875,0.696686491079014,9.98807360451189
2022-08-28,2022-08-28 13:16:15.468914,10.37,8.3781171143275,0.58017943498717,23.516,1764.94689,0.696686491079014,10.0274609774241
2022-08-28,2022-08-28 13:21:15.468914,10.348,8.37565608702414,0.578751356069852,23.532,1751.094905,0.685358255451713,10.0656314464849
2022-08-28,2022-08-28 13:26:15.468914,10.267,8.37303863054007,0.577303078201289,23.549,1737.24292,0.674030019824412,10.1026413134312
2022-08-28,2022-08-28 13:31:15.468914,10.298,8.37042266366817,0.575833968894396,23.566,1723.390935,0.662701784197111,10.1385032665235
2022-08-28,2022-08-28 13:36:15.468914,10.347,8.36922650945468,0.577303078201289,23.574,1709.53895,0.674030019824412,10.1730947581335
2022-08-28,2022-08-28 13:41:15.468914,10.446,8.35607024833602,0.578751356069852,23.658,1695.686965,0.685358255451713,10.206197635307
2022-08-28,2022-08-28 13:46:15.468914,10.525,8.34295087589828,0.58017943498717,23.742,1681.83498,0.696686491079014,10.2377359761523
2022-08-28,2022-08-28 13:51:15.468914,10.624,8.33784618009481,0.578751356069852,23.775,1659.30678666667,0.685358255451713,10.2676995006627
2022-08-28,2022-08-28 13:56:15.468914,10.697,8.32993287952256,0.577303078201289,23.826,1636.77859333333,0.674030019824412,10.2960494532402
