date,q.cms,site
2020-07-15,9.798923817615405,PL
2020-07-16,9.345794392523365,PL
2020-07-17,9.062588501840837,PL
2020-07-18,8.920985556499575,PL
2020-07-19,8.524497309544039,PL
2020-07-20,7.986406117247238,PL
2020-07-21,7.7315208156329644,PL
2020-07-22,7.561597281223449,PL
2020-07-23,7.561597281223449,PL
2020-07-24,7.986406117247238,PL
2020-07-25,7.335032568677428,PL
2020-07-26,6.910223732653638,PL
2020-07-27,6.4287737184933444,PL
2020-07-28,6.343811951288586,PL
2020-07-29,6.117247238742565,PL
2020-07-30,6.145567827810818,PL
2020-07-31,5.919003115264797,PL
2020-08-01,5.805720758991787,PL
2020-08-02,5.579156046445766,PL
2020-08-03,5.182667799490229,PL
2020-08-04,4.814500141602945,PL
2020-08-05,4.616256018125177,PL
2020-08-06,4.559614839988671,PL
2020-08-07,4.559614839988671,PL
2020-08-08,4.389691305579156,PL
2020-08-09,4.21976777116964,PL
2020-08-10,4.134806003964882,PL
2020-08-11,4.163126593033135,PL
2020-08-12,3.936561880487114,PL
2020-08-13,3.851600113282356,PL
2020-08-14,3.794958935145851,PL
2020-08-15,3.6816765788728403,PL
2020-08-16,3.5683942225998297,PL
2020-08-17,3.398470688190314,PL
2020-08-18,3.3135089209855564,PL
2020-08-19,3.3701500991220614,PL
2020-08-20,3.455111866326819,PL
2020-08-21,3.398470688190314,PL
2020-08-22,3.3135089209855564,PL
2020-08-23,3.3418295100538087,PL
2020-08-24,3.3418295100538087,PL
2020-08-25,3.3701500991220614,PL
2020-08-26,3.5683942225998297,PL
2020-08-27,3.6250354007363352,PL
2020-08-28,3.6250354007363352,PL
2020-08-29,3.398470688190314,PL
2020-08-30,3.2285471537807986,PL
2020-08-31,3.2851883319173036,PL
2020-09-01,3.398470688190314,PL
2020-09-02,3.3135089209855564,PL
2020-09-03,3.200226564712546,PL
2020-09-04,3.171905975644293,PL
2020-09-05,3.0869442084395353,PL
2020-09-06,2.945341263098272,PL
2020-09-07,3.0586236193712826,PL
2020-09-08,3.2851883319173036,PL
2020-09-09,3.3135089209855564,PL
2020-09-10,3.256867742849051,PL
2020-09-11,3.1435853865760404,PL
2020-09-12,3.0869442084395353,PL
2020-09-13,3.0869442084395353,PL
2020-09-14,3.0869442084395353,PL
2020-09-15,2.945341263098272,PL
2020-09-16,3.0019824412347775,PL
2020-09-17,3.0303030303030303,PL
2020-09-18,2.973661852166525,PL
2020-09-19,3.0869442084395353,PL
2020-09-20,3.3418295100538087,PL
2020-09-21,3.2285471537807986,PL
2020-09-22,3.0019824412347775,PL
2020-09-23,3.0586236193712826,PL
2020-09-24,3.0019824412347775,PL
2020-09-25,3.256867742849051,PL
2020-09-26,3.2851883319173036,PL
2020-09-27,3.483432455395072,PL
2020-09-28,3.483432455395072,PL
2020-09-29,3.5683942225998297,PL
2020-09-30,3.483432455395072,PL
2020-10-01,3.455111866326819,PL
2020-10-02,3.5400736335315774,PL
2020-10-03,3.483432455395072,PL
2020-10-04,3.5400736335315774,PL
2020-10-05,3.455111866326819,PL
2020-10-06,3.398470688190314,PL
2020-10-07,3.426791277258567,PL
2020-10-08,3.3701500991220614,PL
2020-10-09,3.3701500991220614,PL
2020-10-10,3.398470688190314,PL
2020-10-11,3.426791277258567,PL
2020-10-12,3.455111866326819,PL
2020-10-13,3.455111866326819,PL
2020-10-14,3.709997167941093,PL
2020-10-15,3.936561880487114,PL
2020-10-16,3.8799207023506086,PL
2020-10-17,4.163126593033135,PL
2020-10-18,4.33305012744265,PL
2020-10-19,4.75785896346644,PL
2020-10-20,5.267629566694987,PL
2020-10-21,5.154347210421976,PL
2020-10-22,5.069385443217219,PL
2020-10-23,4.531294250920419,PL
2020-10-24,4.134806003964882,PL
2020-10-25,4.078164825828377,PL
2020-10-26,4.049844236760125,PL
2020-10-27,4.4180118946474085,PL
2020-10-28,4.672897196261682,PL
2020-10-29,4.984423676012461,PL
2020-10-30,5.295950155763239,PL
2020-10-31,5.352591333899745,PL
2020-11-01,5.182667799490229,PL
2020-11-02,5.1260266213537236,PL
2020-11-03,5.0127442650807135,PL
2020-11-04,4.8994619088077025,PL
2020-11-05,5.154347210421976,PL
2020-11-06,5.041064854148966,PL
2020-11-07,5.1260266213537236,PL
2020-11-08,5.041064854148966,PL
