Fluorometer_ID,RFU,Units,Unacidified_acidified,Rack_ID,Extraction_vol,Notes
SAMPLE-001,169830.3,RFU,B,0,0,
SAMPLE-002,2452.51,RFU,BU,0,0,
SAMPLE-003,2359.24,RFU,BA,0,0,
SAMPLE-004,159907.4,RFU,U,1,10,
SAMPLE-005,95618.81,RFU,A,1,10,
SAMPLE-006,76953.29,RFU,U,2,10,
SAMPLE-007,46965.33,RFU,A,2,10,
SAMPLE-008,95540.77,RFU,U,3,10,
SAMPLE-009,58048.33,RFU,A,3,10,
SAMPLE-012,252430.5,RFU,U,4,10,redo since previous value seemed high 
SAMPLE-013,150445.1,RFU,A,4,10,redo since previous value seemed high 
SAMPLE-004,220990.8,RFU,U,5,10,
SAMPLE-005,131195.8,RFU,A,5,10,
SAMPLE-006,161792.1,RFU,U,6,10,
SAMPLE-007,97726.47,RFU,A,6,10,
SAMPLE-036,81301.76,RFU,U,15,10,
SAMPLE-037,52367.94,RFU,A,15,10,
SAMPLE-038,115541.3,RFU,U,16,10,
SAMPLE-039,73964.93,RFU,A,16,10,
SAMPLE-040,109749.6,RFU,U,17,10,
SAMPLE-041,69946.89,RFU,A,17,10,
SAMPLE-042,110260.1,RFU,U,18,10,
SAMPLE-043,70615.03,RFU,A,18,10,
SAMPLE-044,129269.8,RFU,U,19,10,
SAMPLE-045,80412.45,RFU,A,19,10,
SAMPLE-046,270455.3,RFU,U,21,10,
SAMPLE-047,172385.2,RFU,A,21,10,
SAMPLE-048,257735.4,RFU,U,20,10,
SAMPLE-049,162798.3,RFU,A,20,10,
SAMPLE-050,296814.1,RFU,U,22,10,
SAMPLE-051,186843.8,RFU,A,22,10,
SAMPLE-052,325573.2,RFU,U,23,10,
SAMPLE-053,203418.4,RFU,A,23,10,
SAMPLE-054,309897.9,RFU,U,24,10,
SAMPLE-055,195412,RFU,A,24,10,
SAMPLE-056,281051.3,RFU,U,25,10,
SAMPLE-057,177046.7,RFU,A,25,10,
SAMPLE-058,312906.5,RFU,U,26,10,
SAMPLE-059,194606.7,RFU,A,26,10,
SAMPLE-060,164264.8,RFU,U,27,10,
SAMPLE-061,107452,RFU,A,27,10,
SAMPLE-062,85333.06,RFU,U,28,10,
SAMPLE-063,54789.74,RFU,A,28,10,
SAMPLE-064,158661.5,RFU,U,29,10,
SAMPLE-065,100954.4,RFU,A,29,10,
