site_reach,field_date,type,triplicate,mass_mg,Rack_ID,dilution
SAL-1S,7/26/2022,TM,y,2.1,1,0.1
SAL-3,6/28/2023,TM,n,1.9,2,0.125
SFE-M-3,7/3/2023,TM,n,2.3,3,0.125
SFE-M-1S,7/10/2023,TM,n,2.1,4,0.125
SFE-M-2,7/10/2023,TM,n,2.1,5,0.125
SFE-M-3,7/10/2023,TM,y,2.1,6,0.125
SFE-M-3,7/10/2023,TM,y,2,7,0.125
SFE-M-3,7/10/2023,TM,y,2,8,0.125
SFE-SH-1S,7/11/2023,TM,n,2,9,0.125
SAL-1S,7/13/2023,TM,y,2,10,0.125
SAL-1S,7/13/2023,TM,y,2.1,11,0.125
SAL-1S,7/13/2023,TM,y,1.8,12,0.125
SAL-2,7/13/2023,TM,n,2.2,13,0.125
SAL-3,7/13/2023,TM,n,2,14,0.125
SFE-SH-1S,7/17/2023,TM,n,2,15,0.125
SFE-M-1S,7/17/2023,TM,n,2.1,16,0.125
SFE-M-3,7/17/2023,TM,y,2.1,17,0.125
SFE-M-3,7/17/2023,TM,y,2.2,18,0.125
SFE-M-3,7/17/2023,TM,y,2,19,0.125
SFE-SH-1S,7/24/2023,TM,n,2.2,20,0.125
