site_reach,field_date,type,triplicate,mass_mg,Rack_ID,dilution
SFE-M-1S,6/29/2022,TM,y,2,1,0.125
SAL-1S,7/26/2022,TM,y,1.8,2,0.125
SAL-3,7/26/2022,TM,n,1.8,3,0.125
RUS-1S,7/20/2022,TAC,n,1.9,4,0.25
RUS-2,7/20/2022,TAC,y,1.9,5,0.25
RUS-2,7/20/2022,TAC,y,2,6,0.25
RUS-2,8/2/2022,TAC,n,1.9,7,0.25
RUS-1S,9/1/2022,TAC,n,2.2,8,0.25
RUS-2,9/1/2022,TAC,n,2,9,0.25
RUS-3,9/1/2022,TAC,y,1.8,10,0.25
RUS-3,9/1/2022,TAC,y,2.3,11,0.25
RUS-3,9/1/2022,TAC,y,2.2,12,0.25
SFE-M-1S,9/6/2022,TAC,n,2.2,13,0.25
RUS-1S,9/15/2022,TAC,n,2,14,0.25
RUS-2,9/15/2022,TAC,n,2.3,15,0.25
RUS-3,9/15/2022,TAC,y,2.1,16,0.25
RUS-3,9/15/2022,TAC,y,1.9,17,0.25
RUS-3,9/15/2022,TAC,y,2.1,18,0.25
SFE-M-1S,9/17/2022,TAC,n,2,19,0.25
SAL-3,9/22/2022,TAC,n,2,20,0.25
