site_reach,field_date,type,triplicate,mass_mg,Rack_ID,dilution
SFE-M-3,9/17/2022,TM,y,2.2,1,0.0625
SFE-M-3,9/17/2022,TM,y,2.1,2,0.0625
SFE-M-3,9/17/2022,TM,y,1.9,3,0.0625
SFE-M-1S,7/14/2022,TAC,n,1.8,4,0.125
SFE-M-3,7/14/2022,TAC,y,2,5,0.125
SFE-M-3,7/14/2022,TAC,y,1.8,6,0.125
SFE-M-3,7/14/2022,TAC,y,1.9,7,0.125
SFE-M-4,7/14/2022,TAC,n,2.2,8,0.125
SFE-M-1S,8/10/2022,TAC,n,2,9,0.125
SFE-M-3,8/10/2022,TAC,n,2,10,0.125
SFE-M-4,8/10/2022,TAC,n,2,11,0.125
RUS-1S,8/17/2022,TAC,n,2,12,0.125
RUS-2,8/17/2022,TAC,n,2.1,13,0.125
RUS-3,8/17/2022,TAC,n,1.8,14,0.125
SFE-M-3,8/23/2022,TAC,n,2,15,0.125
RUS-1S,9/1/2022,TAC,n,2.1,16,0.125
RUS-2,9/1/2022,TAC,n,1.9,17,0.125
RUS-3,9/1/2022,TAC,y,2,18,0.125
RUS-3,9/1/2022,TAC,y,1.9,19,0.125
RUS-3,9/1/2022,TAC,y,2.1,20,0.125
