site_reach,field_date,type,triplicate,mass_mg,Rack_ID,dilution
SAL-3,6/28/2023,TM,n,1.9,1,0.25
SFE-M-3,7/3/2023,TM,n,2.1,2,0.0625
SFE-M-1S,7/10/2023,TM,n,1.8,3,0.0625
SFE-M-2,7/10/2023,TM,n,1.9,4,0.25
SFE-M-3,7/10/2023,TM,y,2.1,5,0.0625
SFE-M-3,7/10/2023,TM,y,2,6,0.0625
SFE-M-3,7/10/2023,TM,y,1.8,7,0.1
SFE-SH-1S,7/11/2023,TM,n,1.9,8,0.0625
SAL-1S,7/13/2023,TM,y,2.1,9,0.25
SAL-1S,7/13/2023,TM,y,2.2,10,0.25
SAL-1S,7/13/2023,TM,y,2.2,11,0.25
SAL-2,7/13/2023,TM,n,2.4,12,0.25
SAL-3,7/13/2023,TM,n,2,13,0.25
SFE-SH-1S,7/17/2023,TM,n,2.2,14,0.0625
SFE-M-1S,7/17/2023,TM,n,1.9,15,0.0625
SFE-M-3,7/17/2023,TM,y,2,16,0.0625
SFE-M-3,7/17/2023,TM,y,2.3,17,0.0625
SFE-M-3,7/17/2023,TM,y,2,18,0.0625
SFE-M-1S,7/24/2023,TM,n,2,19,0.0625
SFE-M-2,7/24/2023,TM,n,1.9,20,0.0625
