Fluorometer_ID,RFU,Units,Unacidified_acidified,Rack_ID,Extraction_vol,Notes
SAMPLE-001,162525.38,RFU,S,0,0,
SAMPLE-002,2705.86,RFU,BU,0,0,
SAMPLE-003,2493.26,RFU,BA,0,0,
SAMPLE-025,149251.08,RFU,U,1,10,using redo
SAMPLE-026,89634.8,RFU,A,1,10,using redo
SAMPLE-027,162699.83,RFU,U,2,10,using redo
SAMPLE-029,98559.57,RFU,A,2,10,using redo
SAMPLE-031,208816.66,RFU,U,3,10,using redo
SAMPLE-032,126271.13,RFU,A,3,10,using redo
SAMPLE-033,214195.73,RFU,U,4,10,using redo
SAMPLE-034,120308.7,RFU,A,4,10,using redo
SAMPLE-013,117104.09,RFU,U,5,10,
SAMPLE-014,71513.23,RFU,A,5,10,
SAMPLE-021,194805.59,RFU,U,6,10,
SAMPLE-022,118674.98,RFU,A,6,10,
SAMPLE-037,149986.09,RFU,U,7,10,using redo
SAMPLE-038,90559.91,RFU,A,7,10,using redo
SAMPLE-043,140944.14,RFU,U,8,10,using redo
SAMPLE-044,87076.32,RFU,A,8,10,using redo
