site_reach,field_date,type,triplicate,mass_mg,Rack_ID,dilution
SFE-M-1S,6/29/2022,TM,y,2.4,1,0.25
SFE-M-1S,6/29/2022,TM,y,2.5,2,0.25
SFE-M-1S,6/29/2022,TM,y,2.4,3,0.25
SFE-M-3,6/29/2022,TM,n,2.3,4,0.25
SFE-M-4,6/29/2022,TM,n,2.1,5,0.25
SAL-1S,7/12/2022,TM,n,2.2,6,0.25
SAL-2,7/12/2022,TM,n,2,7,0.25
SAL-3,7/12/2022,TM,n,2,8,0.25
SFE-M-1S,7/14/2022,TM,n,2.4,9,0.25
SAL-1S,7/26/2022,TM,y,2.1,11,0.25
SAL-1S,7/26/2022,TM,y,2.2,12,0.25
SAL-1S,7/26/2022,TM,y,2.4,13,0.25
SAL-2,7/26/2022,TM,n,2.5,14,0.25
SAL-3,7/26/2022,TM,n,2.4,15,0.25
SFE-M-1S,7/28/2022,TM,y,2.4,16,0.25
SFE-M-1S,7/28/2022,TM,y,2.3,17,0.25
SFE-M-1S,7/28/2022,TM,y,2.3,18,0.25
SFE-M-3,7/28/2022,TM,n,2,19,0.25
SFE-M-1S,8/10/2022,TM,n,2.3,20,0.25
