site_reach,field_date,type,triplicate,mass_mg,Rack_ID,dilution,Notes
SFE-M-3,7/10/2023,TM,y,2.1,1,0.1,
SFE-M-3,7/17/2023,TM,y,1.9,2,0.0625,
SFE-M-3,7/17/2023,TM,y,2,3,0.0625,
SFE-M-1S,7/24/2023,TM,n,2.2,4,0.05,
SFE-M-2,7/24/2023,TM,n,2.2,5,0.125,
SFE-M-3,7/24/2023,TM,n,2.1,6,0.0625,
SAL-1S,7/27/2023,TM,n,2.1,7,0.25,
SAL-2,7/27/2023,TM,n,2,8,0.25,
SAL-3,7/27/2023,TM,n,2.3,9,0.25,
SFE-SH-1S,7/31/2023,TM,n,2.2,10,0.125,
SFE-M-3,7/24/2023,TAC,n,2,11,0.25,
SFE-M-4,7/24/2023,TAC,n,2,12,0.125,
SFE-SH-1S,7/31/2023,TAC,n,1.9,13,0.125,
SFE-M-1S,7/31/2023,TAC,y,2,14,0.125,
SFE-M-1S,7/31/2023,TAC,y,1.9,15,0.125,
SFE-M-1S,7/31/2023,TAC,y,2,16,0.125,
SFE-M-2,7/31/2023,TAC,n,2,17,0.125,
SFE-M-3,7/31/2023,TAC,n,1.9,18,0.125,
SFE-M-4,7/31/2023,TAC,n,2,19,0.125,
SFE-SH-1S,8/7/2023,TAC,n,2.1,20,0.125,
SFE-M-1S,8/7/2023,TAC,y,2,21,0.125,
SFE-M-1S,8/7/2023,TAC,y,1.8,22,0.125,
SFE-M-1S,8/7/2023,TAC,y,2.2,23,0.125,
SFE-M-2,8/7/2023,TAC,n,1.9,24,0.5,using dilution redo
SFE-M-3,8/7/2023,TAC,n,2,25,0.125,
SFE-M-4,8/7/2023,TAC,n,1.8,26,0.125,
SFE-SH-1S,8/14/2023,TAC,n,1.8,27,0.125,
SFE-M-1S,8/14/2023,TAC,n,2.2,28,0.125,
SFE-M-2,8/14/2023,TAC,n,2.3,29,0.125,
SFE-M-3,8/14/2023,TAC,y,2.1,30,0.125,
SFE-M-3,8/14/2023,TAC,y,1.9,31,0.125,
SFE-M-3,8/14/2023,TAC,y,2.1,32,0.125,
