site_reach,field_date,type,triplicate,mass_mg,Rack_ID,dilution
SFE-M-1S,6/29/2022,TM,y,2.2,1,0.0625
SAL-1S,7/26/2022,TM,y,2.1,2,0.0625
SAL-3,7/26/2022,TM,n,2.1,3,0.0625
SFE-M-1S,8/23/2022,TM,y,2.3,4,0.0625
SFE-M-1S,8/23/2022,TM,y,1.8,5,0.0625
SFE-M-3,8/23/2022,TM,n,2,6,0.0625
RUS-1S,7/20/2022,TA,n,2.3,15,0.125
RUS-2,7/20/2022,TA,y,2,16,0.125
RUS-2,7/20/2022,TA,y,2.2,17,0.125
RUS-2,7/20/2022,TA,y,2.1,18,0.125
RUS-3,7/20/2022,TA,n,2.1,19,0.125
SFE-M-1S,7/28/2022,TA,y,1.9,20,0.125
SFE-M-1S,7/28/2022,TA,y,2,21,0.125
SFE-M-1S,7/28/2022,TA,y,2.1,22,0.125
SFE-M-3,7/28/2022,TA,n,2.1,23,0.125
SFE-M-4,7/28/2022,TA,y,2.3,24,0.125
SFE-M-4,7/28/2022,TA,y,1.9,25,0.125
SFE-M-4,7/28/2022,TA,y,2,26,0.125
RUS-1S,8/2/2022,TA,n,2.2,27,0.125
RUS-2,8/2/2022,TA,n,2,28,0.125
RUS-3,8/2/2022,TA,n,2,29,0.125
