Fluorometer_ID,RFU,Units,Unacidified_acidified,Rack_ID,Extraction_vol,Notes
SAMPLE-001,167290.4,RFU,B,0,0,
SAMPLE-002,2528.54,RFU,BU,0,0,
SAMPLE-003,2448.98,RFU,BA,0,0,
SAMPLE-072,200358.4,RFU,U,1,10,using redo as first run was not done at room temperature
SAMPLE-073,118571.6,RFU,A,1,10,
SAMPLE-006,131043.8,RFU,U,2,10,
SAMPLE-007,78228.73,RFU,A,2,10,
SAMPLE-008,113847.8,RFU,U,3,10,
SAMPLE-009,67395.69,RFU,A,3,10,
SAMPLE-010,156540.9,RFU,U,4,10,
SAMPLE-011,92247.79,RFU,A,4,10,
SAMPLE-012,131330.3,RFU,U,5,10,
SAMPLE-013,78127.39,RFU,A,5,10,
SAMPLE-014,122039.6,RFU,U,6,10,
SAMPLE-015,72570.01,RFU,A,6,10,
SAMPLE-016,162867,RFU,U,7,10,
SAMPLE-017,96993.41,RFU,A,7,10,
SAMPLE-018,190202.8,RFU,U,8,10,
SAMPLE-019,112023.2,RFU,A,8,10,
SAMPLE-020,226739.1,RFU,U,9,10,
SAMPLE-021,133751.4,RFU,A,9,10,
SAMPLE-022,168079.4,RFU,U,10,10,
SAMPLE-023,102014.9,RFU,A,10,10,
SAMPLE-024,230015.8,RFU,U,11,10,
SAMPLE-025,138465.7,RFU,A,11,10,
SAMPLE-026,143713.9,RFU,U,12,10,
SAMPLE-027,91238.14,RFU,A,12,10,
SAMPLE-028,191744.6,RFU,U,13,10,
SAMPLE-029,117625.1,RFU,A,13,10,
SAMPLE-030,197964.7,RFU,U,14,10,
SAMPLE-031,125158,RFU,A,14,10,
SAMPLE-032,212474.7,RFU,U,15,10,
SAMPLE-033,134303.8,RFU,A,15,10,
SAMPLE-034,235382,RFU,U,16,10,
SAMPLE-035,148218.2,RFU,A,16,10,
SAMPLE-036,146538.9,RFU,U,17,10,
SAMPLE-037,90096.73,RFU,A,17,10,
SAMPLE-038,161816.3,RFU,U,18,10,
SAMPLE-039,100436,RFU,A,18,10,
SAMPLE-040,254778.8,RFU,U,19,10,
SAMPLE-041,158238.8,RFU,A,19,10,
SAMPLE-042,215393.6,RFU,U,20,10,
SAMPLE-043,131918.1,RFU,A,20,10,
SAMPLE-044,137831.1,RFU,U,21,10,
SAMPLE-045,85261.38,RFU,A,21,10,
SAMPLE-046,117472.2,RFU,U,22,10,
SAMPLE-047,72105.22,RFU,A,22,10,
SAMPLE-048,139212.7,RFU,U,23,10,
SAMPLE-049,86062.59,RFU,A,23,10,
SAMPLE-070,228113.8,RFU,U,24,10,1/2 dilution redo
SAMPLE-071,137768.4,RFU,A,24,10,
SAMPLE-052,131972.3,RFU,U,25,10,
SAMPLE-053,81693.82,RFU,A,25,10,
SAMPLE-054,191003.3,RFU,U,26,10,
SAMPLE-055,114849.6,RFU,A,26,10,
SAMPLE-056,180150.8,RFU,U,27,10,
SAMPLE-057,111136.2,RFU,A,27,10,
SAMPLE-058,230980.7,RFU,U,28,10,
SAMPLE-059,143958.1,RFU,A,28,10,
SAMPLE-060,152904.3,RFU,U,29,10,
SAMPLE-061,91986.69,RFU,A,29,10,
SAMPLE-062,279257.8,RFU,U,30,10,
SAMPLE-063,171716.7,RFU,A,30,10,
SAMPLE-064,226922,RFU,U,31,10,
SAMPLE-065,140517.2,RFU,A,31,10,
SAMPLE-066,272470.4,RFU,U,32,10,
SAMPLE-067,169304.9,RFU,A,32,10,
