Fluorometer_ID,RFU,Units,Unacidified_acidified,Rack_ID,Extraction_vol,Notes
SAMPLE-001,168272.3,RFU,B,0,0,
SAMPLE-002,2642.02,RFU,BU,0,0,
SAMPLE-003,2498.37,RFU,BA,0,0,
SAMPLE-004,29575.05,RFU,U,1,10,
SAMPLE-005,18650.27,RFU,A,1,10,
SAMPLE-006,103003,RFU,U,2,10,
SAMPLE-007,61426.94,RFU,A,2,10,
SAMPLE-008,96192.65,RFU,U,3,10,
SAMPLE-009,57325.79,RFU,A,3,10,
SAMPLE-010,58476.31,RFU,U,4,10,
SAMPLE-011,35532.11,RFU,A,4,10,
SAMPLE-012,128034.8,RFU,U,5,10,
SAMPLE-013,76015.01,RFU,A,5,10,
SAMPLE-014,117194.2,RFU,U,6,10,
SAMPLE-015,69971.02,RFU,A,6,10,
SAMPLE-016,188108.5,RFU,U,7,10,
SAMPLE-017,111664.6,RFU,A,7,10,
SAMPLE-018,108822.7,RFU,U,8,10,
SAMPLE-019,65253.12,RFU,A,8,10,
SAMPLE-020,129875.5,RFU,U,9,10,
SAMPLE-021,79113.68,RFU,A,9,10,
SAMPLE-022,152565.8,RFU,U,10,10,
SAMPLE-023,92444.36,RFU,A,10,10,
SAMPLE-024,134080,RFU,U,11,10,
SAMPLE-025,80059.07,RFU,A,11,10,
SAMPLE-026,145955.8,RFU,U,12,10,
SAMPLE-027,88772.7,RFU,A,12,10,
SAMPLE-028,136997.9,RFU,U,13,10,
SAMPLE-029,83491.93,RFU,A,13,10,
SAMPLE-030,215946.3,RFU,U,14,10,
SAMPLE-031,127353.6,RFU,A,14,10,
SAMPLE-032,120157.8,RFU,U,15,10,
SAMPLE-033,71589.65,RFU,A,15,10,
SAMPLE-034,115852.3,RFU,U,16,10,
SAMPLE-035,68812.82,RFU,A,16,10,
SAMPLE-036,142222.2,RFU,U,17,10,
SAMPLE-037,85298.97,RFU,A,17,10,
SAMPLE-038,135586.7,RFU,U,18,10,
SAMPLE-039,79595.05,RFU,A,18,10,
SAMPLE-040,206784.7,RFU,U,19,10,
SAMPLE-041,121015.9,RFU,A,19,10,
SAMPLE-042,50278.6,RFU,U,20,10,
SAMPLE-043,31240.46,RFU,A,20,10,
