Fluorometer_ID,RFU,Units,Unacidified_acidified,Rack_ID,Extraction_vol,Notes
SAMPLE-001,166860.66,RFU,B,0,0,
SAMPLE-002,2645.93,RFU,BU,0,0,
SAMPLE-003,2562.98,RFU,BA,0,0,
SAMPLE-004,228774.23,RFU,U,1,10,
SAMPLE-005,135862.72,RFU,A,1,10,
SAMPLE-006,150013.39,RFU,U,2,10,
SAMPLE-007,88646.23,RFU,A,2,10,
SAMPLE-012,290534.62,RFU,U,3,10,
SAMPLE-013,170217.61,RFU,A,3,10,
SAMPLE-010,167125.47,RFU,U,4,10,
SAMPLE-011,99540.73,RFU,A,4,10,
SAMPLE-018,166291.14,RFU,U,5,10,
SAMPLE-019,99014.1,RFU,A,5,10,
SAMPLE-020,223495.72,RFU,U,6,10,
SAMPLE-021,130786.52,RFU,A,6,10,
SAMPLE-022,237416.41,RFU,U,7,10,
SAMPLE-023,138822.62,RFU,A,7,10,
SAMPLE-024,153357.67,RFU,U,8,10,0.1 mL dillution
SAMPLE-025,91814.64,RFU,A,8,10,0.1 mL dillution
SAMPLE-028,150831.14,RFU,U,9,10,
SAMPLE-029,88968.08,RFU,A,9,10,
SAMPLE-030,144616.48,RFU,U,10,10,
SAMPLE-031,85653.62,RFU,A,10,10,
SAMPLE-032,288829.62,RFU,U,11,10,
SAMPLE-033,172769.77,RFU,A,11,10,
SAMPLE-036,188978.59,RFU,U,12,10,1/4 dillution
SAMPLE-037,115426.77,RFU,A,12,10,1/4 dillution
SAMPLE-038,325916.75,RFU,U,13,10,1/8 dillution
SAMPLE-039,200343.94,RFU,A,13,10,1/8 dillution
SAMPLE-043,339039.44,RFU,U,14,10,1/8 dillution
SAMPLE-044,205958.59,RFU,A,14,10,1/8 dillution
SAMPLE-045,275329.09,RFU,U,15,10,1/8 dillution
SAMPLE-046,167345.28,RFU,A,15,10,1/8 dillution
SAMPLE-047,115275.02,RFU,U,16,10,
SAMPLE-048,72325.46,RFU,A,16,10,
SAMPLE-049,202428.92,RFU,U,17,10,
SAMPLE-050,123681.03,RFU,A,17,10,
SAMPLE-051,181601.09,RFU,U,18,10,
SAMPLE-052,113741.25,RFU,A,18,10,
SAMPLE-053,166287.78,RFU,U,19,10,
SAMPLE-054,101759.48,RFU,A,19,10,
SAMPLE-055,115728.25,RFU,U,20,10,
SAMPLE-056,70624.27,RFU,A,20,10,
