site_reach,field_date,type,triplicate,mass_mg,Rack_ID,dilution,Notes
SFE-M-1S,9/4/2023,TM,y,2,1,0.04,
SFE-M-2,9/4/2023,TM,n,2.4,2,0.04,
SFE-M-3,9/4/2023,TM,n,2.3,3,0.0625,
SFE-SH-1S,9/12/2023,TM,n,2.4,4,0.04,
SFE-M-1S,9/12/2023,TM,n,1.7,5,0.04,
SFE-M-2,9/12/2023,TM,y,1.7,6,0.04,
SFE-M-2,9/12/2023,TM,y,2.2,7,0.025,
SFE-M-2,9/12/2023,TM,y,2.4,8,0.04,
SFE-M-3,9/12/2023,TM,n,2.3,9,0.025,1/40 version instead of 1/25
SFE-M-4,9/12/2023,TM,n,1.8,10,0.04,
SFE-SH-1S,9/18/2023,TM,n,2.5,11,0.04,
SFE-M-1S,9/18/2023,TM,n,2.4,12,0.04,
SFE-M-2,9/18/2023,TM,n,1.9,13,0.04,
SFE-M-3,9/18/2023,TM,n,2.4,14,0.05,
SFE-M-4,9/18/2023,TM,y,1.9,15,0.05,
SFE-M-4,9/18/2023,TM,y,1.7,16,0.05,
SFE-M-4,9/18/2023,TM,y,1.7,17,0.05,
SFE-M-2,9/24/2023,TM,y,1.5,18,0.05,
Mat 1,9/24/2023,riffle_exp,n,1.5,19,0.05,
Mat 7,9/24/2023,riffle_exp,n,1.8,20,0.05,
