Fluorometer_ID,RFU,Units,Unacidified_acidified,Rack_ID,Extraction_vol,Notes
SAMPLE-001,166068.7,RFU,B,0,0,
SAMPLE-004,2661.18,RFU,BU,0,0,redo
SAMPLE-005,2398.67,RFU,BA,0,0,redo
SAMPLE-006,243338,RFU,U,1,10,
SAMPLE-007,141265.1,RFU,A,1,10,
SAMPLE-064,141064.7,RFU,U,2,10,using 2nd redo
SAMPLE-065,83352.46,RFU,A,2,10,using 2nd redo
SAMPLE-052,164437,RFU,U,3,10,using redo
SAMPLE-053,98211.24,RFU,A,3,10,using redo
SAMPLE-060,139312.3,RFU,U,4,10,using 2nd redo
SAMPLE-061,83133.84,RFU,A,4,10,using 2nd redo
SAMPLE-054,156117.8,RFU,U,5,10,using redo
SAMPLE-055,93551.67,RFU,A,5,10,using redo
SAMPLE-056,138557.7,RFU,U,6,10,using redo
SAMPLE-057,82587.12,RFU,A,6,10,using redo
SAMPLE-018,160247.8,RFU,U,7,10,
SAMPLE-019,95259.62,RFU,A,7,10,
SAMPLE-020,145543.8,RFU,U,8,10,
SAMPLE-021,86408.29,RFU,A,8,10,
SAMPLE-022,165463.9,RFU,U,9,10,
SAMPLE-023,98489.78,RFU,A,9,10,
SAMPLE-024,175263.5,RFU,U,10,10,
SAMPLE-025,103234.1,RFU,A,10,10,
SAMPLE-026,158877.4,RFU,U,11,10,
SAMPLE-027,94897.91,RFU,A,11,10,
SAMPLE-028,159618.4,RFU,U,12,10,
SAMPLE-029,93852.82,RFU,A,12,10,
SAMPLE-030,153668.6,RFU,U,13,10,
SAMPLE-031,92317.36,RFU,A,13,10,
SAMPLE-032,168017.1,RFU,U,14,10,
SAMPLE-033,99086.77,RFU,A,14,10,
SAMPLE-034,131080.6,RFU,U,15,10,
SAMPLE-035,82957.1,RFU,A,15,10,
SAMPLE-036,193698.8,RFU,U,16,10,
SAMPLE-037,127592.1,RFU,A,16,10,
SAMPLE-038,150100.6,RFU,U,17,10,
SAMPLE-039,93546.73,RFU,A,17,10,
SAMPLE-040,228594.5,RFU,U,18,10,
SAMPLE-041,139921.2,RFU,A,18,10,
SAMPLE-042,192918.8,RFU,U,19,10,
SAMPLE-043,118341.9,RFU,A,19,10,
SAMPLE-044,182934.8,RFU,U,20,10,
SAMPLE-045,114590.1,RFU,A,20,10,
SAMPLE-046,195686.7,RFU,U,21,10,
SAMPLE-047,119320.5,RFU,A,21,10,
SAMPLE-048,154817.8,RFU,U,22,10,
SAMPLE-049,100740.4,RFU,A,22,10,
SAMPLE-050,222858.9,RFU,U,23,10,
SAMPLE-051,142364.9,RFU,A,23,10,
