Fluorometer_ID,RFU,Units,Unacidified_acidified,Rack_ID,Extraction_vol,Notes
SAMPLE-001,169423.8,RFU,B,0,0,
SAMPLE-002,2601.31,RFU,BU,0,0,
SAMPLE-003,2542.56,RFU,BA,0,0,
SAMPLE-004,186072,RFU,U,1,10,
SAMPLE-005,110778.4,RFU,A,1,10,
SAMPLE-006,150386.9,RFU,U,2,10,
SAMPLE-007,89203.58,RFU,A,2,10,
SAMPLE-008,167343.4,RFU,U,3,10,
SAMPLE-009,100839.1,RFU,A,3,10,
SAMPLE-010,210030.6,RFU,U,4,10,
SAMPLE-011,130620.9,RFU,A,4,10,
SAMPLE-012,227814.6,RFU,U,5,10,
SAMPLE-013,140856.1,RFU,A,5,10,
SAMPLE-014,213620.2,RFU,U,6,10,
SAMPLE-015,135705.6,RFU,A,6,10,
SAMPLE-016,303639.5,RFU,U,7,10,
SAMPLE-017,185239.8,RFU,A,7,10,
SAMPLE-018,140492.6,RFU,U,8,10,
SAMPLE-019,94911.84,RFU,A,8,10,
SAMPLE-020,163233.3,RFU,U,9,10,
SAMPLE-021,105993.2,RFU,A,9,10,
SAMPLE-022,139222.3,RFU,U,10,10,
SAMPLE-023,93040.57,RFU,A,10,10,
SAMPLE-024,180851.5,RFU,U,11,10,
SAMPLE-025,119716,RFU,A,11,10,
SAMPLE-026,166051.3,RFU,U,12,10,
SAMPLE-027,109417.9,RFU,A,12,10,
SAMPLE-028,199104.8,RFU,U,13,10,
SAMPLE-029,129997.7,RFU,A,13,10,
SAMPLE-030,211286.3,RFU,U,14,10,
SAMPLE-031,133495.4,RFU,A,14,10,
SAMPLE-032,156660.6,RFU,U,15,10,
SAMPLE-033,104612,RFU,A,15,10,
SAMPLE-034,162604.9,RFU,U,16,10,
SAMPLE-035,109416,RFU,A,16,10,
SAMPLE-036,146662.1,RFU,U,17,10,
SAMPLE-037,97407.07,RFU,A,17,10,
SAMPLE-038,134983.8,RFU,U,18,10,
SAMPLE-039,89271.3,RFU,A,18,10,
SAMPLE-040,165394.2,RFU,U,19,10,
SAMPLE-041,116405.9,RFU,A,19,10,
SAMPLE-042,201990.4,RFU,U,20,10,
SAMPLE-043,138529.7,RFU,A,20,10,
