Fluorometer_ID,RFU,Units,Unacidified_acidified,Rack_ID,Extraction_vol,Notes
SAMPLE-001,163602.1,RFU,S,0,,
SAMPLE-002,6129.99,RFU,BU,0,,lower than before; but correct orientation!
SAMPLE-003,5789.07,RFU,BA,0,,
SAMPLE-004,132963.3,RFU,U,21,10,
SAMPLE-005,80831.08,RFU,A,21,10,
SAMPLE-006,116670.2,RFU,U,22,10,
SAMPLE-007,72184,RFU,A,22,10,above!
SAMPLE-010,149504.7,RFU,U,23,10,trying 1/10
SAMPLE-011,90414.6,RFU,A,23,10,
SAMPLE-014,130372.3,RFU,U,24,10,trying 1/16
SAMPLE-015,79796.72,RFU,A,24,10,
SAMPLE-017,123776.4,RFU,U,25,10,trying 1/16
SAMPLE-018,74083.65,RFU,A,25,10,
SAMPLE-019,123662.4,RFU,U,26,10,
SAMPLE-020,75209.43,RFU,A,26,10,
SAMPLE-024,127551.8,RFU,U,27,10,trying 1/16
SAMPLE-025,78373.45,RFU,A,27,10,
SAMPLE-028,217391.7,RFU,U,28,10,trying 1/4
SAMPLE-029,130811.9,RFU,A,28,10,
SAMPLE-030,157559.1,RFU,U,29,10,
SAMPLE-031,96647.19,RFU,A,29,10,
SAMPLE-032,162178.3,RFU,U,30,10,
SAMPLE-033,100497.4,RFU,A,30,10,
SAMPLE-035,185031.7,RFU,U,31,10,trying 1/20
SAMPLE-036,110513.8,RFU,A,31,10,
SAMPLE-046,128953.9,RFU,U,32,10,1/25 version
SAMPLE-047,77091.65,RFU,A,32,10,
