site_reach,field_date,type,triplicate,mass_mg,Rack_ID,dilution,Notes
SFE-M-3,7/17/2023,TM,y,2.2,1,0.125,
SFE-M-1S,7/24/2023,TM,n,2,2,0.0625,using 2nd redo
SFE-M-2,7/24/2023,TM,n,2.1,3,0.25,using redo
SFE-M-3,7/24/2023,TM,n,1.8,4,0.1,using 2nd redo
SAL-2,7/27/2023,TM,n,2,5,0.25,using redo
SAL-3,7/27/2023,TM,n,1.9,6,0.25,using reo
SFE-M-1S,7/31/2023,TM,y,2.3,7,0.0625,
SFE-M-1S,7/31/2023,TM,y,2,8,0.0625,
SFE-M-1S,7/31/2023,TM,y,1.9,9,0.0625,
SFE-M-2,7/31/2023,TM,n,2,10,0.125,
SFE-M-3,7/31/2023,TM,n,2,11,0.0625,
SFE-M-1S,8/7/2023,TM,y,1.9,12,0.0625,
SFE-M-1S,8/7/2023,TM,y,1.9,13,0.0625,
SFE-M-1S,8/7/2023,TM,y,2.1,14,0.0625,
SFE-M-4,8/14/2023,TAC,n,1.9,15,0.125,
SFE-SH-1S,8/22/2023,TAC,n,2.1,16,0.125,
SFE-M-1S,8/22/2023,TAC,n,2.1,17,0.125,
SFE-M-2,8/22/2023,TAC,n,2.2,18,0.25,SFE-M-2 samples at 1/4 due to below detect from last run; these typically had more sediment
SFE-M-3,8/22/2023,TAC,y,2,19,0.125,
SFE-M-3,8/22/2023,TAC,y,2,20,0.125,
SFE-M-3,8/22/2023,TAC,y,2,21,0.125,
SFE-M-4,8/22/2023,TAC,n,2,22,0.125,
SFE-M-1S,8/28/2023,TAC,n,2.2,23,0.125,
