Fluorometer_ID,RFU,Units,Unacidified_acidified,Rack_ID,Extraction_vol,Notes
SAMPLE-001,163881.3,RFU,S,0,,
SAMPLE-006,11680.44,RFU,BU,0,,tried blank one more time after cleaning
SAMPLE-007,11269.47,RFU,BA,0,,
SAMPLE-010,156436.1,RFU,U,1,10,redo at 1/25
SAMPLE-011,96043.76,RFU,A,1,10,
SAMPLE-012,205702.5,RFU,U,2,10,
SAMPLE-013,126709.9,RFU,A,2,10,
SAMPLE-018,274361.7,RFU,U,3,10,trying 1/16
SAMPLE-019,161821.6,RFU,A,3,10,
SAMPLE-022,111706.2,RFU,U,4,10,
SAMPLE-023,86856.91,RFU,A,4,10,
SAMPLE-024,167307.4,RFU,U,5,10,
SAMPLE-025,104715.9,RFU,A,5,10,
SAMPLE-026,118043,RFU,U,6,10,
SAMPLE-027,75685.55,RFU,A,6,10,
SAMPLE-029,190130.5,RFU,U,7,10,trying 1/40 instead
SAMPLE-030,110245.6,RFU,A,7,10,
SAMPLE-031,267113,RFU,U,8,10,
SAMPLE-032,159999.5,RFU,A,8,10,
SAMPLE-037,187244.4,RFU,U,9,10,trying 1/40
SAMPLE-038,113709.3,RFU,A,9,10,
SAMPLE-039,114545,RFU,U,10,10,
SAMPLE-040,71565.34,RFU,A,10,10,above!
SAMPLE-041,207273.2,RFU,U,11,10,
SAMPLE-042,127671.6,RFU,A,11,10,
SAMPLE-044,200171.2,RFU,U,12,10,
SAMPLE-045,121129.8,RFU,A,12,10,
SAMPLE-047,142413.7,RFU,U,13,10,
SAMPLE-048,84211.96,RFU,A,13,10,
SAMPLE-050,222437.4,RFU,U,14,10,trying 1/20
SAMPLE-051,132031.8,RFU,A,14,10,
SAMPLE-053,161231.8,RFU,U,15,10,trying 1/20
SAMPLE-054,97168.06,RFU,A,15,10,
SAMPLE-057,128263,RFU,U,16,10,trying 1/20
SAMPLE-058,76936.6,RFU,A,16,10,
SAMPLE-060,140589.4,RFU,U,17,10,trying 1/20
SAMPLE-061,83316.09,RFU,A,17,10,
SAMPLE-063,160895.6,RFU,U,18,10,trying 1/20
SAMPLE-064,98145,RFU,A,18,10,
SAMPLE-066,176882.8,RFU,U,19,10,trying 1/20
SAMPLE-067,105565.6,RFU,A,19,10,
SAMPLE-071,133598.9,RFU,U,20,10,trying 1/20
SAMPLE-072,82453.77,RFU,A,20,10,
