Fluorometer_ID,RFU,Units,Unacidified_acidified,Rack_ID,Extraction_vol,Notes
SAMPLE-001,166231.9,RFU,S,0,0,
SAMPLE-002,2505.19,RFU,BU,0,0,
SAMPLE-003,2465.07,RFU,BA,0,0,
SAMPLE-034,192364.8,RFU,U,1,10,using redo
SAMPLE-035,119694,RFU,A,1,10,using redo
SAMPLE-006,210540.5,RFU,U,2,10,
SAMPLE-007,131068.1,RFU,A,2,10,
SAMPLE-036,230859.9,RFU,U,3,10,using redo
SAMPLE-037,136236.8,RFU,A,3,10,using redo
SAMPLE-010,128278.4,RFU,U,4,10,
SAMPLE-011,78031.08,RFU,A,4,10,
SAMPLE-012,194644.5,RFU,U,5,10,
SAMPLE-013,122172.2,RFU,A,5,10,
SAMPLE-044,230085.2,RFU,U,6,10,using redo
SAMPLE-045,138660.9,RFU,A,6,10,using redo
SAMPLE-016,187058.4,RFU,U,7,10,
SAMPLE-017,111982.5,RFU,A,7,10,
SAMPLE-018,164771.5,RFU,U,8,10,
SAMPLE-019,99584.49,RFU,A,8,10,
SAMPLE-020,227792.2,RFU,U,9,10,
SAMPLE-021,136219.9,RFU,A,9,10,
SAMPLE-038,130680.4,RFU,U,10,10,using redo
SAMPLE-039,80247.62,RFU,A,10,10,using redo
SAMPLE-024,236938.6,RFU,U,11,10,
SAMPLE-025,147570.6,RFU,A,11,10,
SAMPLE-040,232984.9,RFU,U,12,10,using redo
SAMPLE-041,140551.7,RFU,A,12,10,using redo
SAMPLE-028,171780.5,RFU,U,13,10,
SAMPLE-029,104334.5,RFU,A,13,10,
SAMPLE-030,188922.4,RFU,U,14,10,
SAMPLE-031,114132,RFU,A,14,10,
SAMPLE-042,198958.7,RFU,U,15,10,
SAMPLE-043,120018.7,RFU,A,15,10,
