"field_date","site_reach","sample_type","triplicate","tin_g","wet_sample_tin_g","dry_sample_tin_g","combusted_sample_tin_g","dry_sample_g","afdm_g","percent_organic_matter"
2023-07-17,"SFE-M-1S","TAC","y","1.29685","6.67184","1.31189","1.30314","0.01504","0.00875","58.17819"
2023-07-17,"SFE-M-4","TAC","n","1.29306","7.8247","1.3416","1.32153","0.04854","0.02007","41.34734"
2023-07-24,"SFE-SH-1S","TAC","n","1.28759","12.78001","1.30631","1.29702","0.01872","0.00929","49.62607"
2023-07-24,"SFE-M-1S","TAC","n","1.29523","5.6645","1.32394","1.31244","0.02871","0.0115","40.05573"
2023-07-24,"SFE-M-2","TAC","n","1.29043","4.03539","1.32451","1.31337","0.03408","0.01114","32.68779"
2023-07-24,"SFE-M-3","TAC","n","1.27991","6.2425","1.3372","1.31913","0.05729","0.01807","31.54128"
2023-07-24,"SFE-M-4","TAC","y","1.27749","3.62429","1.29149","1.28602","0.014","0.00547","39.07143"
2023-07-24,"SFE-M-4","TAC","y","1.26869","5.5741","1.29288","1.28323","0.02419","0.00965","39.89252"
2023-07-24,"SFE-M-4","TAC","y","1.29268","3.9593","1.30778","1.30202","0.0151","0.00576","38.1457"
2023-07-31,"SFE-SH-1S","TAC","n","1.29282","3.95628","1.30461","1.29646","0.01179","0.00815","69.12638"
2023-07-31,"SFE-M-1S","TAC","y","1.28556","3.1794","1.32544","1.30901","0.03988","0.01643","41.1986"
2023-07-31,"SFE-M-1S","TAC","y","1.2927","3.01286","1.33626","1.31746","0.04356","0.0188","43.15886"
2023-07-31,"SFE-M-1S","TAC","y","1.28771","3.1845","1.31362","1.30339","0.02591","0.01023","39.48283"
2023-07-31,"SFE-M-2","TAC","n","1.29385","3.0211","1.32138","1.31204","0.02753","0.00934","33.92663"
2023-07-31,"SFE-M-3","TAC","n","1.29509","3.02935","1.30534","1.30105","0.01025","0.00429","41.85366"
2023-07-31,"SFE-M-4","TAC","n","1.29025","3.1197","1.32374","1.30954","0.03349","0.0142","42.40072"
2023-08-07,"SFE-SH-1S","TAC","n","1.29339","10.34729","1.32151","1.30642","0.02812","0.01509","53.66287"
2023-08-07,"SFE-M-1S","TAC","y","1.29303","4.02254","1.32772","1.3142","0.03469","0.01352","38.97377"
2023-08-07,"SFE-M-1S","TAC","y","1.29433","5.61572","1.35241","1.33011","0.05808","0.0223","38.39532"
2023-08-07,"SFE-M-1S","TAC","y","1.29394","6.54885","1.36877","1.3399","0.07483","0.02887","38.58078"
2023-08-07,"SFE-M-2","TAC","n","1.29439","21.3704","1.38669","1.3746","0.0923","0.01209","13.09859"
2023-08-07,"SFE-M-3","TAC","n","1.28992","7.05764","1.34573","1.32057","0.05581","0.02516","45.08153"
2023-08-07,"SFE-M-4","TAC","n","1.28238","7.36881","1.3044","1.29472","0.02202","0.00968","43.96004"
2023-08-14,"SFE-SH-1S","TAC","n","1.28953","3.2454","1.30922","1.29793","0.01969","0.01129","57.33875"
2023-08-14,"SFE-M-1S","TAC","n","1.29327","3.23685","1.3043","1.29864","0.01103","0.00566","51.3146"
2023-08-14,"SFE-M-2","TAC","n","1.29664","3.53782","1.35176","1.33573","0.05512","0.01603","29.082"
2023-08-14,"SFE-M-3","TAC","y","1.29865","3.5822","1.30636","1.30135","0.00771","0.00501","64.98054"
2023-08-14,"SFE-M-3","TAC","y","1.29018","3.5258","1.29919","1.2943","0.00901","0.00489","54.27303"
