"site_reach","triplicate","field_date","sample_type","lyophilize_date","ext_weight_mg","ext_volume_mL","ext_method","MCY_ug_g","ATXa_ug_g","HTXa_ug_g","dhATXa_ug_g","dhHTXa_ug_g","MCY_det_limit","ATX_det_limit","ATX_all_ug_g"
"SFE-M-1S","y","2022-07-28","TAC","2/10/2023",190.3,10,"50% methanol","ND","3.776","ND","0.584","ND","0.09",0.1215,"ND"
"SFE-M-1S","y","2022-07-28","TAC","2/10/2023",156.9,10,"50% methanol","ND","6.231","ND","0.806","ND","0.11",0.1474,"ND"
"SFE-M-1S","y","2022-07-28","TAC","2/10/2023",102.7,5,"50% methanol","ND","3.414","0.043","0.44","ND","0.08",0.1126,"ND"
"SFE-M-3","n","2022-07-28","TAC","2/10/2023",195.5,10,"50% methanol","ND","4.279","ND","0.44","ND","0.09",0.1183,"ND"
"SFE-M-4","y","2022-07-28","TAC","2/10/2023",106,5,"50% methanol","ND","5.62","ND","0.844","ND","0.08",0.1091,"ND"
"SFE-M-4","y","2022-07-28","TAC","2/10/2023",103.7,5,"50% methanol","ND","3.644","0.017","0.763","ND","0.09",0.1115,"ND"
"SFE-M-4","y","2022-07-28","TAC","2/10/2023",106.2,5,"50% methanol","ND","4.534","ND","0.739","ND","0.08",0.1089,"ND"
"RUS-1S","n","2022-08-02","TAC","2/10/2023",111.7,5,"50% methanol","ND","ND","0.113","ND","ND","0.08",0.1035,"ND"
"RUS-2","n","2022-08-02","TAC","2/10/2023",163.7,10,"50% methanol","ND","ND","ND","ND","ND","0.11",0.1413,"ND"
"RUS-3","n","2022-08-02","TAC","2/10/2023",126.9,5,"50% methanol","ND","ND","ND","ND","ND","0.07",0.0911,"ND"
"SFE-M-1S","n","2022-08-10","TAC","2/10/2023",53.7,5,"50% methanol","ND","72.138","ND","21.935","ND","0.17",0.2153,"ND"
"SFE-M-3","n","2022-08-10","TAC","2/10/2023",198.6,10,"50% methanol","ND","1.894","ND","0.151","ND","0.09",0.1165,"ND"
"SFE-M-4","n","2022-08-10","TAC","2/10/2023",104.2,5,"50% methanol","ND","32.582","ND","11.15","ND","0.09",0.111,"ND"
"RUS-1S","n","2022-08-17","TAC","2/10/2023",71.2,5,"50% methanol","ND","ND","0.073","0.113","ND","0.13",0.1624,"ND"
"BLANK 2","n","NA","BLANK","NA",0,10,"50% methanol","ND","ND","ND","ND","ND","1.8",2.3127,"ND"
