"site_reach","triplicate","field_date","sample_type","lyophilize_date","ext_weight_mg","ext_volume_mL","ext_method","MCY_ug_g","ATXa_ug_g","HTXa_ug_g","dhATXa_ug_g","dhHTXa_ug_g","MCY_det_limit","ATX_det_limit","ATX_all_ug_g"
"SFE-M-4","n","2023-07-31","TAC","11/3/2023",232.4,10,"50% methanol","ND","3.862","ND","1.126","ND","0.1",0.0113,"ND"
"SFE-SH-1S","n","2023-08-07","TAC","11/3/2023",134.8,5,"50% methanol","ND","1.587","ND","0.281","ND","0.08",0.0084,"ND"
"SFE-M-1S","y","2023-08-07","TAC","11/3/2023",188.6,10,"50% methanol","ND","10.456","ND","1.22","ND","0.09",0.0102,"ND"
"SFE-M-1S","y","2023-08-07","TAC","11/3/2023",212.2,10,"50% methanol","ND","11.799","ND","1.245","ND","0.09",0.0099,"ND"
"SFE-M-1S","y","2023-08-07","TAC","11/3/2023",200.5,10,"50% methanol","ND","11.226","ND","1.242","ND","0.09",0.0099,"ND"
"SFE-M-2","n","2023-08-07","TAC","11/3/2023",189.8,10,"50% methanol","ND","1.144","ND","0.088","ND","0.11",0.0122,"ND"
"SFE-M-3","n","2023-08-07","TAC","11/3/2023",217.8,10,"50% methanol","ND","4.13","ND","0.683","ND","0.11",0.0124,"ND"
"SFE-M-4","n","2023-08-07","TAC","10/7/2023",98.6,5,"50% methanol","ND","34.248","ND","4.34","ND","0.1",0.0115,"ND"
"SFE-SH-1S","n","2023-08-14","TAC","11/3/2023",187.4,10,"50% methanol","ND","10.991","0.038","1.395","ND","0.11",0.0122,"ND"
"SFE-M-1S","n","2023-08-14","TAC","11/3/2023",170.1,10,"50% methanol","ND","53.561","ND","7.018","ND","0.14",0.015,"ND"
"SFE-M-2","n","2023-08-14","TAC","11/3/2023",183.5,10,"50% methanol","ND","45.657","ND","5.695","ND","0.11",0.0116,"ND"
"SFE-M-3","y","2023-08-14","TAC","11/3/2023",97.5,5,"50% methanol","ND","20.204","ND","2.947","ND","0.11",0.0117,"ND"
"SFE-M-3","y","2023-08-14","TAC","11/3/2023",121.9,5,"50% methanol","ND","23.811","ND","3.314","ND","0.08",0.0093,"ND"
"SFE-M-3","y","2023-08-14","TAC","11/3/2023",88.2,5,"50% methanol","ND","21.38","ND","2.886","ND","0.12",0.0129,"ND"
"SFE-M-4","n","2023-08-14","TAC","10/11/2023",229.4,10,"50% methanol","ND","21.478","ND","3.604","ND","0.1",0.0106,"ND"
"SFE-SH-1S","n","2023-08-22","TAC","11/3/2023",221.1,10,"50% methanol","ND","7.41","ND","0.753","ND","0.13",0.0143,"ND"
"SFE-M-1S","n","2023-08-22","TAC","11/3/2023",235.5,10,"50% methanol","ND","20.565","ND","3.215","ND","0.1",0.0111,"ND"
"SFE-M-2","n","2023-08-22","TAC","11/3/2023",175.1,10,"50% methanol","ND","5.981","ND","0.942","ND","0.12",0.013,"ND"
"BLANK 9","n","NA","BLANK","NA",0,10,"50% methanol","ND","ND","ND","ND","ND","2.06",0.2275,"ND"
"SFE-M-3","y","2023-08-22","TAC","11/13/2023",156.6,10,"50% methanol","ND","13.053","ND","2.982","ND","0.1",0.0106,"ND"
"SFE-M-3","y","2023-08-22","TAC","11/13/2023",177.1,10,"50% methanol","ND","14.064","ND","3.253","ND","0.12",0.0128,"ND"
"SFE-M-3","y","2023-08-22","TAC","11/13/2023",199.2,10,"50% methanol","ND","14.788","ND","3.143","ND","0.1",0.0114,"ND"
"SFE-M-4","n","2023-08-22","TAC","11/13/2023",103.8,5,"50% methanol","ND","28.817","ND","3.924","ND","0.1",0.011,"ND"
"SFE-M-1S","n","2023-08-28","TAC","11/13/2023",99.4,5,"50% methanol","ND","10.67","ND","1.928","ND","0.1",0.0114,"ND"
"SFE-M-3","n","2023-08-28","TAC","11/13/2023",236,10,"50% methanol","ND","0.463","ND","0.153","ND","0.09",0.0096,"ND"
"SFE-M-1S","n","2023-09-04","TAC","11/13/2023",169.2,10,"50% methanol","ND","2.615","ND","0.298","ND","0.12",0.0134,"ND"
"SFE-M-2","n","2023-09-04","TAC","11/13/2023",191.1,10,"50% methanol","ND","0.013","ND","ND","ND","0.11",0.0119,"ND"
"SFE-M-1S","n","2023-09-12","TAC","11/13/2023",182,10,"50% methanol","ND","0.027","ND","0.01","ND","0.11",0.0125,"ND"
"SFE-SH-1S","n","2023-09-18","TAC","11/13/2023",129.4,5,"50% methanol","ND","6.064","ND","1.159","ND","0.08",0.0088,"ND"
"SFE-M-1S","n","2023-09-18","TAC","11/13/2023",78.2,5,"50% methanol","ND","ND","ND","ND","ND","0.13",0.0145,"ND"
"SFE-M-2","y","2023-09-18","TAC","11/13/2023",179.7,10,"50% methanol","ND","0.002","ND","ND","ND","0.11",0.0127,"ND"
"SFE-M-2","y","2023-09-18","TAC","11/13/2023",207.6,10,"50% methanol","0.2","0.001","ND","0.006","ND","0.1",0.011,"ND"
"SFE-M-2","y","2023-09-18","TAC","11/13/2023",209.5,10,"50% methanol","0.21","0.001","ND","ND","ND","0.1",0.0109,"ND"
"SFE-M-3","n","2023-09-18","TAC","11/13/2023",98,5,"50% methanol","ND","ND","ND","ND","ND","0.11",0.0116,"ND"
"SFE-SH-1S","n","2023-09-24","TAC","11/13/2023",95.8,5,"50% methanol","ND","1.031","ND","0.091","ND","0.11",0.0119,"ND"
"SFE-M-1S","n","2023-09-24","TAC","11/13/2023",23.6,2,"50% methanol","ND","ND","ND","ND","ND","0.17",0.0193,"ND"
"SFE-M-2","y","2023-09-24","TAC","12/8/2023",64.1,5,"50% methanol","ND","ND","ND","ND","ND","0.16",0.0177,"ND"
"SFE-M-2","y","2023-09-24","TAC","12/8/2023",96.5,5,"50% methanol","ND","0.006","ND","ND","ND","0.11",0.0118,"ND"
"SFE-M-2","y","2023-09-24","TAC","12/8/2023",72.7,5,"50% methanol","ND","ND","0.028","ND","ND","0.14",0.0156,"ND"
"BLANK 10","n","NA","BLANK","NA",0,10,"50% methanol","ND","ND","ND","ND","ND","2.06",0.2275,"ND"
"Mat 1","n","2023-09-24","riffle_exp","10/15/2023",226.5,10,"50% methanol","ND","1.193","ND","0.06","ND","0.09",0.0093,"ND"
"Mat 2","n","2023-09-24","riffle_exp","11/13/2023",221.4,10,"50% methanol","ND","0.485","ND","0.035","ND","0.09",0.0096,"ND"
"Mat 3","n","2023-09-24","riffle_exp","10/15/2023",200.3,10,"50% methanol","ND","0.929","ND","0.041","ND","0.1",0.0106,"ND"
"Mat 4","n","2023-09-24","riffle_exp","11/13/2023",212.9,10,"50% methanol","ND","2.551","ND","0.12","ND","0.1",0.0099,"ND"
"Mat 5","n","2023-09-24","riffle_exp","10/15/2023",211.7,10,"50% methanol","ND","2.052","ND","0.073","ND","0.1",0.01,"ND"
"Mat 6","n","2023-09-24","riffle_exp","10/15/2023",175.1,10,"50% methanol","ND","0.892","ND","0.04","ND","0.12",0.0121,"ND"
"Mat 7","n","2023-09-24","riffle_exp","10/15/2023",224,10,"50% methanol","ND","1.092","ND","0.052","ND","0.09",0.0094,"ND"
"Mat 8","n","2023-09-24","riffle_exp","11/13/2023",224.8,10,"50% methanol","ND","0.867","ND","0.074","ND","0.08",0.0094,"ND"
"Mat 9","n","2023-09-24","riffle_exp","11/13/2023",223.5,10,"50% methanol","ND","1.345","ND","0.089","ND","0.08",0.0095,"ND"
