"site_year","site","DO_source","date","GPP.mean","GPP.2.5.pct","GPP.97.5.pct","GPP_Rhat","ER.mean","ER.2.5.pct","ER.97.5.pct","ER_Rhat","K600_daily_mean","K600_daily_Rhat"
"salmon_karuk_2023","salmon","Karuk",2023-09-20,4.31933327692297,3.91358804981329,4.66975476398255,1.00971115930253,-4.15711396722858,-4.5995951455899,-3.67076022107447,1.00517192511278,9.96986703607753,1.00608049608537
"salmon_karuk_2023","salmon","Karuk",2023-09-21,3.69927467645406,3.3534938815504,4.04932704125233,1.01370244246919,-3.44056945382401,-3.88857009223841,-2.96353491068465,1.00530483657182,9.12139164827659,1.0142550864668
"salmon_karuk_2023","salmon","Karuk",2023-09-22,3.44443133230713,3.11526704465941,3.75738816129452,1.01116610967119,-3.06138609906687,-3.40565087914228,-2.67666270550268,1.00928187118401,8.26840751942702,1.01633017786082
"salmon_karuk_2023","salmon","Karuk",2023-09-23,3.0275333000707,2.74373368639356,3.32020258664587,0.998661687453536,-3.54470262593157,-3.9591414334286,-3.15548839770913,1.00397158179064,7.94507376454613,1.00285308551345
"sfkeel_mir_2022","sfkeel_mir","this_project",2022-06-30,3.60247559887354,2.38684704082607,4.85161214652992,0.999671923655027,-3.78719588292155,-5.50830691451942,-1.98981501391877,0.999538591529942,4.28737288761577,1.00003659554124
"sfkeel_mir_2022","sfkeel_mir","this_project",2022-07-01,3.80603109849098,2.57056425987589,5.02487194560715,0.999346787209861,-3.85312266349276,-5.55559864918294,-2.13213036994093,0.999516057460736,4.23156489779262,0.999277125985409
"sfkeel_mir_2022","sfkeel_mir","this_project",2022-07-02,4.073441015731,2.87483113108586,5.2710351302455,1.00008368106003,-3.73135453107882,-5.46657608833239,-2.05343229081925,1.00006495770532,3.92764865942428,0.999509422977721
"sfkeel_mir_2022","sfkeel_mir","this_project",2022-07-03,2.98557224774282,1.89473949896712,4.06350702336819,1.00001014275239,-3.01313984919208,-4.66050069947087,-1.31847178330496,0.999418913959251,3.46752922461958,1.00313201168965
"sfkeel_mir_2022","sfkeel_mir","this_project",2022-07-04,4.13232198843506,2.91208986401283,5.35050838891376,0.999689792571118,-4.17783876333325,-5.91071585862429,-2.42793140889758,0.999522713947842,4.21841890239486,0.999105160163739
"sfkeel_mir_2022","sfkeel_mir","this_project",2022-07-05,3.82809151442695,2.60758867590516,4.99996626902895,0.999238617103606,-3.59373661315035,-5.29141234940308,-1.86440074403729,0.999358472271515,4.30330039140919,0.999594861998004
"sfkeel_mir_2022","sfkeel_mir","this_project",2022-07-06,4.64790519409068,3.38610424293914,5.90707542773679,0.999541436230436,-4.00498277896089,-5.7855150345261,-2.2501824310964,1.00136467923538,4.26502632502049,0.999599341881397
"sfkeel_mir_2022","sfkeel_mir","this_project",2022-07-07,4.62152385571161,3.27309721528017,5.90889830449384,0.999977520944634,-4.21937948345357,-6.07574784644687,-2.34412560907891,0.99919525872039,4.41959868181004,0.999439037438409
"sfkeel_mir_2022","sfkeel_mir","this_project",2022-07-08,4.76770629476413,3.4461136573715,6.04528970799863,1.00000409081162,-4.31894495726685,-6.11288971304857,-2.48868506390975,0.99998691218546,4.39574434265646,0.999765256648419
"sfkeel_mir_2022","sfkeel_mir","this_project",2022-07-09,4.92517563026597,3.61057911120958,6.2451817341192,0.999187570488974,-4.59203007411884,-6.52461363029427,-2.83100201217865,0.99975448531229,4.42564500914174,0.999205580286599
"sfkeel_mir_2022","sfkeel_mir","this_project",2022-07-10,4.87280674041609,3.5994275593361,6.16077804520012,0.999725453118412,-4.24406797172534,-5.97162360746918,-2.47731980796714,0.999741222348962,4.40335044517613,0.999466784175273
"sfkeel_mir_2022","sfkeel_mir","this_project",2022-07-11,5.6889119323962,4.48559121608098,6.90901694712394,0.99946376986095,-4.80725480075389,-6.46984357992231,-3.13978970464795,0.99995588669474,4.11862044414022,0.999755531000931
"sfkeel_mir_2022","sfkeel_mir","this_project",2022-07-12,6.03238312401803,4.80007299777341,7.27942578324392,0.999403627771014,-4.82930366381504,-6.49903748113139,-3.19981531744616,0.999586137384238,4.08050359706272,0.999750515542286
"sfkeel_mir_2022","sfkeel_mir","this_project",2022-07-29,7.0333380787953,5.91114349958798,8.11080771940083,0.999587176239139,-5.54638620798912,-7.04766368638066,-4.06992127866299,0.999381567787931,3.52947472385218,0.999324218364464
"sfkeel_mir_2022","sfkeel_mir","this_project",2022-07-30,6.58293407323809,5.52087025938722,7.61097604393759,1.00073415131628,-5.34786677973879,-6.83861263525527,-3.85552293794734,0.999352044804496,3.26288097691565,1.00282741960266
"sfkeel_mir_2022","sfkeel_mir","this_project",2022-07-31,6.33859530874946,5.28044157077265,7.43241771685195,0.999435929481016,-5.23120402852271,-6.75686463805721,-3.68651514227118,0.999532933045437,3.23365070060378,0.999601160563602
"sfkeel_mir_2022","sfkeel_mir","this_project",2022-08-01,7.00394327355066,5.99754685992482,7.99408169636074,0.9994320370831,-5.69336280728228,-7.1531749219566,-4.24815276477562,0.999184436136333,3.56411343608308,0.999556638565615
