"site_reach","triplicate","field_date","sample_type","lyophilize_date","ext_weight_mg","ext_volume_mL","ext_method","MCY_det_limit","ATX_det_limit","CYL_det_limit","MCY_ug_g","ATXa_ug_g","HTXa_ug_g","dhATXa_ug_g","dhHTXa_ug_g","CYL_ug_g"
"SFE-M-1S","y","2023-09-04","TM","2023-11-03",186.4,10,"50% methanol","0.1",0.0419,"0.0542","ND","16.344","ND","2.955","ND","ND"
"SFE-M-1S","y","2023-09-04","TM","2023-11-03",210.3,10,"50% methanol","0.09",0.0371,"0.048","ND","19.714","ND","3.233","ND","ND"
"SFE-M-1S","y","2023-09-04","TM","2023-11-03",195.7,10,"50% methanol","0.1",0.0399,"0.0516","ND","18.3","ND","3.141","ND","ND"
"SFE-M-2","n","2023-09-04","TM","2023-11-03",186.5,10,"50% methanol","0.1",0.0419,"0.0542","ND","16","ND","2.032","ND","ND"
"SFE-M-3","n","2023-09-04","TM","2023-11-03",237.6,10,"50% methanol","0.08",0.0329,"0.0425","ND","22.963","ND","2.867","ND","ND"
"SFE-M-4","n","2023-09-04","TM","2023-10-11",197.6,10,"50% methanol","0.09",0.0395,"0.0511","ND","1.699","ND","0.238","ND","ND"
"BLANK","n","NA","BLANK","NA",0,10,"50% methanol","1.87",0.7808,"NA","ND","ND","ND","ND","ND","ND"
"SFE-SH-1S","n","2023-09-12","TM","2023-10-15",216,10,"50% methanol","0.09",0.0361,"0.0468","ND","4.583","ND","0.561","ND","ND"
"SFE-M-1S","n","2023-09-12","TM","2023-10-15",215.9,10,"50% methanol","0.09",0.0362,"0.0468","ND","11.952","ND","1.078","ND","ND"
"SFE-M-2","y","2023-09-12","TM","2023-11-13",221.3,10,"50% methanol","0.08",0.0353,"0.0456","ND","8.908","ND","0.828","ND","ND"
"SFE-M-2","y","2023-09-12","TM","2023-11-13",213.3,10,"50% methanol","0.09",0.0366,"0.0473","ND","8.536","ND","0.896","ND","ND"
"SFE-M-2","y","2023-09-12","TM","2023-11-13",200.9,10,"50% methanol","0.09",0.0389,"0.0503","ND","9.502","ND","1.021","ND","ND"
"SFE-M-3","n","2023-09-12","TM","2023-11-13",209.9,10,"50% methanol","0.09",0.0372,"0.0481","ND","18.323","ND","1.667","ND","ND"
"SFE-M-4","n","2023-09-12","TM","2023-10-15",236.8,10,"50% methanol","0.08",0.033,"0.0426","ND","1.157","ND","0.095","ND","ND"
"SFE-SH-1S","n","2023-09-18","TM","2023-11-13",217.6,10,"50% methanol","0.09",0.0359,"0.0464","ND","7.295","ND","1.009","ND","ND"
"SFE-M-1S","n","2023-09-18","TM","2023-11-13",235,10,"50% methanol","0.08",0.0332,"0.043","ND","36.812","ND","4.958","ND","ND"
"SFE-M-2","n","2023-09-18","TM","2023-11-13",196,10,"50% methanol","0.1",0.0398,"0.0515","ND","5.437","ND","0.458","ND","ND"
"SFE-M-3","n","2023-09-18","TM","2023-11-13",235,10,"50% methanol","0.08",0.0332,"0.043","ND","11.662","ND","1.148","ND","ND"
"SFE-M-4","y","2023-09-18","TM","2023-11-13",199.8,10,"50% methanol","0.09",0.0391,"0.0505","ND","0.692","ND","0.092","ND","ND"
"SFE-M-4","y","2023-09-18","TM","2023-11-13",220.9,10,"50% methanol","0.08",0.0353,"0.0457","ND","0.836","ND","0.036","ND","ND"
"SFE-M-4","y","2023-09-18","TM","2023-11-13",244.5,10,"50% methanol","0.08",0.0319,"0.0413","ND","0.595","ND","0.058","ND","ND"
"SFE-SH-1S","n","2023-09-24","TM","2023-11-13",238.4,10,"50% methanol","0.08",0.0328,"0.0424","ND","6.946","ND","0.705","ND","ND"
"SFE-M-1S","n","2023-09-24","TM","2023-11-13",246,10,"50% methanol","0.08",0.0317,"0.0411","ND","11.87","ND","1.375","ND","ND"
"SFE-M-2","y","2023-09-24","TM","2023-11-13",160.2,10,"50% methanol","0.12",0.0487,"0.063","ND","4.045","ND","0.408","ND","ND"
"SFE-M-2","y","2023-09-24","TM","2023-11-13",233.5,10,"50% methanol","0.08",0.0334,"0.0433","ND","3.651","ND","0.371","ND","ND"
"SFE-M-2","y","2023-09-24","TM","2023-11-13",177,10,"50% methanol","0.11",0.0129,"0.0225","ND","0.619","ND","0.108","ND","ND"
"SFE-M-3","n","2023-09-24","TM","2023-11-13",190.1,10,"50% methanol","0.1",0.012,"0.0209","ND","5.312","ND","0.326","ND","ND"
"SFE-M-4","n","2023-09-24","TM","2023-11-13",213.2,10,"50% methanol","0.09",0.011,"0.0191","ND","0.101","ND","ND","ND","ND"
"SFE-M-1S","n","2023-07-10","TAC","2023-10-07",172.4,10,"50% methanol","0.13",0.0164,"0.0286","ND","ND","ND","ND","ND","ND"
"SFE-M-4","n","2023-07-10","TAC","2023-10-15",69.3,5,"50% methanol","0.15",0.0164,"0.0287","ND","0.042","ND","ND","ND","ND"
"SFE-M-1S","y","2023-07-17","TAC","2023-11-03",87.2,5,"50% methanol","0.12",0.013,"0.0228","ND","0.026","ND","ND","ND","ND"
"SFE-M-1S","y","2023-07-17","TAC","2023-11-03",56.5,5,"50% methanol","0.18",0.0201,"0.0352","ND","0.021","ND","ND","ND","ND"
"SFE-M-1S","y","2023-07-17","TAC","2023-11-03",50.2,5,"50% methanol","0.21",0.0227,"0.0396","ND","0.024","ND","ND","ND","ND"
"SFE-M-4","n","2023-07-17","TAC","2023-10-07",204.9,10,"50% methanol","0.13",0.0139,"0.0243","ND","0.015","ND","ND","ND","ND"
"SFE-SH-1S","n","2023-07-24","TAC","2023-10-07",106.6,5,"50% methanol","0.1",0.0107,"0.0186","ND","0.165","ND","ND","ND","ND"
"BLANK","n","NA","BLANK","NA",0,10,"50% methanol","2.06",0.2275,"NA","ND","ND","ND","ND","ND","ND"
"SFE-M-1S","n","2023-07-24","TAC","2023-11-03",201.8,10,"50% methanol","0.13",0.0141,"0.0246","ND","0.083","ND","0.049","ND","ND"
"SFE-M-2","n","2023-07-24","TAC","2023-10-07",209.2,10,"50% methanol","0.09",0.0098,"0.0171","ND","1.423","ND","0.165","ND","ND"
"SFE-M-3","n","2023-07-24","TAC","2023-11-03",239.4,10,"50% methanol","0.08",0.009,"0.0157","0.16","0.026","ND","0.062","ND","ND"
"SFE-M-4","n","2023-07-24","TAC","2023-11-03",214.4,10,"50% methanol","0.1",0.0105,"0.0183","ND","0.605","ND","0.173","ND","ND"
"SFE-SH-1S","n","2023-07-31","TAC","2023-11-03",132.1,5,"50% methanol","0.08",0.0086,"0.015","ND","0.12","ND","0.096","ND","ND"
"SFE-M-1S","y","2023-07-31","TAC","2023-11-03",179.1,10,"50% methanol","0.1",0.0114,"0.02","ND","5.137","ND","0.955","ND","ND"
"SFE-M-1S","y","2023-07-31","TAC","2023-11-03",198.1,10,"50% methanol","0.13",0.0149,"0.026","0.66","6.559","ND","1.024","ND","ND"
"SFE-M-1S","y","2023-07-31","TAC","2023-11-03",203.6,10,"50% methanol","0.13",0.0143,"0.0249","0.64","6.736","ND","1.093","ND","ND"
"SFE-M-2","n","2023-07-31","TAC","2023-11-03",226.6,10,"50% methanol","0.14",0.015,"0.0262","ND","4.227","ND","0.792","ND","ND"
"SFE-M-3","n","2023-07-31","TAC","2023-11-03",114.4,5,"50% methanol","0.09",0.0099,"0.0174","0.35","0.588","ND","0.175","ND","ND"
"SFE-M-4","n","2023-07-31","TAC","2023-11-03",232.4,10,"50% methanol","0.1",0.0113,"0.0198","ND","3.862","ND","1.126","ND","ND"
"SFE-SH-1S","n","2023-08-07","TAC","2023-11-03",134.8,5,"50% methanol","0.08",0.0084,"0.0147","ND","1.587","ND","0.281","ND","ND"
"SFE-M-1S","y","2023-08-07","TAC","2023-11-03",188.6,10,"50% methanol","0.09",0.0102,"0.0178","ND","10.456","ND","1.22","ND","ND"
"SFE-M-1S","y","2023-08-07","TAC","2023-11-03",212.2,10,"50% methanol","0.09",0.0099,"0.0173","ND","11.799","ND","1.245","ND","ND"
"SFE-M-1S","y","2023-08-07","TAC","2023-11-03",200.5,10,"50% methanol","0.09",0.0099,"0.0172","ND","11.226","ND","1.242","ND","ND"
"SFE-M-2","n","2023-08-07","TAC","2023-11-03",189.8,10,"50% methanol","0.11",0.0122,"0.0213","ND","1.144","ND","0.088","ND","ND"
"SFE-M-3","n","2023-08-07","TAC","2023-11-03",217.8,10,"50% methanol","0.11",0.0124,"0.0216","ND","4.13","ND","0.683","ND","ND"
"SFE-M-4","n","2023-08-07","TAC","2023-10-07",98.6,5,"50% methanol","0.1",0.0115,"0.0202","ND","34.248","ND","4.34","ND","ND"
"SFE-SH-1S","n","2023-08-14","TAC","2023-11-03",187.4,10,"50% methanol","0.11",0.0122,"0.0213","ND","10.991","0.038","1.395","ND","ND"
"SFE-M-1S","n","2023-08-14","TAC","2023-11-03",170.1,10,"50% methanol","0.14",0.015,"0.0261","ND","53.561","ND","7.018","ND","ND"
"SFE-M-2","n","2023-08-14","TAC","2023-11-03",183.5,10,"50% methanol","0.11",0.0116,"0.0203","ND","45.657","ND","5.695","ND","ND"
"SFE-M-3","y","2023-08-14","TAC","2023-11-03",97.5,5,"50% methanol","0.11",0.0117,"0.0204","ND","20.204","ND","2.947","ND","ND"
"SFE-M-3","y","2023-08-14","TAC","2023-11-03",121.9,5,"50% methanol","0.08",0.0093,"0.0163","ND","23.811","ND","3.314","ND","ND"
"SFE-M-3","y","2023-08-14","TAC","2023-11-03",88.2,5,"50% methanol","0.12",0.0129,"0.0225","ND","21.38","ND","2.886","ND","ND"
"SFE-M-4","n","2023-08-14","TAC","2023-10-11",229.4,10,"50% methanol","0.1",0.0106,"0.0185","ND","21.478","ND","3.604","ND","ND"
"SFE-SH-1S","n","2023-08-22","TAC","2023-11-03",221.1,10,"50% methanol","0.13",0.0143,"0.025","ND","7.41","ND","0.753","ND","ND"
"SFE-M-1S","n","2023-08-22","TAC","2023-11-03",235.5,10,"50% methanol","0.1",0.0111,"0.0195","ND","20.565","ND","3.215","ND","ND"
"SFE-M-2","n","2023-08-22","TAC","2023-11-03",175.1,10,"50% methanol","0.12",0.013,"0.0227","ND","5.981","ND","0.942","ND","ND"
"BLANK","n","NA","BLANK","NA",0,10,"50% methanol","2.06",0.2275,"NA","ND","ND","ND","ND","ND","ND"
"SFE-M-3","y","2023-08-22","TAC","2023-11-13",156.6,10,"50% methanol","0.1",0.0106,"0.0186","ND","13.053","ND","2.982","ND","ND"
"SFE-M-3","y","2023-08-22","TAC","2023-11-13",177.1,10,"50% methanol","0.12",0.0128,"0.0224","ND","14.064","ND","3.253","ND","ND"
"SFE-M-3","y","2023-08-22","TAC","2023-11-13",199.2,10,"50% methanol","0.1",0.0114,"0.0199","ND","14.788","ND","3.143","ND","ND"
"SFE-M-4","n","2023-08-22","TAC","2023-11-13",103.8,5,"50% methanol","0.1",0.011,"0.0191","ND","28.817","ND","3.924","ND","ND"
"SFE-M-1S","n","2023-08-28","TAC","2023-11-13",99.4,5,"50% methanol","0.1",0.0114,"0.02","ND","10.67","ND","1.928","ND","ND"
"SFE-M-3","n","2023-08-28","TAC","2023-11-13",236,10,"50% methanol","0.09",0.0096,"0.0168","ND","0.463","ND","0.153","ND","ND"
"SFE-M-1S","n","2023-09-04","TAC","2023-11-13",169.2,10,"50% methanol","0.12",0.0134,"0.0235","ND","2.615","ND","0.298","ND","ND"
"SFE-M-2","n","2023-09-04","TAC","2023-11-13",191.1,10,"50% methanol","0.11",0.0119,"0.0208","ND","0.013","ND","ND","ND","ND"
"SFE-M-1S","n","2023-09-12","TAC","2023-11-13",182,10,"50% methanol","0.11",0.0125,"0.0218","ND","0.027","ND","0.01","ND","ND"
"SFE-SH-1S","n","2023-09-18","TAC","2023-11-13",129.4,5,"50% methanol","0.08",0.0088,"0.0154","ND","6.064","ND","1.159","ND","ND"
"SFE-M-1S","n","2023-09-18","TAC","2023-11-13",78.2,5,"50% methanol","0.13",0.0145,"0.0254","ND","ND","ND","ND","ND","ND"
"SFE-M-2","y","2023-09-18","TAC","2023-11-13",179.7,10,"50% methanol","0.11",0.0127,"0.0221","ND","0.002","ND","ND","ND","ND"
"SFE-M-2","y","2023-09-18","TAC","2023-11-13",207.6,10,"50% methanol","0.1",0.011,"0.0191","0.2","0.001","ND","0.006","ND","ND"
"SFE-M-2","y","2023-09-18","TAC","2023-11-13",209.5,10,"50% methanol","0.1",0.0109,"0.019","0.21","0.001","ND","ND","ND","ND"
"SFE-M-3","n","2023-09-18","TAC","2023-11-13",98,5,"50% methanol","0.11",0.0116,"0.0203","ND","ND","ND","ND","ND","ND"
"SFE-SH-1S","n","2023-09-24","TAC","2023-11-13",95.8,5,"50% methanol","0.11",0.0119,"0.0207","ND","1.031","ND","0.091","ND","ND"
"SFE-M-1S","n","2023-09-24","TAC","2023-11-13",23.6,2,"50% methanol","0.17",0.0193,"0.0337","ND","ND","ND","ND","ND","ND"
"SFE-M-2","y","2023-09-24","TAC","2023-12-08",64.1,5,"50% methanol","0.16",0.0177,"0.031","ND","ND","ND","ND","ND","ND"
"SFE-M-2","y","2023-09-24","TAC","2023-12-08",96.5,5,"50% methanol","0.11",0.0118,"0.0206","ND","0.006","ND","ND","ND","ND"
"SFE-M-2","y","2023-09-24","TAC","2023-12-08",72.7,5,"50% methanol","0.14",0.0156,"0.0273","ND","ND","0.028","ND","ND","ND"
"SAL-1S","n","2023-06-28","NT","2023-12-08",100.2,5,"50% methanol","0.1",0.0114,"0.0198","ND","ND","ND","ND","ND","ND"
"SAL-2","n","2023-06-28","NT","2023-12-08",117.7,5,"50% methanol","0.09",0.0097,"0.0169","ND","ND","ND","ND","ND","ND"
"SAL-3","n","2023-06-28","NT","2023-12-08",125.3,5,"50% methanol","0.08",0.0091,"0.0159","ND","ND","ND","ND","ND","ND"
"SAL-1S","n","2023-07-13","NT","2023-12-08",25.1,2,"50% methanol","0.16",0.0181,"0.0317","ND","ND","ND","ND","ND","ND"
"SAL-2","n","2023-07-13","NT","2023-12-08",49.8,2,"50% methanol","0.08",0.0091,"0.016","ND","ND","ND","ND","ND","ND"
"SAL-3","n","2023-07-13","NT","2023-12-08",197.1,10,"50% methanol","0.1",0.0115,"0.0202","ND","ND","ND","ND","ND","ND"
"SAL-1S","n","2023-07-27","NT","2023-12-23",40.2,2,"50% methanol","0.1",0.0113,"0.0198","ND","ND","ND","ND","ND","ND"
"SAL-2","n","2023-07-27","NT","2023-11-13",47.8,2,"50% methanol","0.09",0.0095,"0.0166","ND","ND","ND","ND","ND","ND"
"BLANK","n","NA","BLANK","NA",0,10,"50% methanol","2.06",0.2275,"NA","ND","ND","ND","ND","ND","ND"
"SAL-3","n","2023-07-27","NT","2023-12-08",6.4,2,"50% methanol","0.64",0.0711,"0.1242","ND","ND","ND","ND","ND","ND"
"SAL-1S","n","2023-08-10","NT","2023-12-08",17.8,2,"50% methanol","0.23",0.0256,"0.0446","ND","ND","ND","ND","ND","ND"
"SAL-2","n","2023-08-10","NT","2023-12-08",3.3,2,"50% methanol","1.25",0.1379,"0.2408","ND","ND","ND","ND","ND","ND"
"SAL-3","n","2023-08-10","NT","2023-11-13",11.7,2,"50% methanol","0.35",0.0362,"0.0114","ND","ND","0.005","ND","ND","ND"
"Mat 1","n","2023-09-24","riffle_exp","2023-10-15",226.5,10,"50% methanol","0.09",0.0093,"0.0029","ND","1.193","ND","0.06","ND","ND"
"Mat 2","n","2023-09-24","riffle_exp","2023-11-13",221.4,10,"50% methanol","0.09",0.0096,"0.003","ND","0.485","ND","0.035","ND","ND"
"Mat 3","n","2023-09-24","riffle_exp","2023-10-15",200.3,10,"50% methanol","0.1",0.0106,"0.0033","ND","0.929","ND","0.041","ND","ND"
"Mat 4","n","2023-09-24","riffle_exp","2023-11-13",212.9,10,"50% methanol","0.1",0.0099,"0.0031","ND","2.551","ND","0.12","ND","ND"
"Mat 5","n","2023-09-24","riffle_exp","2023-10-15",211.7,10,"50% methanol","0.1",0.01,"0.0031","ND","2.052","ND","0.073","ND","ND"
"Mat 6","n","2023-09-24","riffle_exp","2023-10-15",175.1,10,"50% methanol","0.12",0.0121,"0.0038","ND","0.892","ND","0.04","ND","ND"
"Mat 7","n","2023-09-24","riffle_exp","2023-10-15",224,10,"50% methanol","0.09",0.0094,"0.003","ND","1.092","ND","0.052","ND","ND"
"Mat 8","n","2023-09-24","riffle_exp","2023-11-13",224.8,10,"50% methanol","0.08",0.0094,"0.003","ND","0.867","ND","0.074","ND","ND"
"Mat 9","n","2023-09-24","riffle_exp","2023-11-13",223.5,10,"50% methanol","0.08",0.0095,"0.003","ND","1.345","ND","0.089","ND","ND"
