"date","discharge.daily","lnQ.daily","lnQ.bin1","lnQ.bin2","lnQ.bin1.weight","lnQ.bin2.weight"
2022-06-29,NA,NA,NA,NA,NA,NA
2022-06-30,3.3982740174329,1.22326766079683,6,7,0.961220565338623,0.0387794346613771
2022-07-01,3.33976446710091,1.20590028566998,6,7,0.990166190550037,0.00983380944996282
2022-07-02,3.34035447937317,1.20607693290591,6,7,0.989871778490154,0.0101282215098464
2022-07-03,3.38686711350263,1.2199053387886,6,7,0.966824435352327,0.0331755646476731
2022-07-04,3.54204034110576,1.26470292865371,6,7,0.892161785577156,0.107838214422844
2022-07-05,3.82672126246893,1.34200836931725,6,7,0.763319384471253,0.236680615528747
2022-07-06,4.09075175430316,1.40872875617311,6,7,0.652118739711477,0.347881260288523
2022-07-07,4.08711334529091,1.4078389373248,6,7,0.65360177112534,0.34639822887466
2022-07-08,3.8466833443469,1.34721130802122,6,7,0.754647819964629,0.245352180035371
2022-07-09,3.60625334340288,1.28266937838729,6,7,0.862217702687846,0.137782297312154
2022-07-10,3.3663150193524,1.21381868002655,6,7,0.976968866622418,0.0230311333775816
2022-07-11,3.17760942760943,1.15612916176053,5,6,0.0877416764789305,0.91225832352107
2022-07-12,2.99116554957676,1.09566312735607,5,6,0.208673745287854,0.791326254712146
2022-07-13,NA,NA,NA,NA,NA,NA
2022-07-28,NA,NA,NA,NA,NA,NA
2022-07-29,1.47848225243085,0.391016056471592,4,5,0.617967887056815,0.382032112943185
2022-07-30,1.45308222411026,0.373686972188868,4,5,0.652626055622263,0.347373944377737
2022-07-31,1.41988420025803,0.350575319173797,4,5,0.698849361652407,0.301150638347593
2022-08-01,1.39098343245539,0.330011002342261,4,5,0.739977995315478,0.260022004684522
2022-08-02,1.39926327134271,0.335945863355902,4,5,0.728108273288196,0.271891726711804
2022-08-03,1.38604699644419,0.326455808161243,4,5,0.747088383677514,0.252911616322486
2022-08-04,1.3211161458825,0.278476944372037,4,5,0.843046111255927,0.156953888744073
2022-08-05,1.22200391768149,0.200492066702929,4,5,0.999015866594142,0.000984133405857679
2022-08-06,1.16503823279524,0.152753904329164,3,4,0.0944921913416726,0.905507808658327
2022-08-07,1.14568583026527,0.136003436087859,3,4,0.127993127824283,0.872006872175717
2022-08-08,1.16391720947796,0.151791220901636,3,4,0.0964175581967273,0.903582441803273
2022-08-09,1.17867734982221,0.164392919829398,3,4,0.0712141603412036,0.928785839658796
2022-08-10,1.18254193020548,0.16766629970285,3,4,0.0646674005942994,0.935332599405701
2022-08-11,1.1952173605211,0.178328060492648,3,4,0.0433438790147032,0.956656120985297
2022-08-12,1.19924911104818,0.18169562014329,3,4,0.0366087597134209,0.963391240286579
2022-08-13,1.19365382799962,0.177019046635181,3,4,0.0459619067296386,0.954038093270361
2022-08-14,1.15695506466535,0.145791609657286,3,4,0.108416780685427,0.891583219314573
2022-08-15,1.11941061707417,0.112802312041693,3,4,0.174395375916615,0.825604624083385
2022-08-16,1.0742550111709,0.07162740847093,3,4,0.25674518305814,0.74325481694186
2022-08-17,1.02366145882501,0.0233858653386986,3,4,0.353228269322603,0.646771730677397
2022-08-18,0.967767629566695,-0.0327632726231992,3,4,0.465526545246398,0.534473454753602
2022-08-19,0.915590877623588,-0.0881856542303493,3,4,0.576371308460699,0.423628691539301
2022-08-20,0.863482960445577,-0.146781114716246,3,4,0.693562229432491,0.306437770567509
2022-08-21,0.807490795808553,-0.213823622329789,3,4,0.827647244659577,0.172352755340423
2022-08-22,0.772778407124202,-0.25776293756606,3,4,0.91552587513212,0.0844741248678798
