"site_year","solar.time","DO.obs","DO.sat","depth","temp.water","light","discharge"
"salmon_2023","2023-06-27 18:27:27",9.48885635753118,9.37114202910516,1,17.45,303.195517333333,28.9814028131785
"salmon_2023","2023-06-27 18:32:27",9.48285635753118,9.3764180189045,1,17.424,264.689712,28.8870008496177
"salmon_2023","2023-06-27 18:37:27",9.49585635753118,9.38306246683092,1,17.391,226.183906666667,28.8870008496177
"salmon_2023","2023-06-27 18:42:27",9.47785635753118,9.38991014263623,1,17.357,187.678101333333,28.8870008496177
"salmon_2023","2023-06-27 18:47:27",9.48185635753118,9.39344763107393,1,17.34,149.172296,28.8870008496177
"salmon_2023","2023-06-27 18:52:27",9.49285635753118,9.40054577635884,1,17.306,136.741271333333,28.8870008496177
"salmon_2023","2023-06-27 18:57:27",9.48085635753118,9.40256772796958,1,17.298,124.310246666667,28.8870008496177
"salmon_2023","2023-06-27 19:02:27",9.48385635753118,9.40811152484719,1,17.272,111.879222,28.8870008496177
"salmon_2023","2023-06-27 19:07:27",9.48185635753118,9.41346484349211,1,17.247,99.4481973333333,28.7925988860568
"salmon_2023","2023-06-27 19:12:27",9.46185635753118,9.41568694131972,1,17.238,87.0171726666667,28.698196922496
"salmon_2023","2023-06-27 19:17:27",9.45685635753118,9.41771376586264,1,17.23,74.586148,28.6037949589351
"salmon_2023","2023-06-27 19:22:27",9.45185635753118,9.42327204360724,1,17.204,62.1551233333333,28.6037949589351
"salmon_2023","2023-06-27 19:27:27",9.45685635753118,9.4237312138219,1,17.204,49.7240986666667,28.6037949589351
"salmon_2023","2023-06-27 19:32:27",9.45185635753118,9.43067036170356,1,17.171,37.293074,28.6037949589351
"salmon_2023","2023-06-27 19:37:27",9.45785635753118,9.43289856475013,1,17.162,24.8620493333333,28.6037949589351
"salmon_2023","2023-06-27 19:42:27",9.43685635753118,9.4367008376384,1,17.145,12.4310246666667,28.6037949589351
"salmon_2023","2023-06-27 19:47:27",9.43585635753118,9.43873439341264,1,17.137,0,28.6037949589351
"salmon_2023","2023-06-27 19:52:27",9.42885635753118,9.44096539764295,1,17.128,0,28.6037949589351
"salmon_2023","2023-06-27 19:57:27",9.42485635753118,9.44300025254508,1,17.12,0,28.6037949589351
"salmon_2023","2023-06-27 20:02:27",9.43385635753118,9.44346017794897,1,17.12,0,28.6037949589351
"salmon_2023","2023-06-27 20:07:27",9.42585635753118,9.44726885508599,1,17.103,0,28.6037949589351
"salmon_2023","2023-06-27 20:12:27",9.41285635753118,9.44772893364195,1,17.103,0,28.6037949589351
"salmon_2023","2023-06-27 20:17:27",9.41985635753118,9.44661271925584,1,17.111,0,28.6037949589351
"salmon_2023","2023-06-27 20:22:27",9.41485635753118,9.4504230661623,1,17.094,0,28.6037949589351
"salmon_2023","2023-06-27 20:27:27",9.41485635753118,9.45088322584195,1,17.094,0,28.6037949589351
"salmon_2023","2023-06-27 20:32:27",9.40885635753118,9.45134338552159,1,17.094,0,28.6037949589351
"salmon_2023","2023-06-27 20:37:27",9.40785635753118,9.45180354520124,1,17.094,0,28.6037949589351
"salmon_2023","2023-06-27 20:42:27",9.40585635753118,9.45384136267602,1,17.086,0,28.6037949589351
"salmon_2023","2023-06-27 20:47:27",9.41185635753118,9.45272386456053,1,17.094,0,28.6037949589351
"salmon_2023","2023-06-27 20:52:27",9.40485635753118,9.45318402424017,1,17.094,0,28.6037949589351
"salmon_2023","2023-06-27 20:57:27",9.39085635753118,9.45364418391982,1,17.094,0,28.6037949589351
"salmon_2023","2023-06-27 21:02:27",9.40185635753118,9.45410434359946,1,17.094,0,28.6037949589351
"salmon_2023","2023-06-27 21:07:27",9.39185635753118,9.45456450327911,1,17.094,0,28.4905126026621
"salmon_2023","2023-06-27 21:12:27",9.40385635753118,9.45324987631358,1,17.103,0,28.3772302463891
"salmon_2023","2023-06-27 21:17:27",9.37785635753118,9.45035905900735,1,17.12,0,28.2639478901161
"salmon_2023","2023-06-27 21:22:27",9.39385635753118,9.45259280338047,1,17.111,0,28.2639478901161
"salmon_2023","2023-06-27 21:27:27",9.39885635753118,9.4530528098516,1,17.111,0,28.2639478901161
"salmon_2023","2023-06-27 21:32:27",9.38985635753118,9.45173883521903,1,17.12,0,28.2639478901161
"salmon_2023","2023-06-27 21:37:27",9.39285635753118,9.45219876062292,1,17.12,0,28.1789861229114
"salmon_2023","2023-06-27 21:42:27",9.39785635753118,9.45443282926498,1,17.111,0,28.0940243557066
"salmon_2023","2023-06-27 21:47:27",9.38185635753118,9.45154202513453,1,17.128,0,28.0090625885018
"salmon_2023","2023-06-27 21:52:27",9.38185635753118,9.45138325054717,1,17.128,0,28.0090625885018
"salmon_2023","2023-06-27 21:57:27",9.38385635753118,9.45280101251283,1,17.12,0,28.0090625885018
"salmon_2023","2023-06-27 22:02:27",9.38685635753118,9.45106570137245,1,17.128,0,28.0090625885018
"salmon_2023","2023-06-27 22:07:27",9.38685635753118,9.44913394354706,1,17.137,0,28.0090625885018
"salmon_2023","2023-06-27 22:12:27",9.38185635753118,9.44897519693048,1,17.137,0,28.0090625885018
"salmon_2023","2023-06-27 22:17:27",9.40085635753118,9.45216581467708,1,17.12,0,28.0090625885018
"salmon_2023","2023-06-27 22:22:27",9.38285635753118,9.45043060302301,1,17.128,0,28.0090625885018
"salmon_2023","2023-06-27 22:27:27",9.38485635753118,9.45027182843565,1,17.128,0,28.0090625885018
"salmon_2023","2023-06-27 22:32:27",9.38985635753118,9.45011305384829,1,17.128,0,28.0090625885018
"salmon_2023","2023-06-27 22:37:27",9.39485635753118,9.44818146384764,1,17.137,0,27.9335410176532
"salmon_2023","2023-06-27 22:42:27",9.38085635753118,9.45137181738239,1,17.12,0,27.8580194468045
"salmon_2023","2023-06-27 22:47:27",9.38485635753118,9.44628868583534,1,17.145,0,27.7824978759558
"salmon_2023","2023-06-27 22:52:27",9.38285635753118,9.44947795549885,1,17.128,0,27.7824978759558
"salmon_2023","2023-06-27 22:57:27",9.38985635753118,9.45266925144731,1,17.111,0,27.7824978759558
"salmon_2023","2023-06-27 23:02:27",9.38885635753118,9.45073661954664,1,17.12,0,27.7824978759558
"salmon_2023","2023-06-27 23:07:27",9.38685635753118,9.45057782008771,1,17.12,0,27.7824978759558
"salmon_2023","2023-06-27 23:12:27",9.38785635753118,9.45376993645779,1,17.103,0,27.7824978759558
"salmon_2023","2023-06-27 23:17:27",9.38685635753118,9.45203394165051,1,17.111,0,27.7824978759558
"salmon_2023","2023-06-27 23:22:27",9.39285635753118,9.45345223178161,1,17.103,0,27.7824978759558
"salmon_2023","2023-06-27 23:27:27",9.38185635753118,9.45506817375941,1,17.094,0,27.7824978759558
"salmon_2023","2023-06-27 23:32:27",9.39385635753118,9.45826326305583,1,17.077,0,27.7824978759558
"salmon_2023","2023-06-27 23:37:27",9.39285635753118,9.45632846067743,1,17.086,0,27.7069763051071
"salmon_2023","2023-06-27 23:42:27",9.39485635753118,9.45616955542336,1,17.086,0,27.6314547342585
"salmon_2023","2023-06-27 23:47:27",9.39985635753118,9.45936546658132,1,17.069,0,27.5559331634098
"salmon_2023","2023-06-27 23:52:27",9.40585635753118,9.46256341006314,1,17.052,0,27.5559331634098
"salmon_2023","2023-06-27 23:57:27",9.39085635753118,9.45746859663922,1,17.077,0,27.5559331634098
"salmon_2023","2023-06-28 00:02:27",9.40085635753118,9.46066545263343,1,17.06,0,27.5559331634098
"salmon_2023","2023-06-28 00:07:27",9.40585635753118,9.45872963375377,1,17.069,0,27.5559331634098
"salmon_2023","2023-06-28 00:12:27",9.39285635753118,9.4603474801221,1,17.06,0,27.5559331634098
"salmon_2023","2023-06-28 00:17:27",9.41485635753118,9.46670847263766,1,17.027,0,27.5559331634098
