"site_year","solar.time","DO.obs","DO.sat","depth","temp.water","light","discharge"
"sfkeel_sth_2023","2023-09-09 08:41:26",7.90365298877034,9.04589667460014,1,19.295,1141.12839166667,0.521098838855848
"sfkeel_sth_2023","2023-09-09 08:46:26",8.02465298877034,9.03672998528566,1,19.345,1177.1809,0.521098838855848
"sfkeel_sth_2023","2023-09-09 08:51:26",8.12265298877034,9.0290309930317,1,19.387,1198.759555,0.521098838855848
"sfkeel_sth_2023","2023-09-09 08:56:26",8.19765298877034,9.02587430950171,1,19.404,1220.33821,0.521098838855848
"sfkeel_sth_2023","2023-09-09 09:01:26",8.23065298877034,9.01656271457342,1,19.455,1241.916865,0.521098838855848
"sfkeel_sth_2023","2023-09-09 09:06:26",8.24365298877034,9.01196704826662,1,19.48,1263.49552,0.524874917398282
"sfkeel_sth_2023","2023-09-09 09:11:26",8.26965298877034,9.00430551123258,1,19.522,1285.074175,0.528650995940716
"sfkeel_sth_2023","2023-09-09 09:16:26",8.31565298877034,8.99827815670016,1,19.555,1306.65283,0.532427074483149
"sfkeel_sth_2023","2023-09-09 09:21:26",8.33465298877034,8.9830811493163,1,19.639,1328.231485,0.532427074483149
"sfkeel_sth_2023","2023-09-09 09:26:26",8.40365298877034,8.97546328619783,1,19.681,1349.81014,0.532427074483149
"sfkeel_sth_2023","2023-09-09 09:31:26",8.48065298877034,8.96929094203876,1,19.715,1371.388795,0.532427074483149
"sfkeel_sth_2023","2023-09-09 09:36:26",8.56065298877034,8.9543599068383,1,19.798,1392.96745,0.532427074483149
"sfkeel_sth_2023","2023-09-09 09:41:26",8.63265298877034,8.95714767877881,1,19.782,1414.546105,0.532427074483149
"sfkeel_sth_2023","2023-09-09 09:46:26",8.63665298877034,8.94064803609877,1,19.874,1436.12476,0.532427074483149
"sfkeel_sth_2023","2023-09-09 09:51:26",8.73565298877034,8.93280915592974,1,19.916,1452.24753333333,0.532427074483149
"sfkeel_sth_2023","2023-09-09 09:56:26",8.79665298877034,8.92213953594443,1,19.974,1468.37030666667,0.532427074483149
"sfkeel_sth_2023","2023-09-09 10:01:26",8.83065298877034,8.91716672694711,1,20,1484.49308,0.532427074483149
"sfkeel_sth_2023","2023-09-09 10:06:26",8.84165298877034,8.91237581209138,1,20.025,1500.61585333333,0.532427074483149
"sfkeel_sth_2023","2023-09-09 10:11:26",8.84665298877034,8.90316350772724,1,20.075,1516.73862666667,0.532427074483149
"sfkeel_sth_2023","2023-09-09 10:16:26",8.88565298877034,8.89396764093216,1,20.125,1532.8614,0.532427074483149
"sfkeel_sth_2023","2023-09-09 10:21:26",8.91065298877034,8.88320167423403,1,20.184,1548.98417333333,0.532427074483149
"sfkeel_sth_2023","2023-09-09 10:26:26",8.94565298877034,8.87544906337937,1,20.226,1565.10694666667,0.532427074483149
"sfkeel_sth_2023","2023-09-09 10:31:26",8.96665298877034,8.8633172517194,1,20.293,1581.22972,0.532427074483149
"sfkeel_sth_2023","2023-09-09 10:36:26",9.00865298877034,8.8571723334285,1,20.326,1597.35249333333,0.536203153025583
"sfkeel_sth_2023","2023-09-09 10:41:26",9.04765298877034,8.8464833546053,1,20.385,1613.47526666667,0.539979231568017
"sfkeel_sth_2023","2023-09-09 10:46:26",9.08865298877034,8.83878577770089,1,20.427,1629.59804,0.54375531011045
"sfkeel_sth_2023","2023-09-09 10:51:26",9.15665298877034,8.83266983519196,1,20.46,1640.79519333333,0.539979231568017
"sfkeel_sth_2023","2023-09-09 10:56:26",9.19465298877034,8.82359918085225,1,20.51,1651.99234666667,0.536203153025583
"sfkeel_sth_2023","2023-09-09 11:01:26",9.22465298877034,8.81732715053968,1,20.544,1663.1895,0.532427074483149
"sfkeel_sth_2023","2023-09-09 11:06:26",9.29365298877034,8.80828355791622,1,20.594,1674.38665333333,0.532427074483149
