"river","velocity_m_s","velocity_m_d","median_k600","turnover_distance_km"
"russian","0.410701285961501",35484.5911070737,5.15973176141498,20.6316487452494
"salmon","0.376672705625002",32544.5217660002,10.1796162241823,9.59108508099412
"sfkeel_mir","0.200139340057488",17292.038980967,3.42179022044609,15.1605193775257
"sfkeel_sth","0.217423497593952",18785.3901921175,4.74344657228668,11.8808486018605
