"date_time","Temp_C","DO_mgL","discharge_m3_s","depth_m","pressure_mmHg","SW"
2022-07-12 04:25:01,20.803,8.035,12.619862738935,0.800815293638203,657.336644448111,0
2022-07-12 04:30:01,20.778,8.04,12.5726680390885,0.799849526199002,657.331998219849,0
2022-07-12 04:35:01,20.787,8.037,12.5726680390885,0.799849526199002,657.327351991586,0
2022-07-12 04:40:01,20.753,8.047,12.5726680390885,0.799849526199002,657.322705763323,0
2022-07-12 04:45:01,20.753,8.043,12.5726680390885,0.799849526199002,657.318059535061,0
2022-07-12 04:50:01,20.737,8.056,12.619862738935,0.800815293638203,657.313413306798,0
2022-07-12 04:55:01,20.753,8.034,12.6670574387814,0.801778615694042,657.308767078535,0
2022-07-12 05:00:01,20.728,8.057,12.7142521386278,0.802739507634861,657.304120850272,0
2022-07-12 05:05:01,20.695,8.055,12.7142521386278,0.802739507634861,657.307975344571,0.896
2022-07-12 05:10:01,20.686,8.057,12.7142521386278,0.802739507634861,657.31182983887,1.792
2022-07-12 05:15:01,20.686,8.057,12.7142521386278,0.802739507634861,657.315684333168,2.688
2022-07-12 05:20:01,20.695,8.048,12.7142521386278,0.802739507634861,657.319538827467,3.584
2022-07-12 05:25:01,20.67,8.062,12.7142521386278,0.802739507634861,657.323393321766,4.48
2022-07-12 05:30:01,20.67,8.06,12.7142521386278,0.802739507634861,657.327247816064,5.376
2022-07-12 05:35:01,20.653,8.067,12.7142521386278,0.802739507634861,657.331102310363,6.272
2022-07-12 05:40:01,20.636,8.063,12.7142521386278,0.802739507634861,657.334956804662,7.168
2022-07-12 05:45:01,20.636,8.067,12.7142521386278,0.802739507634861,657.33881129896,8.064
2022-07-12 05:50:01,20.603,8.077,12.6670574387814,0.801778615694042,657.342665793259,8.96
2022-07-12 05:55:01,20.611,8.07,12.619862738935,0.800815293638203,657.346520287558,9.856
2022-07-12 06:00:01,20.586,8.072,12.5726680390885,0.799849526199002,657.350374781857,10.752
2022-07-12 06:05:01,20.577,8.08,12.5726680390885,0.799849526199002,657.354229276155,22.2535
2022-07-12 06:10:01,20.577,8.078,12.5726680390885,0.799849526199002,657.358083770454,33.755
2022-07-12 06:15:01,20.569,8.082,12.5726680390885,0.799849526199002,657.361938264753,45.2565
2022-07-12 06:20:01,20.544,8.092,12.619862738935,0.800815293638203,657.365792759051,56.758
2022-07-12 06:25:01,20.544,8.085,12.6670574387814,0.801778615694042,657.36964725335,68.2595
2022-07-12 06:30:01,20.536,8.095,12.7142521386278,0.802739507634861,657.373501747649,79.761
2022-07-12 06:35:01,20.51,8.104,12.7142521386278,0.802739507634861,657.377356241947,91.2625
2022-07-12 06:40:01,20.51,8.111,12.7142521386278,0.802739507634861,657.381210736246,102.764
2022-07-12 06:45:01,20.502,8.11,12.7142521386278,0.802739507634861,657.385065230545,114.2655
2022-07-12 06:50:01,20.51,8.112,12.7142521386278,0.802739507634861,657.388919724843,125.767
2022-07-12 06:55:01,20.469,8.123,12.7142521386278,0.802739507634861,657.392774219142,137.2685
2022-07-12 07:00:01,20.469,8.137,12.7142521386278,0.802739507634861,657.396628713441,148.77
2022-07-12 07:05:01,20.477,8.138,12.7142521386278,0.802739507634861,657.400483207739,164.505833333333
2022-07-12 07:10:01,20.46,8.144,12.7142521386278,0.802739507634861,657.404337702038,180.241666666667
2022-07-12 07:15:01,20.46,8.148,12.7142521386278,0.802739507634861,657.408192196337,195.9775
2022-07-12 07:20:01,20.452,8.153,12.7142521386278,0.802739507634861,657.412046690635,211.713333333333
2022-07-12 07:25:01,20.435,8.168,12.7142521386278,0.802739507634861,657.415901184934,227.449166666667
2022-07-12 07:30:01,20.435,8.173,12.7142521386278,0.802739507634861,657.419755679233,243.185
2022-07-12 07:35:01,20.427,8.186,12.7142521386278,0.802739507634861,657.423610173532,258.920833333333
2022-07-12 07:40:01,20.418,8.197,12.7142521386278,0.802739507634861,657.42746466783,274.656666666667
