"site_year","solar.time","DO.obs","DO.sat","depth","temp.water","light","discharge"
"sfkeel_mir_2022","2022-07-29 07:36:15",6.92072113398226,8.38648436252446,1,23.683,880.88266,1.52931180968564
"sfkeel_mir_2022","2022-07-29 07:41:15",6.97372113398226,8.38769842820384,1,23.675,914.5164,1.52931180968564
"sfkeel_mir_2022","2022-07-29 07:46:15",7.02272113398226,8.38907053007412,1,23.666,948.15014,1.52931180968564
"sfkeel_mir_2022","2022-07-29 07:51:15",7.07372113398226,8.38492464363798,1,23.692,977.261681666667,1.52931180968564
"sfkeel_mir_2022","2022-07-29 07:56:15",7.14272113398226,8.38235700970697,1,23.708,1006.37322333333,1.52931180968564
"sfkeel_mir_2022","2022-07-29 08:01:15",7.20872113398226,8.3823099236306,1,23.708,1035.484765,1.52931180968564
"sfkeel_mir_2022","2022-07-29 08:06:15",7.29372113398226,8.3795862724326,1,23.725,1064.59630666667,1.52931180968564
"sfkeel_mir_2022","2022-07-29 08:11:15",7.36672113398226,8.37419065421728,1,23.759,1093.70784833333,1.52931180968564
"sfkeel_mir_2022","2022-07-29 08:16:15",7.44272113398226,8.37162875903015,1,23.775,1122.81939,1.52931180968564
"sfkeel_mir_2022","2022-07-29 08:21:15",7.49972113398226,8.37283897710089,1,23.767,1151.93093166667,1.54536014349098
"sfkeel_mir_2022","2022-07-29 08:26:15",7.58472113398226,8.37153469385514,1,23.775,1181.04247333333,1.56140847729633
"sfkeel_mir_2022","2022-07-29 08:31:15",7.65172113398226,8.3661481426808,1,23.809,1210.154015,1.57745681110167
"sfkeel_mir_2022","2022-07-29 08:36:15",7.70172113398226,8.36217890155809,1,23.834,1239.26555666667,1.56140847729633
"sfkeel_mir_2022","2022-07-29 08:41:15",7.76672113398226,8.35946667575635,1,23.851,1268.37709833333,1.54536014349098
"sfkeel_mir_2022","2022-07-29 08:46:15",7.83572113398226,8.35675598637884,1,23.868,1297.48864,1.52931180968564
"sfkeel_mir_2022","2022-07-29 08:51:15",7.90872113398226,8.35420339006889,1,23.884,1325.768675,1.52931180968564
"sfkeel_mir_2022","2022-07-29 08:56:15",7.96972113398226,8.34758552573653,1,23.926,1354.04871,1.52931180968564
"sfkeel_mir_2022","2022-07-29 09:01:15",8.02572113398226,8.34222604709076,1,23.96,1382.328745,1.52931180968564
"sfkeel_mir_2022","2022-07-29 09:06:15",8.10072113398226,8.34358483723531,1,23.951,1410.60878,1.52931180968564
"sfkeel_mir_2022","2022-07-29 09:11:15",8.13572113398226,8.33947827137308,1,23.977,1438.888815,1.52931180968564
"sfkeel_mir_2022","2022-07-29 09:16:15",8.19872113398226,8.33553119443177,1,24.002,1467.16885,1.52931180968564
