"site","k600_prior","velocity","slope","depth"
"russian","4.56298354027595","0.410701285961501","0.001018","0.858219898597552"
"salmon","18.5654229599899","0.376672705625002","0.004604","1.10650285865529"
"sfkeel_mir","2.41183193642649","0.19773091915613","0.00125","0.626717538959065"
"sfkeel_sth","5.18600051677448","0.217848324732812","0.0025","0.703542364869959"
