"date_time","Temp_C","DO_mgL","SW","pressure_mmHg","discharge_m3_s","depth_m"
2022-08-12 17:45:00,23.721,8.402,437.52,715.082657025847,1.58857359683078,0.450963215063416
2022-08-12 17:50:00,23.721,8.386,420.793333333333,715.095449779898,1.58857359683078,0.450963215063416
2022-08-12 17:55:00,23.712,8.357,404.066666666667,715.108242533949,1.58857359683078,0.450963215063416
2022-08-12 18:00:00,23.712,8.324,387.34,715.121035287999,1.58857359683078,0.450963215063416
2022-08-12 18:05:00,23.695,8.302,372.235,715.13382804205,1.58857359683078,0.450963215063416
2022-08-12 18:10:00,23.695,8.276,357.13,715.146620796101,1.58857359683078,0.450963215063416
2022-08-12 18:15:00,23.67,8.265,342.025,715.159413550152,1.58857359683078,0.450963215063416
2022-08-12 18:20:00,23.67,8.22,326.92,715.172206304203,1.58857359683078,0.450963215063416
2022-08-12 18:25:00,23.679,8.184,311.815,715.184999058253,1.58857359683078,0.450963215063416
2022-08-12 18:30:00,23.662,8.165,296.71,715.197791812304,1.58857359683078,0.450963215063416
2022-08-12 18:35:00,23.67,8.133,281.605,715.210584566355,1.58007855085842,0.450232556159333
2022-08-12 18:40:00,23.645,8.113,266.5,715.223377320405,1.57158350488607,0.449501897255251
2022-08-12 18:45:00,23.645,8.077,251.395,715.236170074456,1.56308845891371,0.448771238351168
2022-08-12 18:50:00,23.645,8.019,236.29,715.248962828507,1.56308845891371,0.448771238351168
2022-08-12 18:55:00,23.637,7.989,221.185,715.261755582558,1.56308845891371,0.448771238351168
2022-08-12 19:00:00,23.662,7.951,206.08,715.274548336609,1.56308845891371,0.448771238351168
2022-08-12 19:05:00,23.645,7.937,189.3055,715.287341090659,1.56308845891371,0.448771238351168
2022-08-12 19:10:00,23.645,7.895,172.531,715.30013384471,1.56308845891371,0.448771238351168
2022-08-12 19:15:00,23.637,7.851,155.7565,715.312926598761,1.56308845891371,0.448771238351168
2022-08-12 19:20:00,23.637,7.832,138.982,715.325719352812,1.56308845891371,0.448771238351168
2022-08-12 19:25:00,23.612,7.806,122.2075,715.338512106862,1.56308845891371,0.448771238351168
2022-08-12 19:30:00,23.628,7.769,105.433,715.351304860913,1.56308845891371,0.448771238351168
2022-08-12 19:35:00,23.645,7.742,88.6585,715.364097614964,1.56308845891371,0.448771238351168
2022-08-12 19:40:00,23.628,7.72,71.884,715.376890369015,1.56308845891371,0.448771238351168
2022-08-12 19:45:00,23.628,7.685,55.1095,715.389683123065,1.56308845891371,0.448771238351168
2022-08-12 19:50:00,23.637,7.65,38.335,715.402475877116,1.56308845891371,0.448771238351168
2022-08-12 19:55:00,23.62,7.621,21.5605,715.415268631167,1.56308845891371,0.448771238351168
2022-08-12 20:00:00,23.628,7.594,4.786,715.428061385218,1.56308845891371,0.448771238351168
2022-08-12 20:05:00,23.595,7.586,4.38716666666667,715.446708803582,1.55364951894442,0.44795939512441
2022-08-12 20:10:00,23.612,7.549,3.98833333333333,715.465356221946,1.54421057897514,0.447147551897652
2022-08-12 20:15:00,23.612,7.52,3.5895,715.484003640309,1.53477163900585,0.446335708670893
2022-08-12 20:20:00,23.603,7.493,3.19066666666667,715.502651058673,1.53477163900585,0.446335708670893
2022-08-12 20:25:00,23.595,7.481,2.79183333333333,715.521298477037,1.53477163900585,0.446335708670893
2022-08-12 20:30:00,23.586,7.441,2.393,715.539945895401,1.53477163900585,0.446335708670893
2022-08-12 20:35:00,23.595,7.426,1.99416666666667,715.558593313765,1.53477163900585,0.446335708670893
2022-08-12 20:40:00,23.586,7.404,1.59533333333333,715.577240732129,1.53477163900585,0.446335708670893
2022-08-12 20:45:00,23.57,7.377,1.1965,715.595888150493,1.53477163900585,0.446335708670893
2022-08-12 20:50:00,23.578,7.361,0.797666666666666,715.614535568857,1.53477163900585,0.446335708670893
