"date","GPP_mean","GPP_se_mean","GPP_sd","GPP_2.5pct","GPP_25pct","GPP_50pct","GPP_75pct","GPP_97.5pct","GPP_n_eff","GPP_Rhat","ER_mean","ER_se_mean","ER_sd","ER_2.5pct","ER_25pct","ER_50pct","ER_75pct","ER_97.5pct","ER_n_eff","ER_Rhat","DO_R2_mean","DO_R2_se_mean","DO_R2_sd","DO_R2_2.5pct","DO_R2_25pct","DO_R2_50pct","DO_R2_75pct","DO_R2_97.5pct","DO_R2_n_eff","DO_R2_Rhat","GPP_daily_mean","GPP_daily_se_mean","GPP_daily_sd","GPP_daily_2.5pct","GPP_daily_25pct","GPP_daily_50pct","GPP_daily_75pct","GPP_daily_97.5pct","GPP_daily_n_eff","GPP_daily_Rhat","ER_daily_mean","ER_daily_se_mean","ER_daily_sd","ER_daily_2.5pct","ER_daily_25pct","ER_daily_50pct","ER_daily_75pct","ER_daily_97.5pct","ER_daily_n_eff","ER_daily_Rhat","K600_daily_mean","K600_daily_se_mean","K600_daily_sd","K600_daily_2.5pct","K600_daily_25pct","K600_daily_50pct","K600_daily_75pct","K600_daily_97.5pct","K600_daily_n_eff","K600_daily_Rhat","K600_daily_predlog_mean","K600_daily_predlog_se_mean","K600_daily_predlog_sd","K600_daily_predlog_2.5pct","K600_daily_predlog_25pct","K600_daily_predlog_50pct","K600_daily_predlog_75pct","K600_daily_predlog_97.5pct","K600_daily_predlog_n_eff","K600_daily_predlog_Rhat","valid_day","warnings","errors"
2022-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","data don't start when expected"
2022-06-25,4.55368586082238,0.00786996510952881,0.354483823270841,3.87315151010445,4.31137812522274,4.55251501908285,4.79492217194518,5.25791674588093,2028.83733520808,1.0010232069583,-10.3277009024355,0.0179393535362286,0.753237076651934,-11.8220712102333,-10.836190333097,-10.326639181581,-9.81495878230587,-8.86488386752169,1762.98980519316,1.00114552437144,0.999999456051509,8.23945603842398e-08,2.45239139656939e-07,0.999998838231516,0.999999325068689,0.999999489005905,0.999999628593299,0.999999807465911,8.85895480191621,1.66455041369905,4.55368586082084,0.00786996510952621,0.354483823270722,3.87315151010314,4.31137812522128,4.55251501908131,4.79492217194356,5.25791674587916,2028.83733520805,1.0010232069583,-10.3277009024355,0.0179393535362287,0.753237076651935,-11.8220712102333,-10.836190333097,-10.326639181581,-9.81495878230584,-8.8648838675217,1762.98980519316,1.00114552437144,8.97156832703073,0.0146223182840147,0.643043317741115,7.72550705191984,8.54686959493717,8.96082950197264,9.39392212048149,10.2505834114023,1933.96225269218,1.00076361832747,2.16673978703545,0.00107071869304716,0.0350448658600027,2.09543000156941,2.1438511207695,2.16733599968017,2.19039805140766,2.23438952207553,1071.26775845823,1.0021301807732,TRUE,"",""
2022-06-26,4.78153184674927,0.00994044869073141,0.358989698049596,4.07227797263473,4.54684352991443,4.78693782827208,5.01829598959671,5.48711630229523,1304.22342310495,1.00338316373305,-9.61418767789953,0.0202213376525955,0.698084301344583,-10.9826901348762,-10.0820031501629,-9.61424717500851,-9.14387899130851,-8.24664703541694,1191.77969320883,1.00323208128338,0.999999538542839,6.98771456864823e-08,2.07096723345105e-07,0.999999007518676,0.999999428582836,0.99999956464323,0.999999684669389,0.999999836968787,8.78367264017109,1.67157779038194,4.78153184674766,0.00994044869072819,0.358989698049475,4.07227797263335,4.5468435299129,4.78693782827046,5.01829598959502,5.48711630229338,1304.22342310491,1.00338316373305,-9.61418767789953,0.0202213376525954,0.698084301344583,-10.9826901348763,-10.082003150163,-9.61424717500854,-9.14387899130851,-8.24664703541699,1191.77969320884,1.00323208128338,8.81112161602715,0.0167200627515558,0.618809299578363,7.58638875515558,8.40114286149806,8.80965755800363,9.22551059981259,10.0225784993033,1369.73911340973,1.00305061714522,2.16954709727809,0.00120424309708596,0.0390124298100698,2.09067233163667,2.14400510281039,2.17025673838022,2.19591865902352,2.24448385770891,1049.48846483071,1.00187792621543,TRUE,"",""
2022-06-27,4.77438210099844,0.00922500355794799,0.367636079129661,4.05171228443675,4.5286040244597,4.77510624863512,5.02122530753558,5.49305400698194,1588.19259461694,1.00295815538582,-9.17021581648812,0.0186187910945454,0.692622516296675,-10.5496994919869,-9.63355760661793,-9.16607385997424,-8.69933762249656,-7.81555475587576,1383.85393627401,1.0037511585366,0.999999568021177,6.54618541163396e-08,1.93822345987442e-07,0.999999079969766,0.9999994630893,0.999999593603057,0.999999705179764,0.999999846543865,8.76659791585451,1.66970757576424,4.77438210099682,0.00922500355794484,0.367636079129537,4.05171228443538,4.52860402445817,4.77510624863351,5.02122530753389,5.49305400698008,1588.19259461695,1.00295815538582,-9.17021581648812,0.0186187910945455,0.692622516296675,-10.549699491987,-9.63355760661791,-9.16607385997425,-8.69933762249659,-7.8155547558758,1383.853936274,1.0037511585366,8.76134480608696,0.0172393540482382,0.641239572823691,7.51964342044603,8.33323620192113,8.75270706201455,9.18598232403724,10.0258955198388,1383.56209204746,1.0026935337805,2.17704537064708,0.00158053514370836,0.0501647838445651,2.07614815963226,2.14393203331464,2.17798247296045,2.21125842815002,2.27291856484372,1007.3713067958,1.0014815186992,TRUE,"",""
2022-06-28,5.14033279691914,0.0105633303773758,0.390033453686115,4.38169925330664,4.87583265050344,5.13991908180672,5.40509233669148,5.89923879232672,1363.33313903134,1.00240834321082,-9.34730354421243,0.0198636673521315,0.710176227307873,-10.7373358182248,-9.82841558308588,-9.34626605298172,-8.86588178202729,-7.95562151534499,1278.242913236,1.00218589360567,0.999999611607316,5.86466655526149e-08,1.74062026951665e-07,0.999999184793875,0.999999517128925,0.999999634154423,0.999999733617002,0.999999863024226,8.80889480709568,1.66354847267729,5.1403327969174,0.0105633303773724,0.390033453685983,4.38169925330515,4.87583265050179,5.13991908180498,5.40509233668966,5.89923879232473,1363.33313903131,1.00240834321082,-9.34730354421243,0.0198636673521315,0.710176227307873,-10.7373358182249,-9.82841558308589,-9.34626605298172,-8.86588178202732,-7.95562151534504,1278.242913236,1.00218589360567,9.05651733956504,0.0183977636554716,0.665273253414213,7.7743373695213,8.60119684426584,9.05057854163232,9.50697177468571,10.3645263901534,1307.58537969237,1.00206248255056,2.1796096125268,0.00166926349040658,0.0542319653236069,2.07040529611737,2.14465311005033,2.18089229977342,2.21587673685093,2.28291220614921,1055.50646313225,1.00098759339052,TRUE,"",""
2022-06-29,5.37084158211804,0.0124890839935253,0.438980853070323,4.51964437383638,5.07586346786115,5.36204508733253,5.6625913649313,6.25389279751009,1235.46368246024,1.00265403534798,-9.30517309377053,0.0222260993243267,0.756705075513364,-10.8437777521037,-9.80075658481615,-9.29018467914118,-8.7988362236216,-7.8553464649562,1159.11571071848,1.00275064956178,0.999999655528176,5.18971187885846e-08,1.54655685566939e-07,0.999999267714138,0.999999573861436,0.999999675983937,0.999999763838442,0.999999877616184,8.88066087571731,1.6652545502802,5.37084158211623,0.0124890839935212,0.438980853070174,4.51964437383485,5.07586346785943,5.36204508733072,5.66259136492938,6.25389279750798,1235.46368246022,1.00265403534798,-9.30517309377053,0.0222260993243267,0.756705075513363,-10.8437777521038,-9.80075658481615,-9.29018467914119,-8.79883622362161,-7.85534646495621,1159.11571071848,1.00275064956178,9.36016268855838,0.0206303467661802,0.711624302130552,8.01533183907323,8.88490351220895,9.34041648085951,9.82775244067054,10.8143864535975,1189.8397838909,1.00270712260679,2.17567350437101,0.00151019833771841,0.0480805230934991,2.0792691707324,2.14401006084729,2.17652342791249,2.20840153806887,2.26765414773478,1013.60884598761,1.00153336688916,TRUE,"",""
2022-06-30,4.5688285790972,0.0100367207994703,0.410285448536011,3.7492698629082,4.2998582771336,4.56905734448643,4.84419473469307,5.37235366887963,1671.04652724015,1.00037671842855,-7.50505930357151,0.0172382984570696,0.675737043655898,-8.83092775569821,-7.95157683303325,-7.5090870549292,-7.06261951929235,-6.14137379850121,1536.6206443501,1.00039754036908,0.999999655537691,5.21445530089814e-08,1.55028163419149e-07,0.999999266331842,0.999999573475293,0.999999675488945,0.999999764480329,0.999999878150542,8.83900350722138,1.66492274191616,4.56882857909565,0.0100367207994669,0.410285448535873,3.74926986290693,4.29985827713215,4.56905734448488,4.84419473469143,5.37235366887782,1671.04652724015,1.00037671842855,-7.50505930357151,0.0172382984570695,0.675737043655898,-8.8309277556982,-7.95157683303324,-7.50908705492922,-7.06261951929234,-6.14137379850124,1536.62064435011,1.00039754036908,8.54944743693157,0.0170851554118833,0.670286626525397,7.20184947916501,8.11235157922928,8.55470489946388,8.99970817034578,9.84546820068472,1539.15813375495,1.00048217213937,2.17262611322198,0.00135619239876346,0.043513507429865,2.08484745278731,2.14404110109153,2.17344475698422,2.20214146320712,2.25597631931288,1029.45074133901,1.00167741401818,TRUE,"",""
2022-07-01,4.86102136316453,0.00930470257209021,0.36336439829146,4.13649906901615,4.61852261395629,4.86459018344139,5.10728419642101,5.55921898457578,1525.03481002102,1.00226515916312,-8.59142607390374,0.0175102220538362,0.64598503329266,-9.83278985832717,-9.02653290010281,-8.59412779621031,-8.1537638915441,-7.31744704321262,1361.01090478255,1.00271609641413,0.999999581678656,6.34386227706998e-08,1.88540925387088e-07,0.999999103154224,0.999999483427256,0.99999960513503,0.999999714741991,0.999999852371079,8.83290941487502,1.66573182188176,4.86102136316289,0.00930470257208705,0.363364398291338,4.13649906901475,4.61852261395472,4.86459018343974,5.10728419641929,5.5592189845739,1525.03481002103,1.00226515916312,-8.59142607390374,0.0175102220538362,0.64598503329266,-9.83278985832722,-9.02653290010282,-8.59412779621031,-8.15376389154407,-7.31744704321259,1361.01090478255,1.00271609641413,8.53372171295273,0.0167326095407284,0.616635887342502,7.31643398262702,8.12758648433568,8.54012398074484,8.94434796765607,9.74867072855017,1358.09527824786,1.00258404669171,2.17149285614814,0.00129972029163216,0.0418416458442222,2.08685560598968,2.14403473151009,2.17224351953338,2.19984362546188,2.25178860484476,1036.37688900566,1.00174365849138,TRUE,"",""
2022-07-02,4.74332948730145,0.0091201927657061,0.357382936480084,4.05414035705357,4.50094265002751,4.73990875636656,4.98807704307984,5.43850935447129,1535.5345421097,1.00241145364474,-8.2279957865491,0.0165246715236369,0.631274069755265,-9.47025283705704,-8.65025476631206,-8.22651887725113,-7.80275796870433,-6.99658040548622,1459.38618393415,1.00254261874293,0.9999995649932,6.62275955635249e-08,1.96350894972576e-07,0.999999068428551,0.999999459269405,0.999999589645162,0.999999704328445,0.999999846426327,8.78997812549721,1.66537896807278,4.74332948729985,0.00912019276570295,0.357382936479963,4.0541403570522,4.50094265002599,4.73990875636496,4.98807704307816,5.43850935446945,1535.53454210972,1.00241145364474,-8.2279957865491,0.0165246715236369,0.631274069755265,-9.47025283705705,-8.65025476631205,-8.2265188772511,-7.80275796870428,-6.99658040548621,1459.38618393415,1.00254261874293,8.286275279167,0.0149922848224364,0.601109961789181,7.10596626260415,7.88645492481065,8.29323156505799,8.69143732748253,9.45069607849853,1607.57854707059,1.00248553045669,2.16531575094772,0.00100552262822007,0.0330975822320908,2.09806127002115,2.14370694276303,2.16581615910414,2.18766195677734,2.22921032207378,1083.44992277599,1.00229211441414,TRUE,"",""
2022-07-03,3.59970795220214,0.00653109069104903,0.281431301673695,3.03539541326171,3.41249325379506,3.60570500494272,3.78954349568735,4.13974333570248,1856.83524039926,1.00275195490414,-6.65453497631451,0.0150663200223199,0.560640637204501,-7.7281689809475,-7.03557165520004,-6.66253372129755,-6.28185506558082,-5.52931245393631,1384.69706445569,1.00356136592276,0.999999523796846,7.22451459189487e-08,2.14071253918338e-07,0.99999898415074,0.999999409131842,0.999999551637568,0.999999674900329,0.999999832105785,8.78009794655981,1.67056263247299,3.59970795220092,0.00653109069104684,0.2814313016736,3.03539541326068,3.4124932537939,3.6057050049415,3.78954349568606,4.13974333570109,1856.83524039925,1.00275195490414,-6.65453497631451,0.0150663200223199,0.560640637204501,-7.72816898094754,-7.03557165520002,-6.66253372129753,-6.28185506558083,-5.52931245393629,1384.69706445568,1.00356136592276,6.59543417651665,0.0161734515983073,0.575638904397889,5.42485606377772,6.20892476860958,6.60745621577294,6.99498985046468,7.6761473110839,1266.76148218004,1.00370146366682,2.14820838304637,0.000649142606359716,0.0190211927574443,2.11085787606374,2.13551415232453,2.14795271081181,2.16093631925827,2.18546401037326,858.608658025785,1.00598928225639,TRUE,"",""
