"date_time","temp_C","low_range_cond_uS_cm"
"2022-06-26 19:00:00",20.77,95.1
"2022-06-26 19:15:00",20.72,95.1
"2022-06-26 19:30:00",20.67,95
"2022-06-26 19:45:00",20.6,94.9
"2022-06-26 20:00:00",20.56,94.9
"2022-06-26 20:15:00",20.48,94.7
"2022-06-26 20:30:00",20.44,94.7
"2022-06-26 20:45:00",20.37,94.6
"2022-06-26 21:00:00",20.28,94.5
"2022-06-26 21:15:00",20.2,94.3
"2022-06-26 21:30:00",20.15,94.3
"2022-06-26 21:45:00",20.08,94.1
"2022-06-26 22:00:00",20.02,94.1
"2022-06-26 22:15:00",19.96,94.1
"2022-06-26 22:30:00",19.93,94.1
"2022-06-26 22:45:00",19.88,94
"2022-06-26 23:00:00",19.87,93.9
"2022-06-26 23:15:00",19.83,93.9
"2022-06-26 23:30:00",19.81,93.9
"2022-06-26 23:45:00",19.81,93.9
"2022-06-27 00:00:00",19.81,93.9
"2022-06-27 00:15:00",19.79,93.9
"2022-06-27 00:30:00",19.79,93.9
"2022-06-27 00:45:00",19.79,94
"2022-06-27 01:00:00",19.76,93.9
"2022-06-27 01:15:00",19.74,94
"2022-06-27 01:30:00",19.73,93.9
"2022-06-27 01:45:00",19.71,94
"2022-06-27 02:00:00",19.69,94
"2022-06-27 02:15:00",19.67,94
"2022-06-27 02:30:00",19.64,93.9
"2022-06-27 02:45:00",19.61,93.9
"2022-06-27 03:00:00",19.6,93.8
"2022-06-27 03:15:00",19.56,93.7
"2022-06-27 03:30:00",19.52,93.7
"2022-06-27 03:45:00",19.5,93.6
"2022-06-27 04:00:00",19.46,93.5
"2022-06-27 04:15:00",19.44,93.5
"2022-06-27 04:30:00",19.41,93.5
"2022-06-27 04:45:00",19.38,93.4
"2022-06-27 05:00:00",19.37,93.4
"2022-06-27 05:15:00",19.32,93.3
"2022-06-27 05:30:00",19.28,93.3
"2022-06-27 05:45:00",19.25,93.2
"2022-06-27 06:00:00",19.23,93.1
"2022-06-27 06:15:00",19.17,93.1
"2022-06-27 06:30:00",19.16,93
"2022-06-27 06:45:00",19.11,92.9
"2022-06-27 07:00:00",19.07,92.9
"2022-06-27 07:15:00",19.06,92.8
"2022-06-27 07:30:00",19.04,92.8
"2022-06-27 07:45:00",19.03,92.8
"2022-06-27 08:00:00",19.03,92.7
"2022-06-27 08:15:00",19.01,92.7
"2022-06-27 08:30:00",19,92.9
"2022-06-27 08:45:00",19.04,92.9
"2022-06-27 09:00:00",19.09,92.9
"2022-06-27 09:15:00",19.1,93
"2022-06-27 09:30:00",19.16,93.1
"2022-06-27 09:45:00",19.18,93.2
"2022-06-27 10:00:00",19.26,93.3
"2022-06-27 10:15:00",19.35,93.4
"2022-06-27 10:30:00",19.43,93.6
"2022-06-27 10:45:00",19.52,93.9
"2022-06-27 11:00:00",19.6,94.2
"2022-06-27 11:15:00",19.71,94.3
"2022-06-27 11:30:00",19.8,94.4
"2022-06-27 11:45:00",19.87,94.6
"2022-06-27 12:00:00",19.94,94.8
"2022-06-27 12:15:00",20.06,95.1
"2022-06-27 12:30:00",20.12,95.3
"2022-06-27 12:45:00",20.2,95.5
"2022-06-27 13:00:00",20.26,95.6
"2022-06-27 13:15:00",20.31,95.8
"2022-06-27 13:30:00",20.37,95.9
"2022-06-27 13:45:00",20.43,96
"2022-06-27 14:00:00",20.46,96
"2022-06-27 14:15:00",20.52,96.2
"2022-06-27 14:30:00",20.59,96.2
"2022-06-27 14:45:00",20.63,96.3
"2022-06-27 15:00:00",20.64,96.5
"2022-06-27 15:15:00",20.7,96.5
"2022-06-27 15:30:00",20.71,96.4
"2022-06-27 15:45:00",20.77,96.7
"2022-06-27 16:00:00",20.8,96.7
"2022-06-27 16:15:00",20.83,96.8
"2022-06-27 16:30:00",20.83,96.8
"2022-06-27 16:45:00",20.85,96.8
"2022-06-27 17:00:00",20.88,96.8
"2022-06-27 17:15:00",20.89,96.9
"2022-06-27 17:30:00",20.9,96.9
"2022-06-27 17:45:00",20.89,96.9
"2022-06-27 18:00:00",20.88,96.9
"2022-06-27 18:15:00",20.85,96.9
"2022-06-27 18:30:00",20.85,96.8
"2022-06-27 18:45:00",20.82,96.8
"2022-06-27 19:00:00",20.75,96.7
"2022-06-27 19:15:00",20.67,96.4
"2022-06-27 19:30:00",20.59,96.3
"2022-06-27 19:45:00",20.53,96.2
"2022-06-27 20:00:00",20.45,96
"2022-06-27 20:15:00",20.39,96
"2022-06-27 20:30:00",20.32,95.8
"2022-06-27 20:45:00",20.25,95.7
"2022-06-27 21:00:00",20.16,95.5
"2022-06-27 21:15:00",20.08,95.4
"2022-06-27 21:30:00",20,95.2
"2022-06-27 21:45:00",19.89,95.1
"2022-06-27 22:00:00",19.84,94.9
"2022-06-27 22:15:00",19.81,95
"2022-06-27 22:30:00",19.75,94.9
"2022-06-27 22:45:00",19.7,94.9
"2022-06-27 23:00:00",19.65,94.7
"2022-06-27 23:15:00",19.63,94.8
"2022-06-27 23:30:00",19.62,94.7
"2022-06-27 23:45:00",19.61,94.8
"2022-06-28 00:00:00",19.6,94.8
"2022-06-28 00:15:00",19.58,94.8
"2022-06-28 00:30:00",19.56,94.8
"2022-06-28 00:45:00",19.57,94.8
"2022-06-28 01:00:00",19.54,94.8
"2022-06-28 01:15:00",19.54,94.8
"2022-06-28 01:30:00",19.5,94.8
"2022-06-28 01:45:00",19.48,94.7
"2022-06-28 02:00:00",19.44,94.7
"2022-06-28 02:15:00",19.41,94.7
"2022-06-28 02:30:00",19.38,94.6
"2022-06-28 02:45:00",19.33,94.6
"2022-06-28 03:00:00",19.3,94.6
"2022-06-28 03:15:00",19.25,94.5
"2022-06-28 03:30:00",19.2,94.4
"2022-06-28 03:45:00",19.16,94.3
"2022-06-28 04:00:00",19.1,94.2
"2022-06-28 04:15:00",19.06,94.2
"2022-06-28 04:30:00",19.03,94
"2022-06-28 04:45:00",19,94
"2022-06-28 05:00:00",18.97,94
"2022-06-28 05:15:00",18.91,93.9
"2022-06-28 05:30:00",18.87,93.8
"2022-06-28 05:45:00",18.82,93.8
"2022-06-28 06:00:00",18.77,93.6
"2022-06-28 06:15:00",18.73,93.5
"2022-06-28 06:30:00",18.69,93.5
"2022-06-28 06:45:00",18.65,93.3
"2022-06-28 07:00:00",18.6,93.3
"2022-06-28 07:15:00",18.58,93.2
"2022-06-28 07:30:00",18.53,93.1
"2022-06-28 07:45:00",18.5,93.1
"2022-06-28 08:00:00",18.49,93.1
"2022-06-28 08:15:00",18.49,93.1
"2022-06-28 08:30:00",18.49,93
"2022-06-28 08:45:00",18.52,93.1
"2022-06-28 09:00:00",18.54,93.1
"2022-06-28 09:15:00",18.55,93.2
"2022-06-28 09:30:00",18.58,93.3
"2022-06-28 09:45:00",18.62,93.3
"2022-06-28 10:00:00",18.67,93.5
"2022-06-28 10:15:00",18.75,93.5
"2022-06-28 10:30:00",18.85,93.9
"2022-06-28 10:45:00",18.92,94
