"date","discharge.daily","lnQ.daily","lnQ.bin1","lnQ.bin2","lnQ.bin1.weight","lnQ.bin2.weight"
2023-06-24,NA,NA,NA,NA,NA,NA
2023-06-25,2.30742982787375,0.836134276476884,6,7,0.909664308807791,0.0903356911922093
2023-06-26,2.24356099940212,0.808064335456797,6,7,0.979839161358008,0.0201608386419916
2023-06-27,2.1706944837786,0.775047154958585,5,6,0.0623821126035368,0.937617887396463
2023-06-28,2.09803447245036,0.741000940940337,5,6,0.147497647649158,0.852502352350842
2023-06-29,2.02165738380692,0.703917662030759,5,6,0.240205844923103,0.759794155076897
2023-06-30,1.928632115548,0.656811003215172,5,6,0.357972491962071,0.642027508037929
2023-07-01,1.83381714339658,0.606399665153921,5,6,0.484000837115198,0.515999162884802
2023-07-02,1.72734942886812,0.54658811156895,5,6,0.633529721077625,0.366470278922375
2023-07-03,1.63370464772334,0.490850225952528,5,6,0.77287443511868,0.22712556488132
2023-07-04,1.5841436168539,0.460043956487955,5,6,0.849890108780113,0.150109891219887
2023-07-05,NA,NA,NA,NA,NA,NA
2023-07-07,NA,NA,NA,NA,NA,NA
2023-07-08,1.47622053872054,0.38948513149408,4,5,0.0262871712647997,0.9737128287352
2023-07-09,1.47623037225841,0.389491792765117,4,5,0.0262705180872076,0.973729481912792
2023-07-10,1.48209116082948,0.393454037012795,4,5,0.0163649074680126,0.983635092531987
2023-07-11,1.45659279713018,0.376100007801246,4,5,0.059749980496884,0.940250019503116
2023-07-12,1.40519289467888,0.34017458494847,4,5,0.149563537628824,0.850436462371176
2023-07-13,1.35882776361748,0.306622389548807,4,5,0.233444026127983,0.766555973872017
2023-07-14,NA,NA,NA,NA,NA,NA
2023-07-24,NA,NA,NA,NA,NA,NA
2023-07-25,0.934313933729821,-0.0679427797443726,3,4,0.169856949360932,0.830143050639068
2023-07-26,0.922789027345102,-0.0803546433632214,3,4,0.200886608408054,0.799113391591946
2023-07-27,0.900742235438497,-0.104536149498224,3,4,0.26134037374556,0.73865962625444
2023-07-28,0.882815695899808,-0.124638825079533,3,4,0.311597062698834,0.688402937301166
2023-07-29,0.864495814846282,-0.145608814996847,3,4,0.364022037492116,0.635977962507884
2023-07-30,NA,NA,NA,NA,NA,NA
2023-07-31,0.832428647849209,-0.183407769089942,3,4,0.458519422724856,0.541480577275144
2023-08-01,0.814315271090972,-0.205407677042541,3,4,0.513519192606353,0.486480807393647
2023-08-02,0.792897825608106,-0.232060911035573,3,4,0.580152277588932,0.419847722411068
2023-08-03,0.778295021869788,-0.250649621195816,3,4,0.626624052989541,0.373375947010459
2023-08-04,0.763987224267598,-0.269204212118263,3,4,0.673010530295658,0.326989469704342
2023-08-05,0.743140123981245,-0.296870659877078,3,4,0.742176649692696,0.257823350307304
2023-08-06,0.719687136159099,-0.32893869452127,3,4,0.822346736303176,0.177653263696824
2023-08-07,0.694818118883539,-0.364105167114766,3,4,0.910262917786915,0.0897370822130854
2023-08-08,0.677461924541363,-0.389401927746504,3,4,0.973504819366259,0.0264951806337406
2023-08-09,0.669241086881273,-0.401610914740928,2,3,0.00402728685231946,0.995972713147681
2023-08-10,0.6548939551276,-0.423281957022747,2,3,0.0582048925568669,0.941795107443133
2023-08-11,0.643929560401523,-0.440165937118526,2,3,0.100414842796316,0.899585157203684
2023-08-12,0.627782891217471,-0.465560886908877,2,3,0.163902217272193,0.836097782727807
2023-08-13,0.613425925925926,-0.488695762257888,2,3,0.22173940564472,0.77826059435528
2023-08-14,0.605401759023255,-0.501862976843314,2,3,0.254657442108286,0.745342557891714
2023-08-15,0.597475927499292,-0.515041284692197,2,3,0.287603211730492,0.712396788269508
2023-08-16,0.571151546618836,-0.560100698902781,2,3,0.400251747256953,0.599748252743047
2023-08-17,0.552792331413826,-0.592772878886427,2,3,0.481932197216068,0.518067802783932
2023-08-18,0.537501180024544,-0.620824323588228,2,3,0.55206080897057,0.44793919102943
2023-08-19,0.533449762421725,-0.628390378706609,2,3,0.570975946766523,0.429024053233477
2023-08-20,0.534472450360301,-0.626475092669922,2,3,0.566187731674805,0.433812268325195
2023-08-21,0.597820101324774,-0.514465404196162,2,3,0.286163510490405,0.713836489509595
2023-08-22,0.638412945655936,-0.448769954769032,2,3,0.121924886922579,0.878075113077421
2023-08-23,0.636062730104786,-0.452458088265625,2,3,0.131145220664062,0.868854779335938
2023-08-24,0.62328896441046,-0.472745040425209,2,3,0.181862601063022,0.818137398936978
2023-08-25,0.604841247364612,-0.502789256434703,2,3,0.256973141086758,0.743026858913242
2023-08-26,0.590907124201517,-0.526096424176674,2,3,0.315241060441686,0.684758939558314
2023-08-27,0.569489678718651,-0.563014619667998,2,3,0.407536549169994,0.592463450830006
2023-08-28,0.551582806255703,-0.594963304223746,2,3,0.487408260559364,0.512591739440636
2023-08-29,0.529083671607036,-0.636608690241815,2,3,0.591521725604537,0.408478274395463
2023-08-30,0.51311400610466,-0.667257224379567,2,3,0.668143060948919,0.331856939051081
2023-08-31,0.502336448598131,-0.688485167454134,2,3,0.721212918635335,0.278787081364665
2023-09-01,0.512209320620535,-0.669021908153589,2,3,0.672554770383973,0.327445229616027
2023-09-02,0.539389219295761,-0.617317854950542,2,3,0.543294637376356,0.456705362623644
2023-09-03,0.553982189496208,-0.590622741675453,2,3,0.476556854188633,0.523443145811367
2023-09-04,0.551071462286415,-0.595890782619344,2,3,0.489726956548359,0.510273043451641
2023-09-05,0.545722017684634,-0.60564555800515,2,3,0.514113895012875,0.485886104987125
