"date_time","Temp_C","DO_mgL","discharge_m3_s","depth_m","pressure_mmHg","SW"
2023-06-27 19:40:01,17.45,8.724,28.9775457057071,1.04665095194609,656.390709877006,143.809333333333
2023-06-27 19:45:01,17.424,8.718,28.8831563060142,1.04555170847695,656.404731902212,125.573
2023-06-27 19:50:01,17.391,8.731,28.8831563060142,1.04555170847695,656.418753927417,107.336666666667
2023-06-27 19:55:01,17.357,8.713,28.8831563060142,1.04555170847695,656.432775952623,89.1003333333333
2023-06-27 20:00:01,17.34,8.717,28.8831563060142,1.04555170847695,656.446797977828,70.864
2023-06-27 20:05:01,17.306,8.728,28.8831563060142,1.04555170847695,656.475883783455,64.9586666666667
2023-06-27 20:10:01,17.298,8.716,28.8831563060142,1.04555170847695,656.504969589082,59.0533333333333
2023-06-27 20:15:01,17.272,8.719,28.8831563060142,1.04555170847695,656.534055394709,53.148
2023-06-27 20:20:01,17.247,8.717,28.7887669063213,1.04445002697512,656.563141200335,47.2426666666667
2023-06-27 20:25:01,17.238,8.697,28.6943775066285,1.04334589401301,656.592227005962,41.3373333333333
2023-06-27 20:30:01,17.23,8.692,28.5999881069356,1.04223929604461,656.621312811589,35.432
2023-06-27 20:35:01,17.204,8.687,28.5999881069356,1.04223929604461,656.650398617216,29.5266666666667
2023-06-27 20:40:01,17.204,8.692,28.5999881069356,1.04223929604461,656.679484422843,23.6213333333333
2023-06-27 20:45:01,17.171,8.687,28.5999881069356,1.04223929604461,656.708570228469,17.716
2023-06-27 20:50:01,17.162,8.693,28.5999881069356,1.04223929604461,656.737656034096,11.8106666666667
2023-06-27 20:55:01,17.145,8.672,28.5999881069356,1.04223929604461,656.766741839723,5.90533333333333
2023-06-27 21:00:01,17.137,8.671,28.5999881069356,1.04223929604461,656.79582764535,0
2023-06-27 21:05:01,17.128,8.664,28.5999881069356,1.04223929604461,656.824913450977,0
2023-06-27 21:10:01,17.12,8.66,28.5999881069356,1.04223929604461,656.853999256603,0
2023-06-27 21:15:01,17.12,8.669,28.5999881069356,1.04223929604461,656.88308506223,0
2023-06-27 21:20:01,17.103,8.661,28.5999881069356,1.04223929604461,656.912170867857,0
2023-06-27 21:25:01,17.103,8.648,28.5999881069356,1.04223929604461,656.941256673484,0
2023-06-27 21:30:01,17.111,8.655,28.5999881069356,1.04223929604461,656.970342479111,0
2023-06-27 21:35:01,17.094,8.65,28.5999881069356,1.04223929604461,656.999428284738,0
2023-06-27 21:40:01,17.094,8.65,28.5999881069356,1.04223929604461,657.028514090364,0
2023-06-27 21:45:01,17.094,8.644,28.5999881069356,1.04223929604461,657.057599895991,0
2023-06-27 21:50:01,17.094,8.643,28.5999881069356,1.04223929604461,657.086685701618,0
2023-06-27 21:55:01,17.086,8.641,28.5999881069356,1.04223929604461,657.115771507245,0
2023-06-27 22:00:01,17.094,8.647,28.5999881069356,1.04223929604461,657.144857312872,0
2023-06-27 22:05:01,17.094,8.64,28.5999881069356,1.04223929604461,657.173943118498,0
2023-06-27 22:10:01,17.094,8.626,28.5999881069356,1.04223929604461,657.203028924125,0
2023-06-27 22:15:01,17.094,8.637,28.5999881069356,1.04223929604461,657.232114729752,0
2023-06-27 22:20:01,17.094,8.627,28.4867208273042,1.04090810542421,657.261200535379,0
2023-06-27 22:25:01,17.103,8.639,28.3734535476728,1.03957332166405,657.290286341006,0
2023-06-27 22:30:01,17.12,8.613,28.2601862680414,1.03823492066341,657.319372146632,0
2023-06-27 22:35:01,17.111,8.629,28.2601862680414,1.03823492066341,657.348457952259,0
2023-06-27 22:40:01,17.111,8.634,28.2601862680414,1.03823492066341,657.377543757886,0
2023-06-27 22:45:01,17.12,8.625,28.2601862680414,1.03823492066341,657.406629563513,0
2023-06-27 22:50:01,17.12,8.628,28.1752358083178,1.03722873145479,657.43571536914,0
2023-06-27 22:55:01,17.111,8.633,28.0902853485942,1.03622048347777,657.464801174767,0
2023-06-27 23:00:01,17.128,8.617,28.0053348888706,1.03521016627464,657.493886980393,0
2023-06-27 23:05:01,17.128,8.617,28.0053348888706,1.03521016627464,657.483844460112,0
2023-06-27 23:10:01,17.12,8.619,28.0053348888706,1.03521016627464,657.473801939832,0
2023-06-27 23:15:01,17.128,8.622,28.0053348888706,1.03521016627464,657.463759419551,0
2023-06-27 23:20:01,17.137,8.622,28.0053348888706,1.03521016627464,657.45371689927,0
2023-06-27 23:25:01,17.137,8.617,28.0053348888706,1.03521016627464,657.443674378989,0
2023-06-27 23:30:01,17.12,8.636,28.0053348888706,1.03521016627464,657.433631858708,0
2023-06-27 23:35:01,17.128,8.618,28.0053348888706,1.03521016627464,657.423589338427,0
2023-06-27 23:40:01,17.128,8.62,28.0053348888706,1.03521016627464,657.413546818146,0
2023-06-27 23:45:01,17.128,8.625,28.0053348888706,1.03521016627464,657.403504297865,0
2023-06-27 23:50:01,17.137,8.63,27.9298233691164,1.03431036088944,657.393461777584,0
2023-06-27 23:55:01,17.12,8.616,27.8543118493621,1.03340890476971,657.383419257303,0
2023-06-28 00:00:01,17.145,8.62,27.7788003296078,1.03250579039972,657.373376737023,0
2023-06-28 00:05:01,17.128,8.618,27.7788003296078,1.03250579039972,657.363334216742,0
2023-06-28 00:10:01,17.111,8.625,27.7788003296078,1.03250579039972,657.353291696461,0
2023-06-28 00:15:01,17.12,8.624,27.7788003296078,1.03250579039972,657.34324917618,0
2023-06-28 00:20:01,17.12,8.622,27.7788003296078,1.03250579039972,657.333206655899,0
2023-06-28 00:25:01,17.103,8.623,27.7788003296078,1.03250579039972,657.323164135618,0
