"date_time","Temp_C","DO_mgL","SW","pressure_mmHg","discharge_m3_s","depth"
2022-06-29 10:40:00,21.483,8.157,792.716666666667,695.525286316004,3.46409096872785,0.572711944298927
2022-06-29 10:45:00,21.508,8.176,806.24,695.522056874834,3.48296884866642,0.575223835003554
2022-06-29 10:50:00,21.55,8.195,819.763333333333,695.518827433665,3.48296884866642,0.575223835003554
2022-06-29 10:55:00,21.584,8.224,833.286666666667,695.515597992496,3.48296884866642,0.575223835003554
2022-06-29 11:00:00,21.617,8.239,846.81,695.512368551327,3.48296884866642,0.575223835003554
2022-06-29 11:05:00,21.659,8.261,857.663333333333,695.504992924399,3.48296884866642,0.575223835003554
2022-06-29 11:10:00,21.734,8.285,868.516666666667,695.49761729747,3.48296884866642,0.575223835003554
2022-06-29 11:15:00,21.776,8.306,879.37,695.490241670542,3.48296884866642,0.575223835003554
2022-06-29 11:20:00,21.809,8.337,890.223333333333,695.482866043614,3.48296884866642,0.575223835003554
2022-06-29 11:25:00,21.884,8.343,901.076666666667,695.475490416685,3.48296884866642,0.575223835003554
2022-06-29 11:30:00,21.901,8.368,911.93,695.468114789757,3.48296884866642,0.575223835003554
2022-06-29 11:35:00,21.96,8.387,922.783333333333,695.460739162829,3.48296884866642,0.575223835003554
2022-06-29 11:40:00,22.01,8.41,933.636666666667,695.453363535901,3.48296884866642,0.575223835003554
2022-06-29 11:45:00,22.027,8.436,944.49,695.445987908972,3.48296884866642,0.575223835003554
2022-06-29 11:50:00,22.077,8.442,955.343333333333,695.438612282044,3.48296884866642,0.575223835003554
2022-06-29 11:55:00,22.118,8.472,966.196666666667,695.431236655116,3.48296884866642,0.575223835003554
2022-06-29 12:00:00,22.169,8.49,977.05,695.423861028187,3.48296884866642,0.575223835003554
2022-06-29 12:05:00,22.227,8.507,981.595833333333,695.416485401259,3.48296884866642,0.575223835003554
2022-06-29 12:10:00,22.261,8.522,986.141666666667,695.409109774331,3.48296884866642,0.575223835003554
2022-06-29 12:15:00,22.286,8.548,990.6875,695.401734147403,3.48296884866642,0.575223835003554
2022-06-29 12:20:00,22.344,8.574,995.233333333333,695.394358520474,3.48296884866642,0.575223835003554
2022-06-29 12:25:00,22.386,8.586,999.779166666667,695.386982893546,3.48296884866642,0.575223835003554
2022-06-29 12:30:00,22.436,8.596,1004.325,695.379607266618,3.48296884866642,0.575223835003554
2022-06-29 12:35:00,22.478,8.615,1008.87083333333,695.372231639689,3.48296884866642,0.575223835003554
2022-06-29 12:40:00,22.52,8.635,1013.41666666667,695.364856012761,3.48296884866642,0.575223835003554
2022-06-29 12:45:00,22.545,8.671,1017.9625,695.357480385833,3.48296884866642,0.575223835003554
2022-06-29 12:50:00,22.595,8.679,1022.50833333333,695.350104758905,3.48296884866642,0.575223835003554
2022-06-29 12:55:00,22.637,8.694,1027.05416666667,695.342729131976,3.48296884866642,0.575223835003554
2022-06-29 13:00:00,22.679,8.704,1031.6,695.335353505048,3.48296884866642,0.575223835003554
2022-06-29 13:05:00,22.712,8.735,1030.93333333333,695.32797787812,3.50184672860499,0.57773572570818
2022-06-29 13:10:00,22.762,8.743,1030.26666666667,695.320602251191,3.52072460854356,0.580247616412806
2022-06-29 13:15:00,22.813,8.749,1029.6,695.313226624263,3.53960248848213,0.582759507117433
2022-06-29 13:20:00,22.854,8.774,1028.93333333333,695.305850997335,3.52072460854356,0.580247616412806
2022-06-29 13:25:00,22.888,8.784,1028.26666666667,695.298475370406,3.50184672860499,0.57773572570818
2022-06-29 13:30:00,22.913,8.803,1027.6,695.291099743478,3.48296884866642,0.575223835003554
2022-06-29 13:35:00,22.946,8.821,1026.93333333333,695.28372411655,3.46409096872785,0.572711944298927
2022-06-29 13:40:00,22.997,8.83,1026.26666666667,695.276348489622,3.44521308878928,0.570200053594301
2022-06-29 13:45:00,23.038,8.849,1025.6,695.268972862693,3.42633520885071,0.567688162889675
2022-06-29 13:50:00,23.097,8.855,1024.93333333333,695.261597235765,3.46409096872785,0.572711944298927
2022-06-29 13:55:00,23.139,8.873,1024.26666666667,695.254221608837,3.50184672860499,0.57773572570818
2022-06-29 14:00:00,23.172,8.882,1023.6,695.246845981908,3.53960248848213,0.582759507117433
2022-06-29 14:05:00,23.214,8.911,1017.92833333333,695.247262683995,3.52072460854356,0.580247616412806
2022-06-29 14:10:00,23.248,8.905,1012.25666666667,695.247679386081,3.50184672860499,0.57773572570818
2022-06-29 14:15:00,23.298,8.914,1006.585,695.248096088167,3.48296884866642,0.575223835003554
2022-06-29 14:20:00,23.323,8.941,1000.91333333333,695.248512790254,3.48296884866642,0.575223835003554
2022-06-29 14:25:00,23.365,8.947,995.241666666667,695.24892949234,3.48296884866642,0.575223835003554
2022-06-29 14:30:00,23.39,8.977,989.57,695.249346194426,3.48296884866642,0.575223835003554
2022-06-29 14:35:00,23.44,8.984,983.898333333333,695.249762896513,3.48296884866642,0.575223835003554
2022-06-29 14:40:00,23.49,8.995,978.226666666667,695.250179598599,3.48296884866642,0.575223835003554
2022-06-29 14:45:00,23.557,8.996,972.555,695.250596300686,3.48296884866642,0.575223835003554
2022-06-29 14:50:00,23.566,9.002,966.883333333333,695.251013002772,3.48296884866642,0.575223835003554
2022-06-29 14:55:00,23.591,9.012,961.211666666667,695.251429704858,3.48296884866642,0.575223835003554
2022-06-29 15:00:00,23.625,9.024,955.54,695.251846406945,3.48296884866642,0.575223835003554
2022-06-29 15:05:00,23.675,9.029,945.090833333333,695.252263109031,3.48296884866642,0.575223835003554
