"","SFE-M-1S","SFE-M-2","SFE-M-3","SFE-M-4","SFE-SH-1S"
"b0",1.00037230704685,0.999530445518125,1.00098670661883,0.999554564789309,0.999713805810656
"b1",1.00030844423194,0.999513556912338,1.00029486727149,1.00084590775691,0.999346769917209
"b[1]",1.0004534140326,0.999529247815351,1.00215928992953,0.999677626033239,1.00094284615154
"b[2]",0.999769006384641,0.999323570459911,1.000853694151,0.999492795453211,1.00054548923202
"sigma",0.999257759989805,0.999709502916904,1.00138339825695,0.999584773430741,0.999978897595961
"lp__",0.999864714471175,1.00385089244748,1.00034789923104,1.00032796772531,1.00118599679018
