"","SFE-M-1S","SFE-M-2","SFE-M-3","SFE-M-4","SFE-SH-1S"
"b0",8.71227727039342,9.04970914289512,9.39639560914065,8.52900105023652,8.89250730633999
"b1",0.684238300018904,0.63840639762455,0.608021354932773,0.741763362767988,0.578668106151196
"b[1]",0.00110365154808693,-0.00740707136725167,-0.0111901840350651,0.0182739482572928,-0.019700836089833
"sigma",25.3978700545883,25.727626554447,26.6446457343997,22.937508736644,25.3919901550845
"lp__",-11299.2146305997,-11337.8286304327,-11444.2243934577,-10990.0016863444,-11711.7870791607
