"site","rmse","nrmse","mean_GPP_rhat","mean_ERR_rhat","mean_K600_rhat"
"russian",0.319395226089829,0.0736782528465581,1.00508596880667,1.00602624808821,1.00601943795723
"russian_USGS",0.344040405261506,0.0513493142181353,1.00432356819015,1.00426116261279,1.0051689021939
"salmon",0.35019346738099,0.0356503580760451,1.00248378384475,1.00155814159979,1.00327856886144
"salmon_karuk",0.038430935584853,0.0132221501222465,1.01060023655674,1.01004011905014,1.0104420373999
"sfkeel_mir",0.271877831603945,0.0420160439839319,0.999692806656281,0.999744726580776,0.9998996628338
"sfkeel_sth",0.201039499707578,0.0323943763628069,1.00293194896133,1.00291027729634,1.01177958892017
