"site_year","date","GPP.mean","GPP.2.5.pct","GPP.97.5.pct","GPP_Rhat","ER.mean","ER.2.5.pct","ER.97.5.pct","ER_Rhat","NEP.mean","NEP.2.5.pct","NEP.97.5.pct","K600_daily_mean","K600_daily_Rhat","discharge_m3_s"
"russian_2022",2022-06-25,8.38236591216754,7.14184539061477,9.6860524066042,1.00257510727814,-18.872079067549,-21.5852849039724,-16.2719948132458,1.00272773922573,-10.4897131553815,-14.4434395133576,-6.58594240664161,8.14952794249056,1.00270691590524,1.16964032851883
"russian_2022",2022-06-26,8.83871507366485,7.59929614208871,10.0731605870606,1.01278362675581,-17.6426812963633,-20.1881992277119,-15.1922891809536,1.01510508101611,-8.80396622269848,-12.5889030856232,-5.11912859389306,8.05863921371002,1.0127495330011,1.11299915038233
"russian_2022",2022-06-27,9.06538725945353,7.79042161031942,10.3578633168779,1.00420296129735,-17.3711829767723,-19.7443841940867,-14.9982751153527,1.00526500677211,-8.30579571731874,-11.9539625837673,-4.64041179847482,8.05767853150305,1.00573762257651,1.03936561880487
"russian_2022",2022-06-28,9.56204583441841,8.25758899429385,10.9224893052856,1.01162525102163,-17.3420130865776,-19.7754196690127,-15.0345944725529,1.01228458445336,-7.77996725215916,-11.5178306747188,-4.11210516726737,8.17077904129561,1.01075738264969,0.96856414613424
"russian_2022",2022-06-29,9.8076700524111,8.40762660292843,11.2741891399248,1.00858652346497,-16.8993174866344,-19.3922042244319,-14.4671421659337,1.00865392175627,-7.09164743422335,-10.9845776215035,-3.19295302600889,8.46137563243673,1.00781459483737,1.00254885301614
"russian_2022",2022-06-30,8.38774015457639,7.03765715696324,9.79075954465491,1.00287364532255,-13.8274428104886,-16.1392437655174,-11.5887453432407,1.0042233233804,-5.43970265591226,-9.10158660855413,-1.79798579858575,7.71630355190141,1.00444969365578,1.10167091475503
"russian_2022",2022-07-01,9.01395771956173,7.73988540174569,10.2503958569231,1.00017774791926,-15.8464578519818,-17.9948811405884,-13.5875191042806,1.00028766802392,-6.83250013242012,-10.2549957388427,-3.33712324735751,7.81241237587135,1.0013992411212,1.053525913339
"russian_2022",2022-07-02,8.8762089062525,7.60493722740786,10.0745049649499,1.00591085580758,-15.3368302862698,-17.5155399570861,-13.1444087255538,1.00802172342752,-6.46062138001727,-9.91060272967824,-3.06990376060394,7.68599218558097,1.00818350587558,1.17530444633248
"russian_2022",2022-07-03,6.72818026632537,5.68525751872225,7.76458887003576,1.00639274353945,-12.351125546744,-14.3768376777083,-10.3409500728735,1.00855461378789,-5.62294528041866,-8.69158015898602,-2.57636120283777,6.4000833876565,1.01419572983237,1.3905409232512
"russian_2022",2022-07-04,7.84738151576976,6.62264765117652,9.07626169819313,1.0027310081534,-14.7820637695309,-16.9792231359228,-12.520204249211,1.00349049160191,-6.93468225376119,-10.3565754847463,-3.44394255101787,7.52779091867506,1.00217437217183,1.56612857547437
"russian_2022",2022-07-05,7.73226588100108,6.39800432380671,9.08051513461202,1.00353417914542,-15.1274121460221,-17.6176886156551,-12.7283656695537,1.00276702712343,-7.39514626502101,-11.2196842918484,-3.64785053494169,7.8570817259484,1.00131732202921,1.65109034267913
"russian_2022",2022-07-06,7.28324138666398,5.98895661823208,8.50593629394226,1.00168981290801,-12.8753815199002,-15.024117515938,-10.617818464194,1.00221968197288,-5.59214013323622,-9.03516089770589,-2.11188217025171,7.4389840991618,1.00074950811366,1.63126593033135
"russian_2022",2022-07-07,7.57139303135571,6.4297893484355,8.72656595237943,1.00329719914,-13.8631138608565,-15.8619442342257,-11.8126920139003,1.00472182825917,-6.29172082950078,-9.43215488579019,-3.08612606152091,7.58367994880393,1.00441202922776,1.48966298499009
"russian_2022",2022-07-08,7.62246350501474,6.40761946385502,8.87863721278796,1.00456860749287,-13.9800998828652,-16.1323255950381,-11.802080966838,1.0049254128111,-6.35763637785042,-9.72470613118309,-2.92344375405003,7.63826538337594,1.00555470970446,1.64542622486548
"russian_2022",2022-07-09,7.73483755080809,6.44354778816046,9.04508700467465,1.00526022842698,-14.485349674677,-16.8054933125797,-12.2805428588284,1.0071467698987,-6.75051212386895,-10.3619455244193,-3.23545585415373,8.02542685445404,1.00856201578822,1.59444916454262
"russian_2022",2022-07-10,8.10791320171917,6.83548452636326,9.36591302597149,1.0023969540009,-15.0741186902239,-17.3013853857113,-12.8613477578092,1.00227789124335,-6.96620548850469,-10.4659008593481,-3.49543473183767,7.99472730141733,1.00343779257488,1.58595298782215
"russian_2022",2022-07-11,8.53820657277229,7.24313714775932,9.81236358365066,1.00319476831687,-15.1885989434822,-17.3562967218865,-12.9105140151895,1.00356514902329,-6.65039237070994,-10.1131595741272,-3.09815043153881,7.88890069573094,1.00313264520847,1.58312092891532
