"site_year","date","GPP.mean","GPP.2.5.pct","GPP.97.5.pct","GPP_Rhat","ER.mean","ER.2.5.pct","ER.97.5.pct","ER_Rhat","NEP.mean","NEP.2.5.pct","NEP.97.5.pct","K600_daily_mean","K600_daily_Rhat","discharge_m3_s"
"russian_2022_USGS",2022-06-23,8.04699300809564,6.06619507549969,10.0206964087428,1.00059116198286,-15.7801638383035,-18.9718357951416,-12.5997067685115,1.00109708433644,-7.73317083020784,-12.9056407196419,-2.5790103597687,6.0950951763566,1.00459530277051,1.12715944491645
"russian_2022_USGS",2022-06-24,7.12127123110912,5.18441020858036,9.09887717100743,1.00134145685921,-14.6833093688557,-17.8643914189398,-11.5813393649751,1.00177394153246,-7.56203813774653,-12.6799812103594,-2.48246219396769,5.52579423079139,1.00188719340618,1.23194562446899
"russian_2022_USGS",2022-06-25,7.66337775779392,5.69103538957399,9.61362993840052,1.00132967915118,-14.3557838924996,-17.489212164305,-11.2505893562831,1.00181908172044,-6.69240613470568,-11.798176774731,-1.63695941788255,5.97104567587628,1.00317199365885,1.16964032851883
"russian_2022_USGS",2022-06-26,8.99949732193074,7.02267803119245,10.999467874641,1.00111076396174,-16.4448919910422,-19.7053476648561,-13.2975624101514,1.00173950957297,-7.44539466911146,-12.6826696336636,-2.29809453551034,6.24559839272477,1.00576031189882,1.11299915038233
"russian_2022_USGS",2022-06-27,9.0959705676054,7.05331622976948,11.1617218652992,1.00289358372671,-16.5696120622902,-19.9708238661972,-13.2007860345257,1.00259217222806,-7.47364149468476,-12.9175076364277,-2.03906416922652,6.83862798241684,1.00309113031062,1.03936561880487
"russian_2022_USGS",2022-06-28,8.84285093065166,6.77523407713698,10.9766609885304,1.00043100313334,-18.0892548927838,-21.9472237631713,-14.4069488850829,1.00139898866917,-9.24640396213213,-15.1719896860343,-3.43028789655247,7.01388227411719,1.00482865807153,0.96856414613424
"russian_2022_USGS",2022-06-29,8.51206768537127,6.48404888755427,10.5095437750382,1.00262769788901,-14.9368403004901,-18.2256821779494,-11.7157461535984,1.00310115551083,-6.42477261511879,-11.7416332903951,-1.20620237856015,6.7004056138961,1.00456455664723,1.00254885301614
"russian_2022_USGS",2022-06-30,7.34833932477477,5.27730384710931,9.41167463154162,1.00104061644692,-16.1692554919033,-19.728847395843,-12.73778454128,1.00157093687337,-8.82091616712849,-14.4515435487337,-3.32610990973834,6.49613555048083,1.00389044760895,1.10167091475503
"russian_2022_USGS",2022-07-01,7.70318341595056,5.74469354412112,9.68964498194606,1.00198431735687,-15.2841056297295,-18.5638608000524,-12.0765923517566,1.0029601914564,-7.58092221377895,-12.8191672559312,-2.38694736981051,6.38220641329721,1.00433625041433,1.053525913339
"russian_2022_USGS",2022-07-02,6.6794649521958,4.7065496783075,8.63264144022553,1.00118260582342,-12.9199535187415,-16.0044530094967,-9.84008403559239,1.00230959819569,-6.24048856654572,-11.2979033311892,-1.20744259536686,5.78130566528828,1.00401629263227,1.17530444633248
"russian_2022_USGS",2022-07-03,9.18661977201116,7.40391097584873,10.9639186767505,1.00112153880977,-13.6584916384472,-16.4659824620227,-10.8759221914768,1.00095840876438,-4.47187186643601,-9.06207148617399,0.0879964852737061,5.12954416817927,1.00785520111236,1.3905409232512
"russian_2022_USGS",2022-07-04,7.54043697156949,5.49657556529049,9.59152205416305,1.00001538417008,-10.2708849969736,-13.2982601919077,-7.31032520113776,0.999925346796203,-2.73044802540412,-7.80168462661726,2.2811968530253,5.38766391214653,1.00025091628585,1.56612857547437
"russian_2022_USGS",2022-07-05,4.03456645108202,1.94717022665415,6.12077169620613,1.0020830954651,-10.8363938361497,-13.9018487252015,-7.72151686092391,1.00235518745053,-6.8018273850677,-11.9546784985473,-1.60074516471778,5.16972576351646,1.00879763875247,1.65109034267913
"russian_2022_USGS",2022-07-06,9.64745731853967,7.6388250638003,11.6451611032502,1.00254352052661,-12.0109595039355,-14.9848945744238,-9.07808090193478,1.00200876997248,-2.36350218539587,-7.34606951062353,2.56708020131539,5.4527819359419,1.00550565924764,1.63126593033135
"russian_2022_USGS",2022-07-07,10.3133749670942,8.37141240942575,12.312387260882,1.0008568824611,-12.8634004594704,-15.8497352786258,-9.93401011702478,1.0007995553341,-2.5500254923762,-7.47832286920003,2.37837714385726,5.37465915075413,1.00111808766036,1.48966298499009
"russian_2022_USGS",2022-07-08,10.3689013277531,8.36068140892774,12.3750304285134,1.001159339006,-13.3702576114345,-16.353613532641,-10.447648116746,1.00116546773762,-3.00135628368141,-7.99293212371324,1.92738231176742,5.39346271215008,1.00063159964468,1.64542622486548
"russian_2022_USGS",2022-07-09,10.2866344939903,8.32829537657116,12.2581323418943,1.00032832239356,-13.9706781783683,-16.9259970524315,-11.0322570210806,1.00030234557377,-3.68404368437807,-8.59770167586032,1.2258753208137,5.36881713976546,1.00026815785496,1.59444916454262
"russian_2022_USGS",2022-07-10,10.2279591838233,8.25466733098814,12.2180842756308,1.00147031722494,-14.1447542724209,-17.0847217464706,-11.1745309737873,1.00127952619584,-3.91679508859763,-8.83005441548247,1.04355330184344,5.37908318273744,1.00077662594331,1.58595298782215
"russian_2022_USGS",2022-07-11,9.88341176621489,7.88813940513371,11.8927964813121,1.00052559938261,-14.6639228406909,-17.7723643438281,-11.6914735082866,1.00034511306403,-4.78051107447604,-9.88422493869441,0.201322973025507,5.37521274866462,1.00214794676836,1.58312092891532
"russian_2022_USGS",2022-07-12,9.4262468498141,7.46312723072996,11.3750549633722,1.00087087196029,-14.9080476414414,-17.9040979190234,-11.8882273986809,1.0005672669551,-5.48180079162728,-10.4409706882934,-0.513172435308721,5.27320566204695,1.00100866226389,1.3905409232512
"russian_2022_USGS",2022-07-13,9.27638752420993,7.34290428016788,11.2322135387402,1.00032312582252,-14.9318889698277,-17.953531619117,-11.9481100821777,1.00093569496513,-5.65550144561772,-10.6106273389491,-0.715896543437514,5.18155269770586,1.00088652463221,1.33673180402152
"russian_2022_USGS",2022-07-14,9.1485052817832,7.19918575078561,11.0992510559693,1.00114030538024,-14.8937644211789,-17.8963284369619,-11.8776991847166,1.00141073543523,-5.74525913939565,-10.6971426861763,-0.778448128747234,5.20470112251694,1.00228401142555,1.31407533276692
"russian_2022_USGS",2022-07-15,9.60126202794488,7.66092598746667,11.4947440622734,1.00081871331853,-15.1069412631554,-18.088582454277,-12.0823575622757,1.00090506081655,-5.50567923521055,-10.4276564668103,-0.587613500002311,5.20574422216586,1.00046316898365,1.35372415746247
"russian_2022_USGS",2022-07-16,9.94299435906485,8.03283511009699,11.8710829283135,1.0003554748404,-16.6827515410978,-19.8114521278713,-13.6648772450207,1.00062986172857,-6.73975718203297,-11.7786170177743,-1.79379431670719,5.27856188464836,1.00148886704574,1.30557915604645
"russian_2022_USGS",2022-07-17,9.16107684087263,7.24083021245528,11.0765357917208,1.00086110908722,-16.0220716532198,-19.0460389767961,-12.9512876658839,1.00101924043007,-6.86099481234719,-11.8052087643409,-1.87475187416314,5.38846186673104,1.00114030275604,1.20362503540074
"russian_2022_USGS",2022-07-18,8.80047763849123,6.8820007556498,10.7135776709965,1.00043310392577,-15.2624632724146,-18.3926855871407,-12.1786280320058,1.00051877755902,-6.46198563392336,-11.5106848314909,-1.46505036100928,5.21534085025851,1.00156017935575,1.30274709713962
"russian_2022_USGS",2022-07-19,9.43418344354769,7.54363208964002,11.3477935967752,1.00037712932084,-16.1194184717072,-19.1188672039303,-13.1765653368593,1.00064297002208,-6.68523502815946,-11.5752351142902,-1.82877174008416,5.27853915281805,1.00163945015136,1.44718210138771
"russian_2022_USGS",2022-07-20,9.78742215027812,7.8447327632999,11.7994911072141,1.00028109806006,-17.0921864113148,-20.2687120199926,-14.0088312720878,1.0005540481396,-7.30476426103668,-12.4239792566927,-2.20934016487372,5.38631254998387,1.00161686192601,1.58312092891532
