"site_year","date","GPP.mean","GPP.2.5.pct","GPP.97.5.pct","GPP_Rhat","ER.mean","ER.2.5.pct","ER.97.5.pct","ER_Rhat","NEP.mean","NEP.2.5.pct","NEP.97.5.pct","K600_daily_mean","K600_daily_Rhat"
"sfkeel_mir_2023",2023-06-19,3.49213361019453,2.57194250810547,4.40219700465608,1.00128985398203,-4.49911528290745,-5.85899575492304,-3.12683207455837,1.00071407767971,-1.00698167271292,-3.28705324681758,1.27536493009771,3.33047920654548,1.00155376529049
"sfkeel_mir_2023",2023-06-20,3.29566604531833,2.38398488222835,4.20588471685825,1.00079604054771,-4.55587060856334,-5.93363061517935,-3.20959258373396,1.00071362311902,-1.26020456324501,-3.549645732951,0.996292133124285,3.32849029954481,1.00092245460234
"sfkeel_mir_2023",2023-06-21,3.43265812446614,2.50706726619338,4.32601234767531,1.00123424045271,-4.45857520998834,-5.80339095530979,-3.08884480133475,1.00117222954065,-1.0259170855222,-3.29632368911641,1.23716754634056,3.34809198367601,1.00105891595139
"sfkeel_mir_2023",2023-06-22,3.53443028661433,2.59361260838274,4.45657127072464,1.00052244978978,-4.27666946391851,-5.64247869216828,-2.89398046808921,1.00007019040233,-0.742239177304184,-3.04886608378555,1.56259080263543,3.36743781724949,1.00251127104573
"sfkeel_mir_2023",2023-06-23,3.14303374179459,2.24447053136198,4.03883511700254,1.00028112783824,-4.42858706898565,-5.77207809613587,-3.04334179054119,1.0003193561188,-1.28555332719106,-3.52760756477389,0.995493326461347,3.37190413809683,1.00195747226686
"sfkeel_mir_2023",2023-06-24,3.32892694532347,2.43791866965226,4.23008681946369,0.999991668037634,-4.60442861757599,-5.92717702934368,-3.27088796709202,1.00036798700763,-1.27550167225252,-3.48925835969142,0.959198852371669,3.43080675670022,1.00258723414877
"sfkeel_mir_2023",2023-06-25,3.52393614767499,2.62500140940142,4.4064659511569,1.00078066734693,-4.2939783827564,-5.60099153250747,-2.9811595901741,1.00113653452493,-0.770042235081418,-2.97599012310604,1.4253063609828,3.48089331643745,1.00266773333883
"sfkeel_mir_2023",2023-06-26,3.42550995778962,2.52262897777987,4.33992525926403,1.00004165257215,-4.27481576949509,-5.59760324903997,-2.95998594086762,1.00016376940128,-0.849305811705473,-3.07497427126011,1.3799393183964,3.6091115184995,1.00128670458666
"sfkeel_mir_2023",2023-06-27,3.57541545417784,2.6990473071773,4.46262259941994,1.00008749255179,-4.2958187802388,-5.58937521889567,-3.00689302854619,1.00009171837965,-0.720403326060964,-2.89032791171837,1.45572957087375,3.67175447708415,1.00223204589673
"sfkeel_mir_2023",2023-06-28,3.59904435085269,2.72680179803168,4.48538888900994,1.00141764698847,-4.55097160132786,-5.84271586592569,-3.2757428357136,1.0014777506581,-0.951927250475174,-3.11591406789402,1.20964605329634,3.76635617523853,1.00166288719153
