"","SFE-M-1S","SFE-M-2","SFE-M-3","SFE-M-4","SFE-SH-1S"
"b0",1.00042991445425,1.00475861636839,1.00159658463649,1.00096433608772,1.00203585095743
"b[1]",0.999980024097814,1.00019689204925,1.00291064840084,1.00141351358894,1.00051122799193
"sigma",1.00106933483063,1.00499015167543,1.00191445512367,1.00148661533679,1.00219080474398
"lp__",1.00083215213675,1.00205773466872,1.00012804554346,1.00436424865386,1.00146756774849
