"","SFE-M-1S","SFE-M-2","SFE-M-3","SFE-M-4","SFE-SH-1S"
"b0",-587.920498192249,-662.048461550569,-683.366861852762,-469.283248320605,-689.451649223864
"b[1]",-0.173190851032376,-0.33298249404026,0.419379653524691,-0.252983465512313,0.526556191435732
"b[2]",-0.324413669368233,-0.0528812334639934,-0.947486903330124,-0.586559704785434,-0.360056399550768
"sigma",124.816091290781,123.407013063487,124.026039401352,120.688502045365,120.77933656126
"lp__",-9849.95628867273,-9550.39648656581,-9507.02961104146,-10115.4457804874,-9690.90190474836
