"","field_date","site_reach","site","microcoleus","anabaena_cylindrospermum","TM_ATX_all_ug_g","TAC_ATX_all_ug_g","GPP_median_fourdaysprior"
"1","2023-06-25","SFE-SH-1S","SFE-SH",-0.590420628653182,-0.542301105827148,-0.745646244072142,-0.556085542588411,NA
"2","2023-07-03","SFE-SH-1S","SFE-SH",-0.590420628653182,-0.542301105827148,-0.745646244072142,-0.556085542588411,-1.12060927361832
"3","2023-07-11","SFE-SH-1S","SFE-SH",-0.590420628653182,-0.542301105827148,-0.745646244072142,-0.556085542588411,-0.258375120957851
"4","2023-07-17","SFE-SH-1S","SFE-SH",-0.0466121548936735,-0.542301105827148,-0.745646244072142,-0.556085542588411,1.40381321999966
"5","2023-07-24","SFE-SH-1S","SFE-SH",-0.409151137400012,-0.232414759640206,-0.745646244072142,-0.514888736732946,1.21968633885841
"6","2023-07-31","SFE-SH-1S","SFE-SH",-0.590420628653182,-0.387357932733677,-0.711288291918273,-0.502155178559439,1.57141192540907
"7","2023-08-07","SFE-SH-1S","SFE-SH",-0.590420628653182,1.93678966366838,-0.745646244072142,-0.089687764782307,0.656601522060907
"8","2023-08-14","SFE-SH-1S","SFE-SH",-0.590420628653182,2.55656235604228,-0.745646244072142,2.54590909952242,0.562243954927126
"9","2023-08-22","SFE-SH-1S","SFE-SH",-0.372897239149378,0.387357932733677,-0.296894670520459,1.48203279800646,-0.213411493395784
"10","2023-08-28","SFE-SH-1S","SFE-SH",-0.191627747896208,-0.542301105827148,1.13905790995614,-0.556085542588411,-0.0638412373583939
"11","2023-09-04","SFE-SH-1S","SFE-SH",-0.0828660531443071,-0.542301105827148,1.79185900087966,-0.556085542588411,-0.723998955680723
"12","2023-09-12","SFE-SH-1S","SFE-SH",0.170911234610132,-0.542301105827148,0.603493495466057,-0.556085542588411,-0.640135811272862
"13","2023-09-18","SFE-SH-1S","SFE-SH",1.7298288593874,-0.542301105827148,1.43228073826168,1.24733584343594,-0.918432754805277
"14","2023-09-24","SFE-SH-1S","SFE-SH",2.74493801040515,0.0774715865467365,1.26101552638018,-0.275947262771254,-1.47495231416596
"15","2023-06-20","SFE-M-1S","SFE-M",-0.904432928898602,-0.787717043746814,-0.570137080677624,-0.493627365763994,NA
"16","2023-06-25","SFE-M-1S","SFE-M",-0.904432928898602,-0.787717043746814,-0.570137080677624,-0.493627365763994,0.0981692722691619
"17","2023-07-03","SFE-M-1S","SFE-M",-0.904432928898602,-0.787717043746814,-0.570137080677624,-0.493627365763994,0.380648163298335
"18","2023-07-10","SFE-M-1S","SFE-M",-0.797187917566752,-0.787717043746814,-0.570137080677624,-0.493627365763994,0.49629870655396
"19","2023-07-17","SFE-M-1S","SFE-M",-0.904432928898602,-0.686185308784818,-0.570137080677624,-0.492160308668044,0.323314404095557
"20","2023-07-24","SFE-M-1S","SFE-M",-0.689942906234902,-0.559270640082324,-0.570137080677624,-0.485456414849843,0.71904843535769
"21","2023-07-31","SFE-M-1S","SFE-M",-0.625595899435792,-0.356207170158332,-0.550910009001876,-0.0499199706682872,0.661770042408447
"22","2023-08-07","SFE-M-1S","SFE-M",-0.689942906234902,2.53744727625853,-0.539006315293291,0.273699206446718,0.769895095640803
"23","2023-08-14","SFE-M-1S","SFE-M",0.543374724081374,1.91556539961631,-0.479299848716202,3.25628199354164,0.821581286544135
"24","2023-08-22","SFE-M-1S","SFE-M",0.983079270541958,0.252983239613639,-0.242507779322883,0.978381821648939,0.980048295012181
"25","2023-08-28","SFE-M-1S","SFE-M",1.09032428187381,-0.381590103898834,-0.115694559914841,0.2862032373911,0.400431127035029
"26","2023-09-04","SFE-M-1S","SFE-M",0.232364191219009,0.481429643278129,1.24395849534214,-0.313309335363074,-0.707422495080215
"27","2023-09-12","SFE-M-1S","SFE-M",0.168017184419899,0.0245368359491492,0.543324003477898,-0.49195603489519,-1.27815190685909
"28","2023-09-18","SFE-M-1S","SFE-M",1.2404672977384,0.126068570911143,2.99926195886007,-0.493627365763994,-1.44646122584266
"29","2023-09-24","SFE-M-1S","SFE-M",2.16277439519231,-0.203909567715341,0.561696538634723,-0.493627365763994,-2.21916920043333
"30","2023-06-20","SFE-M-2","SFE-M",-0.490242026091682,-0.258198889747161,-0.726666871402631,-0.335176152283757,NA
"31","2023-06-25","SFE-M-2","SFE-M",-0.490242026091682,-0.258198889747161,-0.726666871402631,-0.335176152283757,0.0981692722691619
"32","2023-07-03","SFE-M-2","SFE-M",-0.490242026091682,-0.258198889747161,-0.726666871402631,-0.335176152283757,0.380648163298335
"33","2023-07-10","SFE-M-2","SFE-M",-0.490242026091682,-0.258198889747161,-0.726666871402631,-0.335176152283757,0.49629870655396
"34","2023-07-17","SFE-M-2","SFE-M",-0.490242026091682,-0.258198889747161,-0.726666871402631,-0.335176152283757,0.323314404095557
"35","2023-07-24","SFE-M-2","SFE-M",-0.414820175923731,-0.258198889747161,-0.726666871402631,-0.214457334518035,0.71904843535769
"36","2023-07-31","SFE-M-2","SFE-M",-0.490242026091682,-0.258198889747161,-0.714982485401734,0.0463652497100444,0.661770042408447
"37","2023-08-07","SFE-M-2","SFE-M",-0.452531101007707,-0.258198889747161,-0.328820740656032,-0.241520243286673,0.769895095640803
"38","2023-08-14","SFE-M-2","SFE-M",-0.113132775251926,-0.258198889747161,-0.447972627529379,3.5685724181856,0.821581286544135
"39","2023-08-22","SFE-M-2","SFE-M",-0.395964713381743,-0.258198889747161,1.76744465891235,0.191106199978265,0.980048295012181
