"X","SFE.M.1S","SFE.M.2","SFE.M.3","SFE.M.4","SFE.SH.1S"
"b0",1.00111393704954,1.0004482453802,1.00012571586736,1.00029134172344,1.00087236540441
"b[1]",1.00117156890186,1.00038381079894,0.999980460710671,1.00028261918641,1.00074950119878
"sigma",1.00016318880583,1.00022545720049,1.00025857042585,1.00013011590258,1.00024911019183
"lp__",1.000782639872,1.00039667151352,1.00026004709435,0.999956124126075,1.00044045266187
