"SFE-M-1S","SFE-M-2","SFE-M-3","SFE-M-4","SFE-SH-1S"
1.00323022443813,0.999841149548339,1.00099742688722,1.00218394414535,1.00028150840976
1.00286863065319,0.999997009368736,1.00047595711824,1.00163854791877,1.00005468831817
1.0012720843098,1.00182691094783,1.00011126242464,0.999989822108266,1.00108561064674
1.00007038788587,1.00091567468275,1.00125805848134,1.00013986668761,1.0004430362162
1.00059869157156,1.00129671552886,1.00029880399539,0.999256516169577,0.999971501620369
1.00044229722025,0.999538632707283,0.999729432803965,0.999195341060695,1.00155798104252
0.999887296083122,1.00075736270023,1.00098709425347,0.999420923532588,1.00218579303616
1.00039914690887,1.00055415837143,0.999610862312927,1.00064446150508,1.001255959037
1.00311544335624,0.999623980614024,1.00129935168203,1.00275509242227,1.00057260321416
0.999811135027845,1.00748134140694,1.00187552365098,1.00016994818461,1.00194521823018
