"X","SFE.M.1S","SFE.M.2","SFE.M.3","SFE.M.4","SFE.SH.1S"
"b0",1.00298367037665,1.00080222414273,1.00179977182817,0.999873082250965,1.00075367888985
"b[1]",1.00106714511665,1.00119859832905,1.00103141113559,0.99999799818978,1.00018153540195
"b[2]",1.00327740810821,1.00061947618731,1.0012743858094,1.00004001130726,1.00070426667057
"b[3]",1.00251038645181,1.00123214722336,1.00173844615314,0.999882948775202,1.00031325021732
"sigma",1.00461546027189,1.00108697478552,1.00020542062114,0.999980731493348,0.999981813739319
"lp__",1.00244867456689,1.0006514693705,1.00008511425851,1.00149372381467,0.999870072671957
