"model","SFE_M_1S","SFE_M_2","SFE_M_3","SFE_M_4","SFE_SH_1S"
"null",0.332059928855014,0.30052995585448,0.396970334827893,0.284667914986536,0.296292282767653
"physical",0.231007649022571,0.340355821859589,0.27627960320765,0.419111721160377,0.326033584988584
"chemical",0.222904947662859,0.351847063259324,0.251289315025484,0.424096353326346,0.317439008589578
"biological",0.223658271582402,0.321129788546842,0.242267548156135,0.424291021975818,0.311080454469036
