"model","SFE_M_1S","SFE_M_2","SFE_M_3","SFE_M_4","SFE_SH_1S"
"null",0.438544283166212,0.327370522449042,0.506657842625848,0.269550089613104,0.335389285432861
"cover",0.287177857705706,0.280413257145959,0.333899002178077,0.246807599450928,0.280054265259656
"physical",0.183421965093976,0.145887491104108,0.210128467151986,0.297756139383488,0.206405505311978
"chemical",3.44540517073955e-09,3.25129300442211e-09,3.39314219519199e-09,2.3782021912747e-09,3.37631484775614e-09
"biological",6.1514308986416e-09,7.63572012893363e-09,1.32863647435396e-08,8.12321288214814e-09,7.3287080133799e-09
