"parameters","model","predicting","mean","ci_lower","ci_upper"
"DIN","physicochemical","M_atx",7.88967504473473,-5.76193913879896,22.1959039006593
"Discharge","physicochemical","M_atx",-64.0371071452434,-89.1298144431322,-42.2634962277012
"OPhos","chemical","M_atx",27.7909379264251,9.64502687536034,49.7622993970518
"OPhos","physicochemical","M_atx",6.73166299689884,-8.09317736103713,23.8992201283108
"Temperature","physicochemical","M_atx",-5.39559742804574,-31.2692349090905,16.9787614985414
"Conductivity","chemical_w_cover","M_atx",59.8078128434946,42.4355107839431,79.4381565822118
"Conductivity","physicochemical_w_cover","M_atx",41.8334180488513,10.28771465165,72.9938537218505
"Cover","chemical_w_cover","M_atx",2.19407480832095,-3.64003095676616,7.37298261430005
"Cover","physicochemical_w_cover","M_atx",1.28064657381862,-3.63531296102783,5.6117311588783
"DIN","chemical_w_cover","M_atx",-6.69308175535644,-21.658006166341,8.37030540413184
"DIN","physicochemical_w_cover","M_atx",-2.30352246597075,-18.9817119546854,13.5983425488709
"Discharge","physicochemical_w_cover","M_atx",-25.332101691768,-58.1423184625441,7.67963098747199
"OPhos","chemical_w_cover","M_atx",-2.44219087542979,-17.6936474210243,12.8295065065604
"OPhos","physicochemical_w_cover","M_atx",-3.14752991041939,-20.7434193438847,15.3197945569512
"Temperature","physicochemical_w_cover","M_atx",-4.60269734996395,-27.3076462359285,15.5190575193617
"Discharge","ecohydrological","M_atx",-73.4087425352929,-96.2856527095656,-52.9238903229575
"GPP","ecohydrological","M_atx",1.61928544638472,-4.08524506023161,7.24521830546367
"Temperature","ecohydrological","M_atx",-11.5203317813232,-34.2048372864824,7.48400376188981
"Cover","ecohydrological_w_cover","M_atx",2.96380168383918,-2.93284748788599,8.20754238230888
"Discharge","ecohydrological_w_cover","M_atx",-75.3570771629074,-100.475198771932,-54.0453301724496
"GPP","ecohydrological_w_cover","M_atx",13.6741562072338,-6.77088067362241,31.7846601910667
"Temperature","ecohydrological_w_cover","M_atx",-21.3561702454543,-50.1390644822631,1.62918984647075
"Discharge","physical","M_atx",-8.37287669783921,-15.2660705223222,-1.43216439301784
"Temperature","physical","M_atx",-11.6203880849298,-38.5630879654399,11.4087838401281
"Cover","physical_w_cover","M_atx",2.9828343625689,-4.29363058626024,9.16013298809944
"Discharge","physical_w_cover","M_atx",-70.9629269739942,-96.6204885115969,-49.7905986150754
"Temperature","physical_w_cover","M_atx",-10.1803192087634,-32.162452723873,8.0975045077137
"Conductivity","all","AC_atx",-5.48806789392845,-27.5349880270111,20.2962381718994
"DIN","all","AC_atx",-1.10991874571862,-14.6825540234057,20.270028619311
"Discharge","all","AC_atx",-48.4636466408786,-71.8125832323726,-23.8184256968741
"GPP","all","AC_atx",0.727246761931075,-3.25632337663645,4.68887207170628
"OPhos","all","AC_atx",-18.8359236475156,-41.9400530495449,0.847477322371997
"Temperature","all","AC_atx",17.7899392160883,1.39268209955144,32.7825205978815
"Conductivity","all_w_cover","AC_atx",-5.85160674990157,-23.8115183491679,16.6692678418138
"Cover","all_w_cover","AC_atx",5.68106956938293,1.50257464583234,10.4290401169826
"DIN","all_w_cover","AC_atx",-1.87525477245784,-13.1854309503667,16.2314724615139
"Discharge","all_w_cover","AC_atx",-45.336915012374,-65.281849309933,-24.1274059086701
"GPP","all_w_cover","AC_atx",12.7861235771382,-3.76615612864398,30.4691586367953
"OPhos","all_w_cover","AC_atx",-12.7641560526867,-35.4666952980067,7.29645510204242
"Temperature","all_w_cover","AC_atx",8.09113523974976,-7.4762813320358,23.0945785750459
"Conductivity","biochemical","AC_atx",33.1920491870427,12.9388602459907,53.9586843575197
"DIN","biochemical","AC_atx",-13.0712242306541,-30.6862871426165,3.21640471389694
"GPP","biochemical","AC_atx",1.21782414657041,-3.57005370776899,6.0324816057587
"OPhos","biochemical","AC_atx",-38.2874095633454,-58.5388244929338,-17.6861657570843
"Conductivity","biochemical_w_cover","AC_atx",23.6869132428903,6.3231742986577,42.4226999568576
"Cover","biochemical_w_cover","AC_atx",7.9150235268836,2.81980193632882,13.460726869862
"DIN","biochemical_w_cover","AC_atx",-9.78669838687878,-22.8561377010288,2.2543949214246
"GPP","biochemical_w_cover","AC_atx",18.4611824624997,-0.342111497150529,37.641302063353
"OPhos","biochemical_w_cover","AC_atx",-23.106563889231,-44.4688118553429,-3.22381809622601
"GPP","biological","AC_atx",7.9204610393021,-1.15380944944157,16.8967588299001
"Cover","biological_w_cover","AC_atx",18.1726072665385,10.7873131665215,27.3507912910052
"GPP","biological_w_cover","AC_atx",27.6109173647829,15.8696244971202,40.0799218770045
"Conductivity","chemical","AC_atx",3.20135641737165,-2.38624643041284,8.8181385912937
"Conductivity","physicochemical","AC_atx",-0.329805301834342,-4.65689112856134,3.99499220724234
"DIN","chemical","AC_atx",-5.87245879322885,-24.29243689752,12.4417542021305
"DIN","physicochemical","AC_atx",-2.64113240852629,-16.0058006010736,15.8532946421544
"Discharge","physicochemical","AC_atx",-44.4867417218925,-62.0390512947132,-27.8566714215063
"OPhos","chemical","AC_atx",-23.871449858898,-43.510473175105,-5.68358184896262
"OPhos","physicochemical","AC_atx",-21.4162415487059,-42.6067170728503,-7.32088562955292
"Temperature","physicochemical","AC_atx",17.8491157163664,1.6601872453409,32.9581218280371
"Conductivity","chemical_w_cover","AC_atx",25.8434721074586,9.0522801873365,44.687429729406
"Conductivity","physicochemical_w_cover","AC_atx",-5.78324350390498,-24.7796702368205,17.514443771394
"Cover","chemical_w_cover","AC_atx",9.43512074776448,3.64274087688541,16.7280779580648
"Cover","physicochemical_w_cover","AC_atx",6.11497461569753,1.62425429943012,11.7379194155157
"DIN","chemical_w_cover","AC_atx",-12.6462735592005,-26.8975905589936,0.685720256070235
"DIN","physicochemical_w_cover","AC_atx",-2.17424957171291,-13.9403227464084,17.0318308341224
"Discharge","physicochemical_w_cover","AC_atx",-44.0803601016545,-63.902527862589,-22.7067626354392
"OPhos","chemical_w_cover","AC_atx",-32.5980630896003,-50.3535117100887,-15.8362967004566
"OPhos","physicochemical_w_cover","AC_atx",-17.233784011907,-38.34129349269,0.0333369909152479
"Temperature","physicochemical_w_cover","AC_atx",14.5446427416026,0.649957567688968,26.9720865065897
"Discharge","ecohydrological","AC_atx",-37.7852616343081,-53.9244436525159,-22.2553627992412
"GPP","ecohydrological","AC_atx",2.98613526471367,-2.48863009583115,8.42138231203261
"Temperature","ecohydrological","AC_atx",27.0857275219453,13.7595634572903,40.9904185213295
"Cover","ecohydrological_w_cover","AC_atx",8.84068892085006,3.48524110516399,15.168169844688
"Discharge","ecohydrological_w_cover","AC_atx",-32.879730793868,-47.3170534157739,-18.943088445467
"GPP","ecohydrological_w_cover","AC_atx",23.1978628280351,10.0869913546132,36.8801910503573
"Temperature","ecohydrological_w_cover","AC_atx",8.15745225188431,-5.6632417136958,22.1349274948704
"Discharge","physical","AC_atx",-5.83287649120573,-12.3545202197201,0.688003614728404
"Temperature","physical","AC_atx",27.6327630293671,14.0931090867176,41.6389552180542
"Cover","physical_w_cover","AC_atx",9.43137233603945,3.17562259573723,17.8112575074656
"Discharge","physical_w_cover","AC_atx",-30.1124415541272,-44.5364696771457,-16.4491993609791
"Temperature","physical_w_cover","AC_atx",23.5102811210257,12.5697303928825,34.8260943240116
