"parameters","site_reach","model","predicting","mean","ci_lower","ci_upper"
"Conductivity","SFE-SH-1S","physicochemical","M_cover",-1.11010786538732,-2.45665374527831,0.186416841370751
"DIN","SFE-M-1S","chemical","M_cover",-0.485780276012714,-1.40388404800056,0.349200933868226
"DIN","SFE-M-1S","physicochemical","M_cover",-1.23580405197762,-2.46052062788726,-0.0819112131213348
"DIN","SFE-M-2","chemical","M_cover",-0.0612855573420258,-0.77666260888061,0.566506995929905
"DIN","SFE-M-2","physicochemical","M_cover",-0.0659485519709118,-0.926832078380066,0.661368602001546
"DIN","SFE-M-3","chemical","M_cover",0.261770838450765,-0.608531861140235,1.10046890815908
"DIN","SFE-M-3","physicochemical","M_cover",0.418194723126837,-0.408158736633352,1.27233227825081
"DIN","SFE-M-4","chemical","M_cover",-0.295793682796342,-0.894724373970586,0.27855774144365
"DIN","SFE-M-4","physicochemical","M_cover",-0.416209544046328,-1.10415603455405,0.245704625792014
"DIN","SFE-SH-1S","chemical","M_cover",-0.328829062360681,-1.18606677717358,0.380927045463854
"DIN","SFE-SH-1S","physicochemical","M_cover",-0.224865298185947,-1.13391936015786,0.5470791321141
"Discharge","SFE-M-1S","physicochemical","M_cover",-4.52079519771059,-7.37648244179118,-1.89136630808301
"Discharge","SFE-M-2","physicochemical","M_cover",-4.65966430892772,-7.47323861560329,-2.1580036765066
"Discharge","SFE-M-3","physicochemical","M_cover",-9.03961665176138,-12.6658023842221,-5.5922565290038
"Discharge","SFE-M-4","physicochemical","M_cover",-4.33448361761218,-6.5464155221079,-2.4110165632042
"Discharge","SFE-SH-1S","physicochemical","M_cover",-4.05087672225023,-7.06437174761559,-1.26813717995165
"OPhos","SFE-M-1S","chemical","M_cover",2.06167716106765,1.08688305926048,3.23563930875362
"OPhos","SFE-M-1S","physicochemical","M_cover",1.53753492410626,0.43208060420354,2.75477709299829
"OPhos","SFE-M-2","chemical","M_cover",0.958112143952945,0.345961642579325,1.81028000648239
"OPhos","SFE-M-2","physicochemical","M_cover",0.686863348727711,0.0502987495092418,1.47436219557879
"OPhos","SFE-M-3","chemical","M_cover",0.883067601191654,0.0503052914310133,1.92232706931539
"OPhos","SFE-M-3","physicochemical","M_cover",1.38576377335423,0.409686731234987,2.4640788428481
"OPhos","SFE-M-4","chemical","M_cover",0.593935872253179,0.152895102021471,1.15632137779239
"OPhos","SFE-M-4","physicochemical","M_cover",0.5632585114357,0.0745631953192392,1.09777779551097
"OPhos","SFE-SH-1S","chemical","M_cover",1.20756201850741,0.543754024307037,2.10346512238362
"OPhos","SFE-SH-1S","physicochemical","M_cover",0.909713833598439,0.210024336571889,1.75730776613688
"Temperature","SFE-M-1S","physicochemical","M_cover",-0.792199659170682,-1.46268602417797,-0.168525027820685
"Temperature","SFE-M-2","physicochemical","M_cover",-0.382713619429598,-0.785848173266024,0.00366383245375749
"Temperature","SFE-M-3","physicochemical","M_cover",-0.177257036622088,-0.607195078246636,0.243843517137643
"Temperature","SFE-M-4","physicochemical","M_cover",-0.136095763608451,-0.470676272947634,0.189753500308875
"Temperature","SFE-SH-1S","physicochemical","M_cover",-0.339286082003959,-0.821191454515474,0.119497151220072
"Discharge","SFE-M-1S","ecohydrological","M_cover",-3.82924368304877,-6.51174197523679,-1.29578040050309
"Discharge","SFE-M-2","ecohydrological","M_cover",-3.52454308976285,-6.0546871617375,-1.17909128888049
"Discharge","SFE-M-3","ecohydrological","M_cover",-3.33483877571316,-6.0368583007138,-0.773554712149452
"Discharge","SFE-M-4","ecohydrological","M_cover",-3.32349603731332,-5.67298503434257,-1.14251309788487
"Discharge","SFE-SH-1S","ecohydrological","M_cover",-2.98957428480144,-5.58900197340563,-0.408040665217557
"GPP","SFE-M-1S","ecohydrological","M_cover",-0.163377502669146,-0.947942133631466,0.509467599147109
"GPP","SFE-M-2","ecohydrological","M_cover",-0.0627431029645641,-0.629653281259012,0.447512405536998
